Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Causal organism,Count,Examples,Notes,,,,Count:,4092
brown spot,Leaf Spot,Disease,,1,Trilogy XL-O Fungicide/Miticide/Insecticide,,,,,,
Brown Spot (Alternaria alternata),Leaf Spot,Disease,,2,MAXIPHITE Fungicide; Heads Up Plant Protectant,,,,,,
Brown spot (Alternaria alternata),Leaf Spot,Disease,,2,AX Fluazi-Difeno; Revus Top,,,,,,
Brown Spot (Cercospora),Leaf Spot,Disease,,1,Quali-Pro™ 4.5,,,,,,
Brown spot and Black pit,Leaf Spot,Disease,,2,Revytek Fungicide; Priaxor Xemium Brand Fungicide,,,,,,
Brown spot and black pit,Leaf Spot,Disease,,3,Theia Fungicide; Merivon Xemium Brand Fungicide; Serifel Biofungicide,,,,,,
Brown Stink Bug,Brown Stink Bug,Insect,,42,Dinotefuran 70 SG Insecticide; A198.01; F6570 EW Master Insecticide; A198.03; Ax Zeta-Cyper 915,,,,,,
Brown stink bug,Brown stink bug,Insect,,2,Fastac CS Insecticide,,,,,,
Browntop,Browntop,Other,,8,Prodiamine Pro F 0.20% Herbicide,Review needed - unclear target type,,,,,
Browntop Millet,Browntop Millet,Other,,2,Sharda Metribuzin 4SC,Review needed - unclear target type,,,,,
Browntop panicum,Browntop panicum,Other,,5,FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Bruce Spanworm,Bruce Spanworm,Insect,,2,Sharda Indoxacarb 30% WDG,,,,,,
Bruce spanworm,Bruce spanworm,Insect,,4,AVAUNT; AVAUNT® eVo insect control; A197.05,,,,,,
Brush,Brush,Weed,,14,EH-1488 HERBICIDE; Bonide KU GR RTU; DERRINGER Herbicide; Eraser 18% Systemic Weed and Grass Killer; EH-1633 HERBICIDE,,,,,,
Brush (Tough Weeds),Weeds,Weed,,2,BN-1438,,,,,,
Brush and other Hard-to-Control Weeds and Grasses,Weeds,Weed,,54,Bonide KU GR Concentrate,,,,,,
Buck-Eye Rot,Rot Diseases,Disease,,4,Rhapsody ASO; SERENADE ASO,,,,,,
Buck-eye rot,Rot Diseases,Disease,,2,BC18-WG,,,,,,
Buckeye,Buckeye,Other,,1,DuPont Tanos,Review needed - unclear target type,,,,,
Buckeye Rot,Rot Diseases,Disease,,28,Avalaire Azoxy 2 SC; A225.09; Abound Flowable Fungicide; A-Zox 50WDG; A225.13,,,,,,
Buckeye rot,Rot Diseases,Disease,,18,GAVEL 75 DF; AX AZOXY 229; A225.05; Heritage Fungicide; Helmstar Fungicide,,,,,,
Buckhorn Aphid,Aphids,Insect,,20,BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE; EVERCIDE® Emulsifiable Concentrate 28061; EVERCIDE® Vegetable and Garden Insect Killer 28063; EVERCIDE Emulsifiable Concentrate 2668,,,,,,
Buckhorn Plantain,Buckhorn Plantain,Insect,,6,A313.01; LPI.A011; Comet Selective Herbicide,,,,,,
Buckhorn plantain,Buckhorn plantain,Insect,,3,OBTAIN 40% WDG Herbicide; Liberty Fluroxypyr Herbicide,,,,,,
Buckthorn Aphid,Aphids,Insect,,12,Bonide® RTU Vegetable & Ornamental Insect Spray; Unicorn Vegetable Spray EC; EsfenStar 8% EC; Dupont Asana XL Insecticide,,,,,,
Buckthorn aphid,Aphids,Insect,,7,AG35802-A B 50 WDG Insecticide; Fulfill®; A151.01; Avalaire Pymetrozine; AG35802-a C 50 WDG Insecticide,,,,,,
Buckwheat,Buckwheat,Other,,18,Clean Slate®; Biscayne Herbicide; Garrison Herbicide; GCS Clopy 360SL; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Bud,Bud,Other,,2,Drexel Suffa,Review needed - unclear target type,,,,,
Bud formation,Bud formation,Other,,12,Stimulate Bud Former,Review needed - unclear target type,,,,,
Bud Mite,Mites,Insect,,10,Cosavet DF; MICROTHIOL DISPERSS; LIFESUL 80 DF; Sulfur 80 WDG; Nuprid-S WG,,,,,,
Bud mite,Mites,Insect,,4,Sulfur Dual Spraying 90 WP; Sulfur 6L; WETTABLE SULFUR; Kumulus DF,,,,,,
bud mite,Mites,Insect,,3,Microsperse Wettable Sulfur; Sulfur 90DF; Yellow Jacket Flowable Sulfur,,,,,,
Bud Mites,Mites,Insect,,4,Yellow Jacket Wettable Sulfur II; Defend DF; Sulphur W.G.,,,,,,
Bud mites,Mites,Insect,,1,Drexel Sulfa 80W,,,,,,
Bud moth,Caterpillars/Moths,Insect,,2,Malathion 8; Malathion 8 Aquamul,,,,,,
bud moth,Caterpillars/Moths,Insect,,2,Malathion 50% EC,,,,,,
Bud Moths,Caterpillars/Moths,Insect,,6,Ortho Malathion 50 Insect Spray,,,,,,
Bud moths,Caterpillars/Moths,Insect,,4,Proclaim Insecticide; A152.02,,,,,,
Bud Rot,Rot Diseases,Disease,,2,Companion® Maxx Liquid Biological Fungicide,,,,,,
Budmoths,Caterpillars/Moths,Insect,,9,AX-NOVAL; A122.03; ADA 11280 Insecticide; A122.05; RIMON® 0.83EC Insecticide,,,,,,
Budmoths (Eyespotted,Caterpillars/Moths,Insect,,1,A122.01™,,,,,,
Budworm,Budworm,Insect,,72,Naturalis L Biological Insecticide; Acetamiprid Concentrate Insecticide; Liberty BIFEN-IMIDA 2-1 SC; BIFENTHRIN 2EC AG; LIBERTY ACETA-BIF,,,,,,
Budworms,Budworms,Insect,,16,Bonide Systemic Insect Control; Chemsico Lawn Insect Spray; DEBUG OPTIMO; Azatin® XL; ACECAP Systemic Insecticide Implants,,,,,,
budworms,budworms,Insect,,1,Chemsico Insecticide Concentrate 16L,,,,,,
Bug Mites,Mites,Insect,,1,CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,,,,
Bugs,Bugs,Insect,,2,AMVAC AZA 1.2% CF; AzaGuard,,,,,,
Bugs (including Apple Red Bug),Bugs (including Apple Red Bug),Insect,,2,Brandt STS Horticultural Oil,,,,,,
bull,bull,Other,,9,BLASTWAVE 480 SC,Review needed - unclear target type,,,,,
Bull thistle,Bull thistle,Weed,,2,Alligare Clopyralid 3 SL,,,,,,
Bull’s Eye Rot,Rot Diseases,Disease,,28,BACIX; ARMOUR-Zen 15%; Armour-Zen; CAPTAN 80 WDG; Decco TBZ 500 SC,,,,,,
Bull’s eye rot,Rot Diseases,Disease,,39,BC18-WG; ADA 76901; Captan 4L; Captan 80 DF; ActiMist PYR Foggable Fungicide,,,,,,
Bull’s-Eye Rot,Rot Diseases,Disease,,4,Zorda WG Biological Fungicide; Ziram 76DF Fungicide,,,,,,
Bull’s-eye rot,Rot Diseases,Disease,,10,Decco Fludi SC; Decco Fludi Aerosol; Decco D-Fine,,,,,,
Bull's Eye Rot,Rot Diseases,Disease,,22,eFOG-100 TBZ; Captan 38.75% FL; REGALIA® 16 Biofungicide; Mildore™ Max; SERENADE ASO,,,,,,
Bull's eye rot,Rot Diseases,Disease,,32,Captan 50% WP; Decco Pyrimethanil 400 SC; Captan 4L; DCC Captan 4L; Captan 50 Wettable Powder,,,,,,
bull's eye rot,Rot Diseases,Disease,,4,Decco Pyrimethanil Aerosol; Deccozole A,,,,,,
Bull's-eye rot,Rot Diseases,Disease,,27,Academy; Fludioxonil 2L PH; Fludioxonil 99% Fogger; A254.01; A254.07,,,,,,
Bulls-Eye Rot,Rot Diseases,Disease,,21,Liberty TM 70 WSB; Avalaire T-Methyl 70 WSP; Incognito 85 WDG; LPI Thio-M 70 WSB; Avalaire T-Methyl 4.5F,,,,,,
Bullseye Rot,Rot Diseases,Disease,,2,VITRA 40 DF; AmeriCop 40 DF,,,,,,
Bump spray,Bump spray,Other,,1,N-LARGE Premier,Review needed - unclear target type,,,,,
Bunch Disease,Bunch Disease,Disease,,4,ArborBiotic; Arbor-OTC,,,,,,
Bunch Rot,Rot Diseases,Disease,,82,AX MANCOZEB 75 DG; Dexter Max Fungicide; A295.01; EcoSwing Botanical Fungicide; AuxiGro WP Plant Metabolic Primer,,,,,,
Bunch rot,Rot Diseases,Disease,,16,Falgro 2X LV; Botran 75-W; Botran® 5F Fungicide; FALGRO® Tablet; Dithane DF Rainshield,,,,,,
bunch rot,Rot Diseases,Disease,,5,Dithane M45; Dithane F-45; Willowood Mancozeb 75 WDG,,,,,,
Bunch Rot (Botrytis),Rot Diseases,Disease,,2,CAPTAN 80 WDG; Captan 38.75% FL,,,,,,
Bunch rot (Botrytis),Rot Diseases,Disease,,37,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,,,,
Bunch rot of grapes,Rot Diseases,Disease,,1,Novel 0.5% SC Fungicide,,,,,,
Bunch rot reduction,Rot Diseases,Disease,,1,ProGibb Plus 2X Plant Growth Regulator,,,,,,
Bunch Rots,Rot Diseases,Disease,,5,DRY-UP; Leaf Act™ CSD 1525 Copper Sulfur Dust; C-O-C-S® 15 Sulfur 25 Dust; CSC Copper Sulfur Dust Fungicide; Britz Copper Sulfur 15-25 Dust,,,,,,
Bunch rots,Rot Diseases,Disease,,1,Zinc Coposil Sulfur 15-30 Dust,,,,,,
Bunchberry,Bunchberry,Other,,1,Cleat 75WG Herbicide,Review needed - unclear target type,,,,,
Bunchberry Leaffolder moth,Caterpillars/Moths,Insect,,2,Tempo Concentrate Insecticide,,,,,,
Burclover,Burclover,Weed,,30,F7127 SE HERBICIDE; Galigan® H2O; DREXEL SIMAZINE 4F; Galigan 2E; A229.02,,,,,,
burclover,burclover,Weed,,11,GoalTender,,,,,,
Burcucumber,Burcucumber,Other,,1,BCP258H_3 HERBICIDE,Review needed - unclear target type,,,,,
Burdock,Burdock,Other,,8,Clean Slate®; Avalaire Clopyralid 3 SL; A339.01; LIBERTY CLOP; GCS Clopy 360SL,Review needed - unclear target type,,,,,
burdock,burdock,Other,,1,GF-2551,Review needed - unclear target type,,,,,
Burndown After Final Harvest,Burndown After Final Harvest,Other,,2,Verdure-X-Herbicide,Review needed - unclear target type,,,,,
Burning,Burning,Other,,9,A229.02; Galigan® H2O; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
burning,burning,Other,,14,F7127 SE HERBICIDE; BLASTWAVE 480 SC,Review needed - unclear target type,,,,,
Burning Nettle,Burning Nettle,Other,,6,V-10142 Ag Herbicide,Review needed - unclear target type,,,,,
Burr Knot,Burr Knot,Other,,10,GALLEX,Review needed - unclear target type,,,,,
Burrowing Nematode,Burrowing Nematode,Other,,6,AX Oxamyl 24% SL; Oxamyl 24% SL,Review needed - unclear target type,,,,,
Burrowing nematode,Burrowing nematode,Other,,22,TELONE II; Pic-Clor 60; Telone C-35; LALNIX ACT DC; Biostat 10% WP,Review needed - unclear target type,,,,,
Burrowing nematodes,Burrowing nematodes,Other,,24,Telone C-15; Tri-Form 80; Tri-Form 30; DiTera ES Biological Nematicide; Pic-Clor 30,Review needed - unclear target type,,,,,
burrowing nematodes,burrowing nematodes,Other,,18,DiTera DF,Review needed - unclear target type,,,,,
Burweed,Weeds,Weed,,5,FreeHand 1.75G Herbicide,,,,,,
Buttercup,Buttercup,Other,,3,Galigan 2E,Review needed - unclear target type,,,,,
buttercup,buttercup,Other,,16,Quali-Pro Dithiopyr L; GoalTender; Dimension® 0.25G,Review needed - unclear target type,,,,,
Butternut filbertworm,Butternut filbertworm,Insect,,2,AZ Lambda 2ME,,,,,,
butternut filbertworm,butternut filbertworm,Insect,,2,LIBERTY LAMBDA 2 ME,,,,,,
Buttonweed,Weeds,Weed,,3,Willowood OxyFlo 2EC; A229.02,,,,,,
C. gloeosporioides),C. gloeosporioides),Other,,3,HELMSTAR PLUS SC,Review needed - unclear target type,,,,,
C. lagenarium),C. lagenarium),Other,,2,PHC 25279,Review needed - unclear target type,,,,,
Cabbage /. Copers,Cabbage /. Copers,Other,,7,Pyrocide® Garden Spray Pressurized 30211,Review needed - unclear target type,,,,,
Cabbage Aphid,Aphids,Insect,,15,Bonide Permakil 25; Bonide Potato Beetle Beater; Bonide Permakil RTU Permethrin Spray; AMBUSH 25W Insecticide Water Soluble Pack; AMBUSH Insecticide,,,,,,
Cabbage aphid,Aphids,Insect,,28,AG35802-A B 50 WDG Insecticide; A151.01; Avalaire Pymetrozine; ARCTIC® 3.2 EC; AG35802-a C 50 WDG Insecticide,,,,,,
cabbage aphid,Aphids,Insect,,5,Hi-Yield,,,,,,
Cabbage Aphids,Aphids,Insect,,3,Bonide Eight Insect Control Dust; Ecto B715 Insecticide; Bonide Eight Insect Control Yard & Garden Ready To Spray,,,,,,
Cabbage aphids,Aphids,Insect,,17,Ecto B736 Insecticide; Evercide® 2.5 Permethrin Concentrate/Repellent; Bonide Eight Insect Control Concentrate; Dinotefuran 10SL; Hi-Yield Kill-A-Bug II,,,,,,
Cabbage budworm,Cabbage budworm,Insect,,36,Crymax WP; Condor XL; Crymax®; Cutlass; Condor WP,,,,,,
cabbage caterpillars,Caterpillars/Moths,Insect,,2,SEVIN,,,,,,
Cabbage flea beetle,Beetles,Insect,,7,Baythroid XL; Tempo® Ready-to-Use Insecticide; HM-1508 INSECTICIDE; Baythroid 2 Emulsifiable Pyrethroid Insecticide; Tempo Concentrate Insecticide,,,,,,
Cabbage Looper,Cabbage Looper,Other,,649,A115.04; A110.08; A110.03; A110.05; A115.02,Review needed - unclear target type,,,,,
Cabbage looper,Cabbage looper,Other,,460,A152.03; A152.02; A197.05; A132.01; A177.04,Review needed - unclear target type,,,,,
cabbage looper,cabbage looper,Other,,76,Blackhawk; A1101.04; Aceto Bifenthrin 2E; A1101.19; Bonide Bacillus Thuringiensis (Bt) Moth Larvae (Caterpillar) Control,Review needed - unclear target type,,,,,
Cabbage looper (Trichoplusia ni),Cabbage looper (Trichoplusia ni),Other,,8,A103.02; LN 1% PY,Review needed - unclear target type,,,,,
Cabbage looper larvae (Trichoplusia ni),Cabbage looper larvae (Trichoplusia ni),Insect,,6,Loopex,,,,,,
Cabbage Loopers,Cabbage Loopers,Other,,96,AgriDiatomSil; AX-NOVAL; Bifen 25% EC; 2016BIFENTHRIN; Bifen 2EC Select Insecticide,Review needed - unclear target type,,,,,
Cabbage loopers,Cabbage loopers,Other,,91,"A122.01™; Drexel Acephate 75 WSP; DEBUG OPTIMO; Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; Bonide Eight Insect Control Concentrate",Review needed - unclear target type,,,,,
cabbage loopers,cabbage loopers,Other,,12,PRAMEX® Insect Killer R4 30223; Hi-Yield,Review needed - unclear target type,,,,,
Cabbage Lopper,Cabbage Lopper,Other,,1,CT Pyrethrin Insecticide Dust,Review needed - unclear target type,,,,,
Cabbage Maggot,Cabbage Maggot,Insect,,23,A198.01; A198.03; Arena 50 WDG Insecticide; A110.08; A110.05,,,,,,
Cabbage maggot,Cabbage maggot,Insect,,19,BIFENTHRIN LFC 1.5; E2Y45 70WG Insect Control; Coragen Insect Control; F4022-1; Bifenture LFC Insecticide,,,,,,
Cabbage Maggots,Cabbage Maggots,Insect,,5,AgriDiatomSil; Discipline 2EC; FG14002-80; 2016BIFENTHRIN; Sharda Bifenthrin 17.15% LFC,,,,,,
Cabbage maggots,Cabbage maggots,Insect,,1,Cruiser® 70WS Insecticide,,,,,,
Cabbage root maggot,Cabbage root maggot,Insect,,1,Entrust SC,,,,,,
Cabbage root maggot (suppression),Cabbage root maggot (suppression),Insect,,1,Radiant SC,,,,,,
Cabbage Seedpod Weevil,Cabbage Seedpod Weevil,Insect,,1,Exirel Insect Control,,,,,,
Cabbage Webworm,Cabbage Webworm,Insect,,79,A198.01; A122.03; A115.04; A122.05; A115.02,,,,,,
Cabbage webworm,Cabbage webworm,Insect,,50,A152.03; A197.05; A122.01™; A152.02; A177.04,,,,,,
cabbage webworm,cabbage webworm,Insect,,4,LIBERTY LAMBDA 2 ME; CHA 1525-03; DECLARE; CHA 1550-03,,,,,,
Cabbage Webworms,Cabbage Webworms,Insect,,2,Chemsico Insecticide Concentrate 22L; Sharda Lambda-Cyhalothrin 120 EC,,,,,,
Cabbage White,Cabbage White,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
Cabbage Worms,Cabbage Worms,Insect,,10,Bonide Permakil 25; TC-123 Insecticide; A145.01,,,,,,
Cabbage worms,Cabbage worms,Insect,,36,Chemsico Aerosol Insecticide GSF; Synergy Brand,,,,,,
Cabbage-aphid,Aphids,Insect,,2,"Southern Permethrin 10% Lawn Insecticide; HI-YIELD PERMETHRIN CONCENTRATE LAWN, GARDEN, DOG & LIVESTOCK INSECT CONTROL",,,,,,
Cabbageworm,Cabbageworm,Insect,,49,ACETO BIFENTHRIN 2 EC; A110.08; A110.03; ACME MALATHION 50% SPRAY; A110.05,,,,,,
cabbageworm,cabbageworm,Insect,,1,Aceto Bifenthrin 2E,,,,,,
Cabbageworm caterpillar,Caterpillars/Moths,Insect,,1,Drexel L-C Insecticide,,,,,,
Cabbageworms,Cabbageworms,Insect,,77,Aerosol NEU1161 RTU; Bifen 25% EC; BIFEN 2EC AG INSECTICIDE/MITICIDE; 2016BIFENTHRIN; Bifen 2EC Select Insecticide,,,,,,
cabbageworms,cabbageworms,Insect,,18,Concern INSECT KILLING SOAP Ready To Use; Trilogy XL-O Fungicide/Miticide/Insecticide,,,,,,
Cadelies,Cadelies,Other,,2,PYRENONE 3-15 Space Spray,Review needed - unclear target type,,,,,
Cadelle,Cadelle,Other,,1,Metabrom 100,Review needed - unclear target type,,,,,
cadelle,cadelle,Other,,10,METH-O-GAS® Q; Meth-O-Gas 100; Methyl Bromide 100,Review needed - unclear target type,,,,,
Cadelle Beetle),Beetles,Insect,,2,EVERGREEN Crop Protection EC 60-6,,,,,,
Cadelle Beetles,Beetles,Insect,,4,Premium Dairy Aerosol; Pyrenone Aerosol Spray,,,,,,
Cadelles,Cadelles,Other,,40,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; Entech Fog-10 Space Spray; PRENTOX® FOG and MILL SPRAY; A145.01,Review needed - unclear target type,,,,,
cadelles beetles,Beetles,Insect,,2,DY-FLY Dairy Aerosol,,,,,,
Calandrinia ciliata,Calandrinia ciliata,Other,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Calico Scale,Calico Scale,Insect,,14,MITE-E-OIL; OMNI OIL 6; ClearGuard™ Horticultural Spray Oil; Dormant Flowable Emulsion; BIOCOVER LS,,,,,,
Calico scale,Calico scale,Insect,,4,BioCover SS; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,,,,
Calico scales,Calico scales,Insect,,3,Soydorm Oil; Drexel Carbaryl 4L,,,,,,
California,California,Other,,10,F7127 SE HERBICIDE,Review needed - unclear target type,,,,,
California brome,California brome,Other,,5,FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
California Dogface,California Dogface,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
California ground squirrel,California ground squirrel,Vertebrate,,4,WILCO ZINC AG BAIT,,,,,,
California Marble,California Marble,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
California Oakworm,California Oakworm,Insect,,9,ORTHENE 97 PELLETS; ACECAP Systemic Insecticide Implants,,,,,,
California oakworm,California oakworm,Insect,,4,LAMBDA 0.5% CONCENTRATE; Chemsico Insecticide Concentrate 16L; LAMBDA 0.002% READY TO USE,,,,,,
California Orangedog,California Orangedog,Other,,1,Danitol 2.4 EC Spray,Review needed - unclear target type,,,,,
California orangedog,California orangedog,Other,,4,Metabrom 100; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,Review needed - unclear target type,,,,,
California pear slug,California pear slug,Other,,2,M-97-009 Kaolin; Acti-Min FE,Review needed - unclear target type,,,,,
California pearslug,California pearslug,Other,,2,Sevin XLR PLUS Carbaryl Insecticide,Review needed - unclear target type,,,,,
California Red,California Red,Other,,2,Damoil Supreme,Review needed - unclear target type,,,,,
California Red Scale,California Red Scale,Insect,,32,Avalaire Pyriprox 0.86 EC; AX PYRIPROXYFEN 0.86 EC; A118.02; A118.04; AVALAIRE PYRIPROXYFEN 0.86 EC,,,,,,
California red scale,California red scale,Insect,,23,APPLAUD 70DF Insect Growth Regulator; Fyfanon 57% EC; 14ACP703 SC Insecticide/Miticide; BYI 8330 150 OD Insecticide; FYFANON MALATHION INSECTICIDE,,,,,,
California Red Scale (Aonidiella aurantii),California Red Scale (Aonidiella aurantii),Insect,,3,Celada CRS 75; X-Mate CRS; Cidetrak CRS MESO,,,,,,
California red scale (suppression),California red scale (suppression),Insect,,2,Transform® CA; Closer SC,,,,,,
California red scales,California red scales,Insect,,2,Prentox 5 Lb. Malathion Spray; Drexel Malathion 5EC,,,,,,
California redscale (crawler),California redscale (crawler),Insect,,3,LAMBDA 0.5% CONCENTRATE; Chemsico Insecticide Concentrate 16L; Dominion 1.47% Plus Lambda 0.5% Liquid,,,,,,
California redscale (crawlers),California redscale (crawlers),Insect,,2,LAMBDA 0.002% READY TO USE,,,,,,
California Scale,California Scale,Insect,,2,SA-50 Malathion 50% E.C.; Sharda Malathion 50% EC,,,,,,
California Vole,California Vole,Vertebrate,,2,ZP Rodent Oat Bait AG,,,,,,
California vole,California vole,Vertebrate,,13,Zinc Phosphide Concentrate; WILCO ZINC AG BAIT,,,,,,
California voles (M. californicus),California voles (M. californicus),Vertebrate,,2,Zinc Phosphide on Oats,,,,,,
Camphorweed,Weeds,Weed,,9,BLASTWAVE 480 SC,,,,,,
Campyloma,Campyloma,Other,,9,Super Insecticidal Soap Concentrate,Review needed - unclear target type,,,,,
Campylomma (mullein plant bug),Campylomma (mullein plant bug),Insect,,2,Enkounter Insecticide,,,,,,
Canada,Canada,Other,,24,Clean Slate®; Biscayne Herbicide; Garrison Herbicide; A339.01; GCS Clopy 360SL,Review needed - unclear target type,,,,,
Canada (suppression only),Canada (suppression only),Other,,1,LPI.A026,Review needed - unclear target type,,,,,
Canada Thistle,Canada Thistle,Weed,,18,NFA-0020110; Avalaire Clopyralid 3 SL; Dri-Clean C Herbicide; PRUVIN® Herbicide; GCS Clopy 360SL,,,,,,
Canada thistle,Canada thistle,Weed,,68,Alligare Clopyralid 3 SL; CLOPYR AG; A363.01; A339.01; Clopyralid,,,,,,
Canada thistle (suppression only),Canada thistle (suppression only),Weed,,2,CLOPYR AG,,,,,,
Canada Thistle (suppression),Canada Thistle (suppression),Weed,,1,Avalaire Clopyralid 3 SL,,,,,,
Canada thistle (suppression),Canada thistle (suppression),Weed,,2,GF-1966; LIBERTY CLOP,,,,,,
Canadian Thistle,Canadian Thistle,Weed,,1,"2,4-D Amine 4",,,,,,
Canadian thistle,Canadian thistle,Weed,,1,"Avalaire 2,4-D Amine",,,,,,
Canarygrass,Grasses,Weed,,3,IMAZETHAPYR 240 SL,,,,,,
Candidatus Liberibacter spp.,Candidatus Liberibacter spp.,Other,,1,ENV503 Biofungicide Wettable Powder,Review needed - unclear target type,,,,,
Cane and Leaf Rust,Rust,Disease,,8,MYCLOBUTANIL 40WP AG; MYCLOBUTANIL 20EW AG; NUP-14068 Fungicide; AX MYCLO 19.7EC AG,,,,,,
Cane and leaf rust,Rust,Disease,,6,Myclobutanil 2% Homeowner; INDICT Fungicide; Rally 40WSP,,,,,,
cane and leaf rust,Rust,Disease,,2,A299.01,,,,,,
Cane and leaf rust (Kuehneola spp.),Rust,Disease,,2,Avalaire Myclobutanil 40 WSP,,,,,,
cane and leaf rust (Kuehneola spp.),Rust,Disease,,2,Ax Myclobutanil 40WSP,,,,,,
Cane and Stem Canker),Cane and Stem Canker),Disease,,1,Ziram 76DF Fungicide,,,,,,
Cane anthracnose,Cane anthracnose,Insect,,1,NORDOX Super Micronized Fungicide,,,,,,
Cane Blight,Blight,Disease,,4,Hydrite PAA HP 15:22 AG; LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE; SULFORIX,,,,,,
Cane blight,Blight,Disease,,1,NORDOX Super Micronized Fungicide,,,,,,
Cane botrytis,Cane botrytis,Other,,5,ENDORSE Water Dispersible Granules,Review needed - unclear target type,,,,,
Cane Canker,Cane Canker,Disease,,3,Lilly Miller KOP-R-SPRAY Concentrate; LIQUI-COP; COPPER-COUNT-N,,,,,,
Cane canker,Cane canker,Disease,,4,NORDOX 30/30 WG; KOP-AM Complex; Nordox 75 WG,,,,,,
Cane Rust,Rust,Disease,,2,VPG Myclobutanil Concentrate,,,,,,
Cane rust,Rust,Disease,,1,Chemsico Fungicide M,,,,,,
Cane Spot,Leaf Spot,Disease,,98,Axill Propiconazole 3.6EC; Basic Copper 50 HB; AG Copp 75; Badge SC; Badge X2,,,,,,
Cane spot,Leaf Spot,Disease,,24,ALONGLIFE™; Agri-Life; Bonide Copper Spray or Dust; Funguran Progress; Cueva 2.4 Copper Soap,,,,,,
Cane spots,Leaf Spot,Disease,,2,KOP-5,,,,,,
Canker,Canker,Disease,,21,Avalaire Cyprodinil + Difenoconazole; A253.08; Companion® Maxx Liquid Biological Fungicide; Carb-O-Nator; A253.05 [Vango ESQ],,,,,,
Canker (suppression),Canker (suppression),Disease,,1,CS 2005,,,,,,
Canker and Twig Blight,Blight,Disease,,1,Prothioconazole + Azoxystrobin,,,,,,
canker diseases,canker diseases,Disease,,1,VINTEC,,,,,,
Cankers,Cankers,Disease,,34,Nufarm T-Methyl SPC 50 WSB Fungicide; Nufarm T-Methyl SPC 4.5 F Fungicide; 3336 EG; 3336 F; OHP 4.5 L,,,,,,
Cankers and Diebacks,Cankers and Diebacks,Disease,,8,Tee-Off 4.5F,,,,,,
cankers and diebacks,cankers and diebacks,Disease,,1,3336 70EG,,,,,,
Cankerworm,Cankerworm,Insect,,20,BioproTeK; Danitol 2.4 EC Spray; Thuricide 48 LV; Lepinox® WDG; ACECAP Systemic Insecticide Implants,,,,,,
Cankerworm (Spring & Fall),Cankerworm (Spring & Fall),Insect,,18,Condor WP; Cutlass; Condor XL,,,,,,
Cankerworm (Spring and Fall),Cankerworm (Spring and Fall),Insect,,7,ORTHENE 97 PELLETS,,,,,,
Cankerworm species,Cankerworm species,Insect,,6,A152.03; Proclaim Insecticide; A152.02,,,,,,
Cankerworms,Cankerworms,Insect,,145,BioproTeK; Bioprotec PLUS; Aerosol NEU1161 RTU; Azatin® XL; BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,,,,
cankerworms,cankerworms,Insect,,1,Chemsico Insecticide Concentrate 16L,,,,,,
Cankerworms (Fall),Cankerworms (Fall),Insect,,1,Hi-Yield 10% Permethrin Concentrate,,,,,,
Canopy growth,Canopy growth,Other,,2,Flurprimidol Solution,Review needed - unclear target type,,,,,
Canopy shaping,Canopy shaping,Other,,1,A573.01,Review needed - unclear target type,,,,,
Capsella bursa-pastoris,Capsella bursa-pastoris,Other,,9,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Carex spp.,Carex spp.,Other,,9,F6285 4F CAL Herbicide; Rotam Mesotrione 480 SC,Review needed - unclear target type,,,,,
Caribbean Black Scale,Caribbean Black Scale,Insect,,14,Anarchy 30 SG Insecticide; ArVida 70 WP; AG35814 R334.2 70 WP Insecticide; ASSAIL® 70 WP Insecticide; ASSAIL® 30 SG Insecticide,,,,,,
Caribbean black scale,Caribbean black scale,Insect,,1,Enkounter Insecticide,,,,,,
Caribbean Fruit Fly,Flies,Insect,,1,Danitol 2.4 EC Spray,,,,,,
Carmen mite,Mites,Insect,,1,Sysstem Ready BLUE,,,,,,
Carmine,Carmine,Other,,5,2016BIFENTHRIN; FG14002-80; Discipline 2EC,Review needed - unclear target type,,,,,
Carmine and Pacific Spider),Carmine and Pacific Spider),Insect,,3,2016BIFENTHRIN; FG14002-80,,,,,,
Carmine and Twospotted Spider),Carmine and Twospotted Spider),Insect,,1,FG14002-80,,,,,,
