Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
Broad necked root borer,1,Warhawk,,,
Broad spectrum weed control,21,Nufarm Credit Duo Herbicide,,,
Broad spider,4,MITEY; Avalaire Promite 6 EC,,,
Broad spider mite,5,E117.01; Comite; A117.02,,,
Broad-necked root borer,3,Warhawk ClearForm; Drexel Chlorpyrifos 4E-AG2; Drexel Chlorpyrifos 4E-AG,,,
Broad-spectrum weed control,41,ClearOut TEC Herbicide; Willowood Glypho 41%,,,
Broaden harvest timing with delayed fruit maturity,1,Tide Forchlorfenuron 0.8 SL PGR,,,
Broadleaf,37,Galigan® H2O; Avalaire Metribuzin 4 F; A229.02; Alligare Sulfentrazone 4SC; DREXEL Me-Try-Buzin 4L,,,
Broadleaf (seedling),3,IMAZETHAPYR 240 SL,,,
Broadleaf Signalgrass,10,Sharda Metribuzin 4SC; METRIBUZIN 4L; TIGRIS MTZ 4 F; IMAZETHAPYR 240 SL,,,
Broadleaf Weeds,96,"Avenger AG Optima Burndown Herbicide; Amine 4 2,4-D Weed Killer; AX HALO 75 WDG; Dimension 270G; Ike’s Glufosinate 280 SL",,,
Broadleaf and grass weeds,92,Ax-Mesotrione; EPTAM 7E Selective Herbicide; AX FLUMIOXAZIN 4 SC; Frigate LW 51% WDG; ARGOS HERBICIDE,,,
Broadleaf and grassy weeds,10,Flumioxazin 51% WG,,,
Broadleaf dock,4,Weed Rhap A-4D; Weedar 64 Broadleaf Herbicide; DREXEL DE-AMINE 4,,,
Broadleaf signalgrass,12,Dimetric DF 75%; METRI DF; Drexel Me-Try-Buzin 75DF; Metribuzin 4L; FreeHand 1.75G Herbicide,,,
Broadleaf weed control,1,A229.01,,,
Broadleaf weeds,2424,"A306.01; 2,4-D DMA-DEA LDV; 2,4-D AMINE 4; 2,4-D AMINE 6; 88.8% 2,4-D Ester",,,
Broadleaf weeds and grasses,13,Rage Herbicide,,,
Broadleaf weeds and sedges,15,Basagran Herbicide,,,
Broadleaf weeds and woody plants,3,HM-0339,,,
Broadleaf weeds controlled,1,Avalaire Fomesafen 2.87,,,
Broadleaf weeds partially controlled,1,Avalaire Fomesafen 2.87,,,
Broadleaved Weeds,6,Ornamental Herbicide II,,,
Broadleaved weeds,1,DREXEL DE-ESTER LV6,,,
Broadmites,4,LAMBDA 0.5% CONCENTRATE; Dominion 1.47% Plus Lambda 0.5% Liquid; LAMBDA 0.002% READY TO USE,,,
Broadnecked root borer,1,Drexel Lambdafos,,,
Brome,13,Willowood Pronamide 3.3SC; Velpar DF CU; Velpar® L CU,,,
Bromegrass species,10,F7127 SE HERBICIDE,,,
Bronze Birch Borer,2,ACECAP Systemic Insecticide Implants,,,
Bronze birch borer,2,Mantra 60 WSP; IMA-jet 10%,,,
Brook's Spot,1,Ferbam Granuflo,,,
Brooks Fruit Spot,55,Avalaire Cyprodinil + Difenoconazole; A253.08; AKOTOP 85 WG; Avalaire T-Methyl 4.5F; A253.05 [Vango ESQ],,,
Brooks Fruit Spot (Mycosphaerella sp.),1,Quali-Pro™ 4.5,,,
Brooks Spot,30,BASIC COPPER 53; Basic Copper 50 HB; BACIX; ARMOUR-Zen 15%; Armour-Zen,,,
Brooks fruit rot,1,SysTec 1998 FL,,,
Brooks fruit spot,45,A20259 Crop; A253.01; ADA 76901; Aprovia Fungicide; Avalaire Difenoconazole EC,,,
Brooks spot,38,AX FLUAZINAM; BC18-WG; Avalaire Fluazinam 4F; A228.03; Bonide Copper Spray or Dust,,,
Broomsedge,7,Velpar® L CU; Evital 5G; Tide Hexazinone 75 WDG; Velpar DF CU,,,
Brown,4,Drexel Suffa; TERRASTAT 22-S; Damoil Supreme,,,
Brown Almond Mite,2,LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE; Britz Supreme Spray Oil,,,
Brown Apricot Scale,139,IAP 440 Spray Oil; Dormant Flowable Emulsion; Britz 415 Supreme Spray Oil; Britz Supreme Spray Oil; HI Supreme Spray Oil,,,
Brown Leaf Notcher,31,AgSaverTM Bifenthrin 2EC; A110.04; A110.03; A110.08; A110.05,,,
Brown Leaf Notcher (Epicaerus mexicanus),4,Imidacloprid Plus Bifenthrin 1 + 1 SC; Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC; Brigadier Insecticide,,,
Brown Leaf Notchers,3,2016BIFENTHRIN; FG14002-80; Discipline 2EC,,,
Brown Leaf Spot,17,AzoxyTebuZone; Azoxystrobin 200 g/L + Tebuconazole 300 g/L SC Fungicide; A225.11; Agri Tin Flowable; AmTide TEBU 3.6F Foliar Fungicide,,,
Brown Marmorated Stink Bug,68,Endigo® ZC; Endigo® ZCX; ACENTHRIN INSECTICIDE; Argyle Insecticide; Lannate LV Insecticide,,,
Brown Marmorated Stink Bug (BMSB),18,EVERCIDE® Emulsifiable Concentrate 28061,,,
Brown Marmorated Stink Bugs,2,EVERCIDE Permethrin Insect Repellent 27701; Evercide® Permethrin Multi-Purpose Spray 27781,,,
Brown Marmorated Stink Bugs (BMSB),4,Evercide® 2.5 Permethrin Concentrate/Repellent,,,
Brown Marmorated Stinkbug,2,ORTHENE 75 S Soluble Powder; F9318,,,
Brown Marmorated Stinkbug (except CA),1,ORTHENE 97 PELLETS,,,
Brown Mite,58,LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE; Liberty 440 Supreme Spray Oil; DORMANT & SUMMER SPRAY OIL; BIOCOVER UL; Diazinon AG500,,,
Brown Mite (Clover Mite),1,Diazinon AG600 WBC Insecticide,,,
Brown Mite Eggs,28,PREV-AM ULTRA; Liberty 440 Supreme Spray Oil; PURESPRAY™ GREEN FORMULA 3; BIOCOVER UL; BIOCOVER LS,,,
Brown Mite eggs,12,Diazinon AG600 WBC Insecticide; ClearGuard™ Horticultural Spray Oil; PureSpray Green,,,
Brown Mites,63,MITE-E-OIL; OMNI OIL 6; LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE; DORMANT & SUMMER SPRAY OIL; Diazinon AG600 WBC Insecticide,,,
Brown Rot,393,ACME Wettable Dusting Sulfur; Abound Flowable Fungicide; 3 LB. COPPER FLOWABLE FUNGICIDE; A253.09; A225.13,,,
Brown Rot (Blossom Blight),3,Quimag Quimicos Aguila Copper Sul,,,
Brown Rot (Phytophthora spp.),2,PHC 25279,,,
Brown Rot (Twig Blight),1,CAPTAN 80 WDG,,,
Brown Rot / Blossom Blight,40,EcoSwing Botanical Fungicide,,,
Brown Rot Blossom,16,BASIC COPPER 53; BLUE SHIELD DF; Basic Copper 50 HB; 3 LB. COPPER FLOWABLE FUNGICIDE; Blue Shield 40DF,,,
Brown Rot Blossom / Twig Blight (Monilinia fructicola,8,PHC 25279,,,
Brown Rot Blossom Blight,564,A-Zox 25SC; 3 LB. COPPER FLOWABLE FUNGICIDE; A19649 Crop; A-Zox 50WDG; A21461 Crop,,,
Brown Rot Blossom Blight (Monilinia laxa and Monilinia fructicola),6,PHC 25279,,,
Brown Rot Blossom Blight (Monilinia spp.),8,BOTRY-Zen; Tigris AzoxyProp,,,
Brown Rot Blossom Blight (Monilinia),5,Quali-Pro™ 4.5,,,
Brown Rot Blossom Blight and Fruit Rot,73,Avalaire Cyprodinil + Difenoconazole; A253.08; Azoxystrobin H&G Fungicide Concentrate; Armour-Zen; A253.05 [Vango ESQ],,,
Brown Rot Blossom Blight and fruit rot,4,Zorda WG Biological Fungicide,,,
Brown Rot Blossom Blight/Hull Rot,14,Vismax Tree and Vine,,,
Brown Rot Blossom and Fruit Rot,4,STK-73,,,
Brown Rot Blossom and Twig Blight,13,Defend DF; Sulphur W.G.; CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,
Brown Rot Blossom blight,8,PPZ 1.55% Multi-Purpose Fungicide; PPZ 1.55% HG Fungicide,,,
Brown Rot Fruit Rot,43,Forticept EP #1; Azoxy 50WDG Select; AZOXYSTROBIN 22.9% SC; Laredo EW; Forticept EP #3,,,
Brown Rot and Blight,54,Nufarm T-Methyl SPC 4.5 F Fungicide; FANATE 70WSB; 3336 EG; Azoxystrobin 200 g/L + Tebuconazole 300 g/L SC Turf and Ornamental Fungicide; 3336 F,,,
Brown Rot and Root Rot (Phytophthora spp.),2,MAXIPHITE Fungicide,,,
Brown Rot blossom blight,2,Miller’s Garden Sulphur,,,
Brown Rot of Fruit,14,A225.13; Incognito 85 WDG; Thiophanate-methyl 85% WDG; AZteroid FC 3.3,,,
Brown Rot on Fruit,63,AzoxyProp; Axill AzoxyProp; Avalaire AzoxyProp; A225.08; Azoxy + Propi SE,,,
Brown Rot twig and blossom blight,3,CAPTAN GOLD 4L; LPI.A050,,,
Brown Rot/Blossom Blight,14,METCONAZOLE 50 WDG Fungicide; V-10135 4 SC Fungicide; EQUUS DF; Nevado 4F,,,
Brown Rust,3,ARMOUR-Zen 15%,,,
Brown Scale,12,Diazinon AG600 WBC Insecticide; Diazinon AG500; ClearGuard™ Horticultural Spray Oil; Liberty 440 Supreme Spray Oil,,,
Brown Scale Crawlers,2,Dibrom 8 Emulsive,,,
Brown Soft Scale,78,Avalaire Pyriprox 0.86 EC; AX PYRIPROXYFEN 0.86 EC; A118.02; A118.04; AVALAIRE PYRIPROXYFEN 0.86 EC,,,
Brown Spanworm,1,BioproTeK,,,
Brown Spanworms,10,Bioprotec Caterpillar Insecticide Concentrate,,,
Brown Spider Mite,3,Britz 415 Supreme Spray Oil,,,
Brown Spot,76,A253.04; A201.08; A230.03; A253.09; A253.05 [Vango ESQ],,,
Brown Spot (Alternaria alternata),2,MAXIPHITE Fungicide; Heads Up Plant Protectant,,,
Brown Spot (Cercospora),1,Quali-Pro™ 4.5,,,
Brown Stink Bug,42,Dinotefuran 70 SG Insecticide; A198.01; F6570 EW Master Insecticide; A198.03; Ax Zeta-Cyper 915,,,
Brown almond,251,Avalaire Fenazate 50 WSB; A105.01; Acramite-50WS; AX BIFENAZATE 50 WSB; A105.04,,,
Brown almond mite,124,A105.02; Drexel Chlorpyrifos 4E-AG; ACRAMITE-4SC; ACARITOUCH; Drexel Chlorpyrifos 4E-AG2,,,
Brown almond mites,1,IDA's SULFA-92,,,
Brown apricot scales,14,Soydorm Oil; Damoil Supreme; Damoil Dormant & Summer Spray Oil,,,
Brown fruit rot,1,Scala Brand SC Fungicide,,,
Brown leaf notcher,5,ACETO BIFENTHRIN 2 EC; Liberty Imidacloprid Bifenthrin; Brigadier HPG Insecticide; Sniper; Sharda Bifenthrin 2E,,,
Brown leaf notcher (Epicacrus mexicanus),1,SWAGGER,,,
Brown leaf notcher (Epicaerus mexicanus),1,F4092-3,,,
Brown leaf spot,54,Affiance Fungicide; A224.04; A201.07; AG33037 A 3.4FL Fungicide; A201.09,,,
Brown leaf spot (Cercospora fusca),2,Liberty 3 Way,,,
Brown leaf spot (Cercospora spp.),2,Propiconazole Fungicide; Bumper 14.3 EC,,,
Brown leaf spot (Sirosporium diffusium),1,HELMSTAR PLUS SC,,,
Brown leaf spot (Sirosporium diffusum),2,Liberty 3 Way,,,
Brown marmorated stink bug,12,Lannate SP; Bifenture EC Agricultural Insecticide; Tempo® Ready-to-Use Insecticide,,,
Brown marmorated stink bugs (BMSB),1,Ranger Ready Permethrin 0.5% Repellent,,,
Brown mite,31,Damoil Supreme; BioCover SS; ENVIDOR 2 SC MITICIDE; F6126 EW Insecticide; Athena Insecticide,,,
Brown mite eggs,27,Drexel Diazinon Insecticide; BioCover SS; BioCover MLT; SUPREME OIL 98-2; DREXEL FO-70,,,
Brown mites,15,Drexel Diazinon Insecticide; Damoil Supreme; Soydorm Oil; DREXEL SULFUR 8; Damoil Dormant & Summer Spray Oil,,,
Brown mold and Black pit,2,Theia Fungicide,,,
Brown rot,566,A20259 Crop; A253.01; A20560 Crop Fungicide; A224.03; A253.02,,,
Brown rot (Fruit),7,DREXEL 80% KAPTAN; DCC Captan 4L; DREXEL CAPTAN 50W FUNGICIDE; DREXEL 80% CAPTAN; DREXEL CAPTAN 50W,,,
Brown rot (Monilinia laxa,4,TEBUCON 45 DF FUNGICIDE,,,
Brown rot (Monilinia spp.),15,HELMSTAR PLUS SC; Avalaire Myclobutanil 40 WSP; PacRite Propi 155 EC; TEBUCON 45 DF FUNGICIDE,,,
Brown rot (Twig blight),14,DREXEL 80% KAPTAN; Captan 4L; DCC Captan 4L; Captan 80WDG; DREXEL 80% CAPTAN,,,
Brown rot (blossom blight,21,GCS Tebustrobin SC; HAG-R-00452; Tebuzol™ 45DF Fungicide; Tebuconazole 45 WP; A225.11,,,
Brown rot (blossom blight),1,NORDOX Super Micronized Fungicide,,,
Brown rot (fruit),15,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,
Brown rot (twig blight),16,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,
Brown rot and blight,1,3336 70EG,,,
Brown rot and blossom blight,3,Mibelya Fungicide,,,
Brown rot blossom,9,Dusting Sulfur; SysTec 1998 FL; Bonide Copper Spray or Dust,,,
Brown rot blossom and twig blight,9,Echo 825; Echo 720; Chlorothalonil 82.5DF Select; Chlorothalonil 720; Chlorothalonil-ZN,,,
Brown rot blossom blight,379,A225.05; A201.04; A225.11; A224.03; A201.06,,,
Brown rot blossom blight (Monilinia laxa,4,HELMSTAR PLUS SC; TEBUCON 45 DF FUNGICIDE,,,
Brown rot blossom blight (Monilinia spp.),8,Ensign 82.5%; Avalaire Myclobutanil 40 WSP,,,
Brown rot blossom blight and Fruit rot,4,A253.02,,,
Brown rot blossom blight and fruit rot,40,A20259 Crop; A23089 Fungicide; A19649 Crop; Avalaire Difenoconazole EC; A21461 Crop,,,
Brown rot blossom twig blight,1,Chlorothalonil 720 Select,,,
Brown rot fruit rot,14,Heritage Fungicide; Inspire; A253.01; Postiva Alta,,,
Brown rot of fruit,11,Dusting Sulfur; Theia Fungicide; Serifel Biofungicide,,,
Brown rot on fruit,4,NUP-12103 Fungicide,,,
Brown rot twig,3,Captan 80WDG; Captan 50-W; ADA 76901,,,
Brown rot twig and blossom blight,11,Captan 50% WP; Captan 4L; Captan 80 DF; Captan 80 WDG; Captan 50 Wettable Powder,,,
Brown rot twig blight,2,DCC Captan 4L; Drexel Captan 4L Fungicide,,,
Brown rot/Blossom Blight,1,Priaxor Xemium Brand Fungicide,,,
Brown rot/Blossom blight,13,Imbrex Xemium Fungicide Technical; Serifel Biofungicide; Merivon Xemium Brand Fungicide; Sercadis Xemium Brand Fungicide; ArmorTech MYCLO 20 EW,,,
Brown rot/hull rot,11,A20259 Crop; A253.01; A253.10; AVALAIRE DIFEN + PPZ EC; A253.02,,,
Brown scale,7,Movento HL; Ultor; Movento; 14ACP703 SC Insecticide/Miticide; BYI 8330 150 OD Insecticide,,,
Brown scales,5,Drexel Diazinon Insecticide,,,
Brown soft,2,Damoil Supreme,,,
Brown soft scale,3,SEVIN 80 Solupak; Narrow Range 415 Spray Oil,,,
Brown softscale,4,LAMBDA 0.5% CONCENTRATE; Dominion 1.47% Plus Lambda 0.5% Liquid; LAMBDA 0.002% READY TO USE,,,
Brown spanworm,2,GRANDEVO; MBI-203 WDG,,,
Brown spot,67,A20259 Crop; A201.04; A230.04; A19649 Crop; A20560 Crop Fungicide,,,
Brown spot (Alternaria alternata),2,AX Fluazi-Difeno; Revus Top,,,
Brown spot and Black pit,2,Revytek Fungicide; Priaxor Xemium Brand Fungicide,,,
Brown spot and black pit,3,Theia Fungicide; Merivon Xemium Brand Fungicide; Serifel Biofungicide,,,
Brown stink bug,2,Fastac CS Insecticide,,,
Browntop,8,Prodiamine Pro F 0.20% Herbicide,,,
Browntop Millet,2,Sharda Metribuzin 4SC,,,
Browntop panicum,5,FreeHand 1.75G Herbicide,,,
Bruce Spanworm,2,Sharda Indoxacarb 30% WDG,,,
Bruce spanworm,4,AVAUNT; AVAUNT® eVo insect control; A197.05,,,
Brush,14,EH-1488 HERBICIDE; Bonide KU GR RTU; DERRINGER Herbicide; Eraser 18% Systemic Weed and Grass Killer; EH-1633 HERBICIDE,,,
Brush (Tough Weeds),2,BN-1438,,,
Brush and other Hard-to-Control Weeds and Grasses,54,Bonide KU GR Concentrate,,,
Buck-Eye Rot,4,Rhapsody ASO; SERENADE ASO,,,
Buck-eye rot,2,BC18-WG,,,
Buckeye,1,DuPont Tanos,,,
Buckeye Rot,28,Avalaire Azoxy 2 SC; A225.09; Abound Flowable Fungicide; A-Zox 50WDG; A225.13,,,
Buckeye rot,18,GAVEL 75 DF; AX AZOXY 229; A225.05; Heritage Fungicide; Helmstar Fungicide,,,
Buckhorn Aphid,20,BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE; EVERCIDE® Emulsifiable Concentrate 28061; EVERCIDE® Vegetable and Garden Insect Killer 28063; EVERCIDE Emulsifiable Concentrate 2668,,,
Buckhorn Plantain,6,A313.01; LPI.A011; Comet Selective Herbicide,,,
Buckhorn plantain,3,OBTAIN 40% WDG Herbicide; Liberty Fluroxypyr Herbicide,,,
Buckthorn Aphid,12,Bonide® RTU Vegetable & Ornamental Insect Spray; Unicorn Vegetable Spray EC; EsfenStar 8% EC; Dupont Asana XL Insecticide,,,
Buckthorn aphid,7,AG35802-A B 50 WDG Insecticide; Fulfill®; A151.01; Avalaire Pymetrozine; AG35802-a C 50 WDG Insecticide,,,
Buckwheat,18,Clean Slate®; Biscayne Herbicide; Garrison Herbicide; GCS Clopy 360SL; IMAZETHAPYR 240 SL,,,
Bud,2,Drexel Suffa,,,
Bud Mite,10,Cosavet DF; MICROTHIOL DISPERSS; LIFESUL 80 DF; Sulfur 80 WDG; Nuprid-S WG,,,
Bud Mites,4,Yellow Jacket Wettable Sulfur II; Defend DF; Sulphur W.G.,,,
Bud Moths,6,Ortho Malathion 50 Insect Spray,,,
Bud Rot,2,Companion® Maxx Liquid Biological Fungicide,,,
Bud formation,12,Stimulate Bud Former,,,
Bud mite,4,Sulfur Dual Spraying 90 WP; Sulfur 6L; WETTABLE SULFUR; Kumulus DF,,,
Bud mites,1,Drexel Sulfa 80W,,,
Bud moth,2,Malathion 8; Malathion 8 Aquamul,,,
Bud moths,4,Proclaim Insecticide; A152.02,,,
Budmoths,9,AX-NOVAL; A122.03; ADA 11280 Insecticide; A122.05; RIMON® 0.83EC Insecticide,,,
Budmoths (Eyespotted,1,A122.01™,,,
Budworm,72,Naturalis L Biological Insecticide; Acetamiprid Concentrate Insecticide; Liberty BIFEN-IMIDA 2-1 SC; BIFENTHRIN 2EC AG; LIBERTY ACETA-BIF,,,
Budworms,16,Bonide Systemic Insect Control; Chemsico Lawn Insect Spray; DEBUG OPTIMO; Azatin® XL; ACECAP Systemic Insecticide Implants,,,
Bug Mites,1,CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,
Bugs,2,AMVAC AZA 1.2% CF; AzaGuard,,,
Bugs (including Apple Red Bug),2,Brandt STS Horticultural Oil,,,
Bull thistle,2,Alligare Clopyralid 3 SL,,,
Bull's Eye Rot,22,eFOG-100 TBZ; Captan 38.75% FL; REGALIA® 16 Biofungicide; Mildore™ Max; SERENADE ASO,,,
Bull's eye rot,32,Captan 50% WP; Decco Pyrimethanil 400 SC; Captan 4L; DCC Captan 4L; Captan 50 Wettable Powder,,,
Bull's-eye rot,27,Academy; Fludioxonil 2L PH; Fludioxonil 99% Fogger; A254.01; A254.07,,,
Bulls-Eye Rot,21,Liberty TM 70 WSB; Avalaire T-Methyl 70 WSP; Incognito 85 WDG; LPI Thio-M 70 WSB; Avalaire T-Methyl 4.5F,,,
Bullseye Rot,2,VITRA 40 DF; AmeriCop 40 DF,,,
Bull’s Eye Rot,28,BACIX; ARMOUR-Zen 15%; Armour-Zen; CAPTAN 80 WDG; Decco TBZ 500 SC,,,
Bull’s eye rot,39,BC18-WG; ADA 76901; Captan 4L; Captan 80 DF; ActiMist PYR Foggable Fungicide,,,
Bull’s-Eye Rot,4,Zorda WG Biological Fungicide; Ziram 76DF Fungicide,,,
Bull’s-eye rot,10,Decco Fludi SC; Decco Fludi Aerosol; Decco D-Fine,,,
Bump spray,1,N-LARGE Premier,,,
Bunch Disease,4,ArborBiotic; Arbor-OTC,,,
Bunch Rot,82,AX MANCOZEB 75 DG; Dexter Max Fungicide; A295.01; EcoSwing Botanical Fungicide; AuxiGro WP Plant Metabolic Primer,,,
Bunch Rot (Botrytis),2,CAPTAN 80 WDG; Captan 38.75% FL,,,
Bunch Rots,5,DRY-UP; Leaf Act™ CSD 1525 Copper Sulfur Dust; C-O-C-S® 15 Sulfur 25 Dust; CSC Copper Sulfur Dust Fungicide; Britz Copper Sulfur 15-25 Dust,,,
Bunch rot,16,Falgro 2X LV; Botran 75-W; Botran® 5F Fungicide; FALGRO® Tablet; Dithane DF Rainshield,,,
Bunch rot (Botrytis),37,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,
Bunch rot of grapes,1,Novel 0.5% SC Fungicide,,,
Bunch rot reduction,1,ProGibb Plus 2X Plant Growth Regulator,,,
Bunch rots,1,Zinc Coposil Sulfur 15-30 Dust,,,
Bunchberry,1,Cleat 75WG Herbicide,,,
Bunchberry Leaffolder moth,2,Tempo Concentrate Insecticide,,,
Burclover,30,F7127 SE HERBICIDE; Galigan® H2O; DREXEL SIMAZINE 4F; Galigan 2E; A229.02,,,
Burcucumber,1,BCP258H_3 HERBICIDE,,,
Burdock,8,Clean Slate®; Avalaire Clopyralid 3 SL; A339.01; LIBERTY CLOP; GCS Clopy 360SL,,,
Burndown After Final Harvest,2,Verdure-X-Herbicide,,,
Burning,9,A229.02; Galigan® H2O; IMAZETHAPYR 240 SL,,,
Burning Nettle,6,V-10142 Ag Herbicide,,,
Burr Knot,10,GALLEX,,,
Burrowing Nematode,6,AX Oxamyl 24% SL; Oxamyl 24% SL,,,
Burrowing nematode,22,TELONE II; Pic-Clor 60; Telone C-35; LALNIX ACT DC; Biostat 10% WP,,,
Burrowing nematodes,24,Telone C-15; Tri-Form 80; Tri-Form 30; DiTera ES Biological Nematicide; Pic-Clor 30,,,
Burweed,5,FreeHand 1.75G Herbicide,,,
Buttercup,3,Galigan 2E,,,
Butternut filbertworm,2,AZ Lambda 2ME,,,
Buttonweed,3,Willowood OxyFlo 2EC; A229.02,,,
C. gloeosporioides),3,HELMSTAR PLUS SC,,,
C. lagenarium),2,PHC 25279,,,
CO2 Injury,5,eFOG-500 DPA,,,
CO2 injury,14,Textar DPA; eFOG-300 DPA,,,
Cabbage /. Copers,7,Pyrocide® Garden Spray Pressurized 30211,,,
Cabbage Aphid,15,Bonide Permakil 25; Bonide Potato Beetle Beater; Bonide Permakil RTU Permethrin Spray; AMBUSH 25W Insecticide Water Soluble Pack; AMBUSH Insecticide,,,
Cabbage Aphids,3,Bonide Eight Insect Control Dust; Ecto B715 Insecticide; Bonide Eight Insect Control Yard & Garden Ready To Spray,,,
Cabbage Looper,649,A115.04; A110.08; A110.03; A110.05; A115.02,,,
Cabbage Loopers,96,AgriDiatomSil; AX-NOVAL; Bifen 25% EC; 2016BIFENTHRIN; Bifen 2EC Select Insecticide,,,
Cabbage Lopper,1,CT Pyrethrin Insecticide Dust,,,
Cabbage Maggot,23,A198.01; A198.03; Arena 50 WDG Insecticide; A110.08; A110.05,,,
Cabbage Maggots,5,AgriDiatomSil; Discipline 2EC; FG14002-80; 2016BIFENTHRIN; Sharda Bifenthrin 17.15% LFC,,,
Cabbage Seedpod Weevil,1,Exirel Insect Control,,,
Cabbage Webworm,79,A198.01; A122.03; A115.04; A122.05; A115.02,,,
Cabbage Webworms,2,Chemsico Insecticide Concentrate 22L; Sharda Lambda-Cyhalothrin 120 EC,,,
Cabbage White,1,Tempo Concentrate Insecticide,,,
Cabbage Worms,10,Bonide Permakil 25; TC-123 Insecticide; A145.01,,,
Cabbage aphid,28,AG35802-A B 50 WDG Insecticide; A151.01; Avalaire Pymetrozine; ARCTIC® 3.2 EC; AG35802-a C 50 WDG Insecticide,,,
Cabbage aphids,17,Ecto B736 Insecticide; Evercide® 2.5 Permethrin Concentrate/Repellent; Bonide Eight Insect Control Concentrate; Dinotefuran 10SL; Hi-Yield Kill-A-Bug II,,,
Cabbage budworm,36,Crymax WP; Condor XL; Crymax®; Cutlass; Condor WP,,,
Cabbage flea beetle,7,Baythroid XL; Tempo® Ready-to-Use Insecticide; HM-1508 INSECTICIDE; Baythroid 2 Emulsifiable Pyrethroid Insecticide; Tempo Concentrate Insecticide,,,
Cabbage looper,460,A152.03; A152.02; A197.05; A132.01; A177.04,,,
Cabbage looper (Trichoplusia ni),8,A103.02; LN 1% PY,,,
Cabbage looper larvae (Trichoplusia ni),6,Loopex,,,
Cabbage loopers,91,"A122.01™; Drexel Acephate 75 WSP; DEBUG OPTIMO; Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; Bonide Eight Insect Control Concentrate",,,
Cabbage maggot,19,BIFENTHRIN LFC 1.5; E2Y45 70WG Insect Control; Coragen Insect Control; F4022-1; Bifenture LFC Insecticide,,,
Cabbage maggots,1,Cruiser® 70WS Insecticide,,,
Cabbage root maggot,1,Entrust SC,,,
Cabbage root maggot (suppression),1,Radiant SC,,,
Cabbage webworm,50,A152.03; A197.05; A122.01™; A152.02; A177.04,,,
Cabbage worms,36,Chemsico Aerosol Insecticide GSF; Synergy Brand,,,
Cabbage-aphid,2,"Southern Permethrin 10% Lawn Insecticide; HI-YIELD PERMETHRIN CONCENTRATE LAWN, GARDEN, DOG & LIVESTOCK INSECT CONTROL",,,
Cabbageworm,49,ACETO BIFENTHRIN 2 EC; A110.08; A110.03; ACME MALATHION 50% SPRAY; A110.05,,,
Cabbageworm caterpillar,1,Drexel L-C Insecticide,,,
Cabbageworms,77,Aerosol NEU1161 RTU; Bifen 25% EC; BIFEN 2EC AG INSECTICIDE/MITICIDE; 2016BIFENTHRIN; Bifen 2EC Select Insecticide,,,
Cadelies,2,PYRENONE 3-15 Space Spray,,,
Cadelle,1,Metabrom 100,,,
Cadelle Beetle),2,EVERGREEN Crop Protection EC 60-6,,,
Cadelle Beetles,4,Premium Dairy Aerosol; Pyrenone Aerosol Spray,,,
Cadelles,40,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; Entech Fog-10 Space Spray; PRENTOX® FOG and MILL SPRAY; A145.01,,,
Calandrinia ciliata,8,F6285 4F CAL Herbicide,,,
Calico Scale,14,MITE-E-OIL; OMNI OIL 6; ClearGuard™ Horticultural Spray Oil; Dormant Flowable Emulsion; BIOCOVER LS,,,
Calico scale,4,BioCover SS; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,
Calico scales,3,Soydorm Oil; Drexel Carbaryl 4L,,,
California,10,F7127 SE HERBICIDE,,,
California Dogface,1,Tempo Concentrate Insecticide,,,
California Marble,1,Tempo Concentrate Insecticide,,,
California Oakworm,9,ORTHENE 97 PELLETS; ACECAP Systemic Insecticide Implants,,,
California Orangedog,1,Danitol 2.4 EC Spray,,,
California Red,2,Damoil Supreme,,,
California Red Scale,32,Avalaire Pyriprox 0.86 EC; AX PYRIPROXYFEN 0.86 EC; A118.02; A118.04; AVALAIRE PYRIPROXYFEN 0.86 EC,,,
California Red Scale (Aonidiella aurantii),3,Celada CRS 75; X-Mate CRS; Cidetrak CRS MESO,,,
California Scale,2,SA-50 Malathion 50% E.C.; Sharda Malathion 50% EC,,,
California Vole,2,ZP Rodent Oat Bait AG,,,
California brome,5,FreeHand 1.75G Herbicide,,,
California ground squirrel,4,WILCO ZINC AG BAIT,,,
California oakworm,4,LAMBDA 0.5% CONCENTRATE; Chemsico Insecticide Concentrate 16L; LAMBDA 0.002% READY TO USE,,,
