Simplified_Target,Target_Type,Total_Count,Original_Targets
Dead Bud (Pseudomonas syringae),Other,13,Dead Bud (Pseudomonas syringae)
Pseudomonas,Other,13,Pseudomonas
Xanthomonas,Insect,13,Xanthomonas
Squash Vine Borer spp.,Insect,13,Squash Vine Borer spp.
California vole,Vertebrate,13,California vole
Vascular Collapse,Other,13,Vascular Collapse
Brome,Other,13,Brome
Snail,Other,13,Snail
Diaprepes root weevil,Insect,13,Diaprepes root weevil
Growth stimulation,Other,13,Growth stimulation
Tomato Pinworms,Insect,13,Tomato Pinworms
American black,Other,13,American black
Apple Maggot (adult),Insect,13,Apple Maggot (adult)
Mountain vole,Vertebrate,13,Mountain vole
Panicum (Fall),Other,13,Panicum (Fall)
Pseudomonas Syringae,Other,13,Pseudomonas Syringae
Peachtree Borers,Insect,13,Peachtree Borers
Lesser peachtree borers,Insect,13,Lesser peachtree borers
Macadamia nut borer (Cryptophlebia ambrodelta),Insect,13,Macadamia nut borer (Cryptophlebia ambrodelta)
Raspberry fruitworm,Insect,13,Raspberry fruitworm
Citrus yellows,Other,13,Citrus yellows
Tumble,Other,13,Tumble
Slug,Other,13,Slug
Citrus tristeza virus,Disease,13,Citrus tristeza virus
Soft scale,Insect,13,Soft scale
Southern potato wireworm,Insect,13,Southern potato wireworm
Seed Maggots,Insect,13,Seed Maggots
Goosefoot,Other,13,Goosefoot
grasshopper spp.,Insect,13,grasshopper spp.
clover,Weed,13,clover
pickleworm,Insect,13,pickleworm
Corn wireworm,Insect,13,Corn wireworm
pepper weevil,Insect,13,pepper weevil
Bacterial Wilt,Disease,13,Bacterial Wilt
Blotch,Other,13,Blotch
Cryptogams,Other,13,Cryptogams
Navel Orange Worm,Insect,13,Navel Orange Worm
barley,Other,13,barley
shepherdspurse,Other,13,shepherdspurse
Obscure scale,Insect,13,Obscure scale
Amaranthus retroflexus,Insect,13,Amaranthus retroflexus
Lecanium scale (crawlers),Insect,13,Lecanium scale (crawlers)
Spanish Moss,Other,13,Spanish Moss
Surface sanitation of microorganisms,Other,12,Surface sanitation of microorganisms
Leaf Hopper,Insect,12,Leaf Hopper
Mice,Other,12,Mice
Potato Leafroll Virus,Disease,12,Potato Leafroll Virus
Harlequin bug,Insect,12,Harlequin bug
sandbur,Other,12,sandbur
cabbage loopers,Other,12,cabbage loopers
Bagrada bug,Insect,12,Bagrada bug
Chloridea virescens,Other,12,Chloridea virescens
annual sowthistle,Weed,12,annual sowthistle
Amaranthus hybridus,Insect,12,Amaranthus hybridus
Tephritid fruit flies,Other,12,Tephritid fruit flies
Leaf Rollers,Insect,12,Leaf Rollers
Micronutrient supplement (Sulfur),Other,12,Micronutrient supplement (Sulfur)
shothole),Other,12,shothole)
Brown Scale,Insect,12,Brown Scale
Melon worm,Insect,12,Melon worm
Marshelder,Other,12,Marshelder
Pre-harvest fruit drop,Other,12,Pre-harvest fruit drop
San Jose Scale (crawlers),Insect,12,San Jose Scale (crawlers)
Tall fescue,Weed,12,Tall fescue
Tansy,Other,12,Tansy
Brown marmorated stink bug,Insect,12,Brown marmorated stink bug
Dead Bud,Other,12,Dead Bud
Chrysodeixis includens,Other,12,Chrysodeixis includens
Fusarium nivale,Other,12,Fusarium nivale
Southwestern,Other,12,Southwestern
Gummosis,Other,12,Gummosis
Royal Palm Bugs,Insect,12,Royal Palm Bugs
Tarnished Plantbug,Insect,12,Tarnished Plantbug
meadow spittlebug,Insect,12,meadow spittlebug
Decay of fruits and vegetables,Other,12,Decay of fruits and vegetables
Clearwig Borer,Insect,12,Clearwig Borer
Greater peachtree borer,Insect,12,Greater peachtree borer
Root or crown diseases caused by Verticillium,Disease,12,Root or crown diseases caused by Verticillium
Spoilage and decay-causing bacteria,Disease,12,Spoilage and decay-causing bacteria
Cherry fruitworms,Insect,12,Cherry fruitworms
Soil-borne disease causing organisms,Disease,12,Soil-borne disease causing organisms
Woolly,Other,12,Woolly
Pierce's disease,Disease,12,Pierce's disease
Weevil spp.,Insect,12,Weevil spp.
Other root weevils,Insect,12,Other root weevils
European,Other,12,European
oxalis,Other,12,oxalis
Ipomoea hederacea integriuscula,Other,12,Ipomoea hederacea integriuscula
Glomerella,Other,12,Glomerella
Needle Nematode,Other,12,Needle Nematode
Western peach borer,Insect,12,Western peach borer
Soil Borne Fungi,Other,12,Soil Borne Fungi
Grapevine phylloxera,Other,12,Grapevine phylloxera
Rabbits,Vertebrate,12,"Rabbit, Rabbits, rabbits"
Daffodil Leaf Scorch,Other,12,Daffodil Leaf Scorch
Bud formation,Other,12,Bud formation
Grape Leaf Folder,Other,12,Grape Leaf Folder
Soft Scales,Insect,12,Soft Scales
Grape colaspis,Other,12,Grape colaspis
Strawberry Clipper,Other,12,Strawberry Clipper
Heliothis spp.,Other,12,Heliothis spp.
Purple nutsedge,Weed,12,Purple nutsedge
Trichoplusia ni,Other,12,Trichoplusia ni
Tobacco wireworm,Insect,12,Tobacco wireworm
Root or crown diseases caused by Pythium,Disease,12,Root or crown diseases caused by Pythium
Parlatoria,Other,12,Parlatoria
Redstem,Other,12,Redstem
Root or crown diseases caused by Phytophthora,Disease,12,Root or crown diseases caused by Phytophthora
Root or crown diseases caused by Fusarium,Disease,12,Root or crown diseases caused by Fusarium
Root or crown diseases,Disease,12,Root or crown diseases
spurge,Other,12,spurge
Yellow scale,Insect,12,Yellow scale
Mole Crickets,Vertebrate,12,Mole Crickets
Root or crown diseases caused by Rhizoctonia,Disease,12,Root or crown diseases caused by Rhizoctonia
Tomato fruitworm (corn earworm),Insect,12,Tomato fruitworm (corn earworm)
Mormon crickets,Other,12,Mormon crickets
Heliothis,Other,12,Heliothis
white,Other,12,white
Blackleg,Other,12,Blackleg
Leaf Roller,Insect,11,Leaf Roller
Rose Chafers,Other,11,Rose Chafers
Fruit tree leaf roller,Insect,11,Fruit tree leaf roller
groundsel,Other,11,groundsel
Horn worms,Insect,11,Horn worms
Blossom blast,Other,11,Blossom blast
Potato Virus Y,Disease,11,Potato Virus Y
hairy nightshade,Other,11,hairy nightshade
Grape leaf folder,Other,11,Grape leaf folder
Hawaiian beet webworm,Insect,11,Hawaiian beet webworm
Green Cloverworms,Insect,11,Green Cloverworms
Red scale,Insect,11,Red scale
Sowthistle species,Weed,11,Sowthistle species
Cucumber Mosaic Virus,Disease,11,Cucumber Mosaic Virus
Stalkborer,Insect,11,Stalkborer
Glassy-winged Sharpshooter,Other,11,Glassy-winged Sharpshooter
pharaoh ants and carpenter ants),Insect,11,pharaoh ants and carpenter ants)
Harvester,Other,11,Harvester
fire ants,Insect,11,fire ants
non-biting Midges,Insect,11,non-biting Midges
Stubby Root,Other,11,Stubby Root
Purple,Other,11,Purple
Cottony cushion scale,Insect,11,Cottony cushion scale
Italian pear scales,Insect,11,Italian pear scales
burclover,Weed,11,burclover
Italian,Other,11,Italian
Tall,Other,11,Tall
Red stele,Other,11,Red stele
Annual Sowthistle,Weed,11,Annual Sowthistle
Blueberry Maggot (larvae),Insect,11,Blueberry Maggot (larvae)
coffee,Other,11,coffee
Fruitworm,Insect,11,Fruitworm
Root Knot (except Javanese),Other,11,Root Knot (except Javanese)
Putnam scales,Insect,11,Putnam scales
Common cocklebur,Other,11,Common cocklebur
Tomato pinworms,Insect,11,Tomato pinworms
Shepherd’s-purse,Other,11,Shepherd’s-purse
Watermelon Mosaic Virus 2,Disease,11,Watermelon Mosaic Virus 2
Wild buckwheat,Other,11,Wild buckwheat
Tobacco Etch Virus,Disease,11,Tobacco Etch Virus
bacterial canker,Disease,11,bacterial canker
Biting Flies,Other,11,Biting Flies
Pepper Mottle Virus,Disease,11,Pepper Mottle Virus
Fall Panicum,Other,11,Fall Panicum
Other biting flies,Other,11,Other biting flies
Septoria,Other,11,Septoria
Foxtail spp.,Weed,11,Foxtail spp.
Oleander scales,Insect,11,Oleander scales
Senna,Other,11,Senna
Pepper weevils,Insect,11,Pepper weevils
Medusahead,Other,11,Medusahead
Two-spotted Spider,Insect,11,Two-spotted Spider
Planthoppers,Insect,11,Planthoppers
Chenopodium album,Other,11,Chenopodium album
Florida pusley,Other,11,Florida pusley
Plantbugs (Lygus spp.),Insect,11,Plantbugs (Lygus spp.)
Cheatgrass/Downy brome,Disease,11,Cheatgrass/Downy brome
Zucchini Yellow Mosaic Virus,Disease,11,Zucchini Yellow Mosaic Virus
Wild oats,Weed,11,Wild oats
Smooth),Other,11,Smooth)
black nightshade,Other,11,black nightshade
Xanthomonas camestris,Insect,11,Xanthomonas camestris
Common dandelion (established),Weed,11,Common dandelion (established)
Fruit development,Other,11,Fruit development
Black pit,Other,11,Black pit
sedges,Weed,11,sedges
Bittercress,Other,11,Bittercress
Vine decline,Other,11,Vine decline
Lygus spp,Other,11,Lygus spp
Rosette or double blossom,Other,11,Rosette or double blossom
Pearlwort,Other,11,Pearlwort
Fire,Other,11,Fire
Wild-proso millet,Other,11,Wild-proso millet
Soft scales,Insect,11,Soft scales
Citrus Canker (suppression),Disease,11,Citrus Canker (suppression)
Filaree (Redstem),Other,10,Filaree (Redstem)
hedgehog,Other,10,hedgehog
golden,Other,10,golden
Olive knot,Other,10,Olive knot
Phylloxera spp. (leaf infestations),Other,10,Phylloxera spp. (leaf infestations)
White Peach Scale,Insect,10,White Peach Scale
honeyvine,Other,10,honeyvine
Clover species,Weed,10,Clover species
Willowleaf,Other,10,Willowleaf
plant bug species,Insect,10,plant bug species
Crownbeard,Other,10,Crownbeard
Grape Phylloxera (suppression only),Other,10,Grape Phylloxera (suppression only)
grasshoppers,Insect,10,grasshoppers
Devilsclaw,Other,10,Devilsclaw
White-footed mice,Other,10,White-footed mice
Oat,Other,10,Oat
Whitestem,Other,10,Whitestem
Increase berry size,Other,10,Increase berry size
Root Knot,Other,10,Root Knot
groundnut bruchid,Other,10,groundnut bruchid
Increase fruit retention,Other,10,Increase fruit retention
Seedling,Other,10,Seedling
Northern Pine Weevil,Insect,10,Northern Pine Weevil
Fiddleneck species,Other,10,Fiddleneck species
Non-biting Midges,Insect,10,Non-biting Midges
California,Other,10,California
Ipomoea hederacea hederacea,Other,10,Ipomoea hederacea hederacea
Hop Clover,Weed,10,Hop Clover
Smellmelon,Other,10,Smellmelon
Shoot blast,Other,10,Shoot blast
Waterhemp spp.,Other,10,Waterhemp spp.
nettleleaf,Other,10,nettleleaf
Rice,Other,10,Rice
winged,Other,10,winged
little,Other,10,little
livid,Other,10,livid
Pecan casebearer species,Other,10,Pecan casebearer species
Green Spanworms,Insect,10,Green Spanworms
Balsam Woolly Adelgid,Other,10,Balsam Woolly Adelgid
hornworms,Insect,10,hornworms
narrow-leaved,Other,10,narrow-leaved
Virginia Creeper,Other,10,Virginia Creeper
Stem canker,Disease,10,Stem canker
Shot Hole Fungus,Disease,10,Shot Hole Fungus
Pear psylla adults,Other,10,Pear psylla adults
Blue mold (Penicillium spp.),Disease,10,Blue mold (Penicillium spp.)
Green mold (Penicillium spp.),Disease,10,Green mold (Penicillium spp.)
melonworm,Insect,10,melonworm
Waterprimrose,Other,10,Waterprimrose
Rice flatsedge,Weed,10,Rice flatsedge
Weevil,Insect,10,Weevil
PA,Other,10,PA
Omnivorous looper,Other,10,Omnivorous looper
peachtree borer spp.,Insect,10,peachtree borer spp.
turkey,Other,10,turkey
Cabbage Worms,Insect,10,Cabbage Worms
Cyperus,Other,10,Cyperus
Scorpions,Other,10,Scorpions
panicle-leaf,Other,10,panicle-leaf
palmleaf,Other,10,palmleaf
leaffooted bug,Insect,10,leaffooted bug
Stink bug species,Insect,10,Stink bug species
Anthracnose (Colletotrichum acutatum),Insect,10,Anthracnose (Colletotrichum acutatum)
Other nuisance pests,Other,10,Other nuisance pests
Stink Bugs),Insect,10,Stink Bugs)
Sesbania spp.,Other,10,Sesbania spp.
Anthracnose (ripe rot),Insect,10,Anthracnose (ripe rot)
weevils,Insect,10,weevils
Variegated),Other,10,Variegated)
Pickle worm,Insect,10,Pickle worm
miners,Insect,10,miners
Plum Pockets,Other,10,Plum Pockets
Lateral bud break and shoot growth,Other,10,Lateral bud break and shoot growth
Millet,Other,10,Millet
Polygonum persicaria,Other,10,Polygonum persicaria
Apricot Scale,Insect,10,Apricot Scale
Leaf Blister or Curl,Other,10,Leaf Blister or Curl
southwestern,Other,10,southwestern
Tall waterhemp,Other,10,Tall waterhemp
Poorjoe,Other,10,Poorjoe
Burr Knot,Other,10,Burr Knot
spiny,Other,10,spiny
spleen,Other,10,spleen
Porophyllum,Other,10,Porophyllum
Cranberry Blossomworm,Insect,10,Cranberry Blossomworm
Yellow-striped,Other,10,Yellow-striped
Carrot weevil,Insect,10,Carrot weevil
Cranberry girdler,Other,10,Cranberry girdler
Susceptible sedges,Weed,10,Susceptible sedges
dermestids,Other,10,dermestids
Purple Nutsedge,Weed,10,Purple Nutsedge
Common Cocklebur,Other,10,Common Cocklebur
Apple Maggot adults,Insect,10,Apple Maggot adults
Leaf hoppers,Insect,10,Leaf hoppers
American,Other,10,American
Poison Ivy,Other,10,Poison Ivy
Amaranthus tuberculatus,Insect,10,Amaranthus tuberculatus
Leak,Other,10,Leak
bacteria,Disease,10,bacteria
Sweet potato weevil,Insect,10,Sweet potato weevil
silver scurf,Other,10,silver scurf
Common Mallow,Other,10,Common Mallow
Pre-harvest drop control,Other,10,Pre-harvest drop control
Leaffooted bugs,Insect,10,Leaffooted bugs
Plant Bugs (Tarnished Plant Bug,Insect,10,Plant Bugs (Tarnished Plant Bug
Botrytis (Gray mold),Disease,10,Botrytis (Gray mold)
Army worms,Insect,10,Army worms
Sucker Management,Other,10,Sucker Management
Postbloom fruit drop,Other,10,Postbloom fruit drop
cadelle,Other,10,cadelle
Mustard spp.,Other,10,Mustard spp.
Psyllid spp.,Other,10,Psyllid spp.
Worms,Insect,10,Worms
Little leaf notcher,Other,10,Little leaf notcher
suckers,Other,10,suckers
Pine Chafer,Other,10,Pine Chafer
Tephritid spp. Fruit Flies,Other,10,Tephritid spp. Fruit Flies
Pine Coreid Bug,Insect,10,Pine Coreid Bug
prairie,Other,10,prairie
Soil-borne fungi,Other,10,Soil-borne fungi
clammy (seedling),Other,10,clammy (seedling)
Common waterhemp,Other,10,Common waterhemp
Roundheaded Borers,Insect,10,Roundheaded Borers
Brown Spanworms,Insect,10,Brown Spanworms
Botrytis (grey mold),Disease,10,Botrytis (grey mold)
Pinworm,Insect,10,Pinworm
Soil‑borne plant pathogens,Insect,10,Soil‑borne plant pathogens
scarlet,Other,10,scarlet
blackseed,Other,10,blackseed
Solanum ptycanthum,Insect,10,Solanum ptycanthum
Tassleflower,Other,10,Tassleflower
Mullein,Other,10,Mullein
Damping off and root or crown diseases,Disease,9,Damping off and root or crown diseases
Blue-Green Citrus Root Weevils,Insect,9,Blue-Green Citrus Root Weevils
Portulaca oleracea,Other,9,Portulaca oleracea
Penicillium expansum,Other,9,Penicillium expansum
Vine Weevil Larvae,Insect,9,Vine Weevil Larvae
Black leg,Other,9,Black leg
Waterhemp (common & tall),Other,9,Waterhemp (common & tall)
Bacterial stem canker,Disease,9,Bacterial stem canker
Pea weevil,Insect,9,Pea weevil
blue mold,Disease,9,blue mold
Polygonum pensylvanicum,Other,9,Polygonum pensylvanicum
Balsamapple,Other,9,Balsamapple
Texas panicum,Other,9,Texas panicum
Vegetative growth control,Other,9,Vegetative growth control
Damping-Off Fungus,Disease,9,Damping-Off Fungus
Lepidoptera,Other,9,Lepidoptera
Malva neglecta,Other,9,Malva neglecta
cherry fruitworm,Insect,9,cherry fruitworm
Pecan Leaf Phylloxeria,Other,9,Pecan Leaf Phylloxeria
Pear psyllids,Other,9,Pear psyllids
Ivyleaf,Other,9,Ivyleaf
Campyloma,Other,9,Campyloma
Lace Bug,Insect,9,Lace Bug
Tomato fruitworms,Insect,9,Tomato fruitworms
Oak Root Fungus,Disease,9,Oak Root Fungus
Tulip Fire,Other,9,Tulip Fire
Cercospora spp.,Other,9,Cercospora spp.
Pseudomonas spp.,Other,9,Pseudomonas spp.
green suckers,Other,9,green suckers
Black Leg,Other,9,Black Leg
Increase runner production,Other,9,Increase runner production
Lacanobia fruitworm,Insect,9,Lacanobia fruitworm
Bacterial canker (Pseudomonas syringae),Disease,9,Bacterial canker (Pseudomonas syringae)
Lacanobia Fruitworm,Insect,9,Lacanobia Fruitworm
Strawberry root weevil,Insect,9,Strawberry root weevil
California Oakworm,Insect,9,California Oakworm
X-Disease,Disease,9,X-Disease
Wright,Other,9,Wright
Catsear,Other,9,Catsear
Phytophthora diseases,Disease,9,Phytophthora diseases
Cluster elongation,Other,9,Cluster elongation
Whiteflies (Suppression),Other,9,Whiteflies (Suppression)
Yellow woodsorrel,Other,9,Yellow woodsorrel
Lantana,Insect,9,Lantana
Twolined spittlebug,Insect,9,Twolined spittlebug
Western grape leaf skeletonizer,Other,9,Western grape leaf skeletonizer
Mealy-bugs,Insect,9,Mealy-bugs
crickets,Other,9,crickets
Henbane,Other,9,Henbane
Pepper maggots,Insect,9,Pepper maggots
Cranberry blossom worm,Insect,9,Cranberry blossom worm
apple maggot,Insect,9,apple maggot
katydids,Other,9,katydids
Capsella bursa-pastoris,Other,9,Capsella bursa-pastoris
Horsenettle,Other,9,Horsenettle
Carex spp.,Other,9,Carex spp.
ethylene action,Other,9,ethylene action
Curly Dock,Other,9,Curly Dock
Suppression of Vine Decline,Other,9,Suppression of Vine Decline
Armored scale,Insect,9,Armored scale
White apple leaf hopper,Insect,9,White apple leaf hopper
Tobacco mosaic virus,Disease,9,Tobacco mosaic virus
bull,Other,9,bull
Rindworm Complex,Insect,9,Rindworm Complex
Fresh‐commodity pests,Other,9,Fresh‐commodity pests
Solanum nigrum,Other,9,Solanum nigrum
red (from seed),Other,9,red (from seed)
Fungi,Other,9,Fungi
symphylans,Other,9,symphylans
sanitization,Other,9,sanitization
Galinsoga ciliata,Other,9,Galinsoga ciliata
European Red,Other,9,European Red
Amaranthus palmeri,Insect,9,Amaranthus palmeri
sheep,Other,9,sheep
Scurfy scale,Insect,9,Scurfy scale
Russian thistle,Weed,9,Russian thistle
vetch,Other,9,vetch
Spot anthracnose,Insect,9,Spot anthracnose
Gray Mold (Botrytis),Disease,9,Gray Mold (Botrytis)
Foliar fungus,Disease,9,Foliar fungus
Burning,Other,9,Burning
Descurainia sophia,Other,9,Descurainia sophia
Fusarium diseases,Disease,9,Fusarium diseases
narrowleaf,Other,9,narrowleaf
Fairy Ring,Other,9,Fairy Ring
Blueberry maggots,Insect,9,Blueberry maggots
red/scarlet,Other,9,red/scarlet
Alternaria diseases,Disease,9,Alternaria diseases
musk,Other,9,musk
Bog St. John's wort,Other,9,Bog St. John's wort
Diodia teres,Other,9,Diodia teres
terrapin scale,Insect,9,terrapin scale
Fusarium Wilt,Disease,9,Fusarium Wilt
European canker,Disease,9,European canker
Rooting,Other,9,Rooting
Erwinia spp.,Other,9,Erwinia spp.
False chinch bug,Insect,9,False chinch bug
Colletotrichum acutatum,Other,8,Colletotrichum acutatum
Flower bud development,Other,8,Flower bud development
Mollugo verticillata,Other,8,Mollugo verticillata
grain,Other,8,grain
sowthistle,Weed,8,sowthistle
Glomerella cingulata,Other,8,Glomerella cingulata
spiders,Insect,8,spiders
Ipomoea turbinata,Other,8,Ipomoea turbinata
Annual (Poa annua),Other,8,Annual (Poa annua)
Plantago lanceolata,Insect,8,Plantago lanceolata
Melochia corchorifolia,Other,8,Melochia corchorifolia
Ipomoea wrightii,Other,8,Ipomoea wrightii
Plantago rugelii,Insect,8,Plantago rugelii
southern (California) fire ant,Insect,8,southern (California) fire ant
Ipomoea coccinea,Other,8,Ipomoea coccinea
Fourlined leaf bugs,Insect,8,Fourlined leaf bugs
Ipomoea purpurea,Other,8,Ipomoea purpurea
Pecan,Other,8,Pecan
black medic,Other,8,black medic
Tomato Fruitworm/Corn Earworm,Insect,8,Tomato Fruitworm/Corn Earworm
Cockroaches/Roaches,Other,8,Cockroaches/Roaches
Club root,Other,8,Club root
Soil fungus,Disease,8,Soil fungus
Phytophthora fragariae,Other,8,Phytophthora fragariae
Calandrinia ciliata,Other,8,Calandrinia ciliata
Celery leaf tier,Other,8,Celery leaf tier
Navel Orangeworm (Amyelois transitella),Insect,8,Navel Orangeworm (Amyelois transitella)
Eastern Black,Other,8,Eastern Black
Coccomyces,Other,8,Coccomyces
Fire Ant,Insect,8,Fire Ant
Fire ant spp.,Insect,8,Fire ant spp.
Granary Weevils,Insect,8,Granary Weevils
Grain,Other,8,Grain
Increase fruit size,Other,8,Increase fruit size
Tomato Pin Worm,Insect,8,Tomato Pin Worm
Yellow (from seed),Other,8,Yellow (from seed)
Flatheaded Borers,Insect,8,Flatheaded Borers
Cat-facing Insects (plant bug,Insect,8,Cat-facing Insects (plant bug
Coleophoma empetri,Other,8,Coleophoma empetri
Gnomonia leptostyla (Anthracnose),Insect,8,Gnomonia leptostyla (Anthracnose)
stink bug species,Insect,8,stink bug species
Plum curculio (suppression),Other,8,Plum curculio (suppression)
Plant Bug (Lygus),Insect,8,Plant Bug (Lygus)
stalk borer,Insect,8,stalk borer
Pythium diseases,Disease,8,Pythium diseases
Monilinia fructicola),Other,8,Monilinia fructicola)
Monilinia fructicola,Other,8,Monilinia fructicola
Cassia occidentalis,Other,8,Cassia occidentalis
KOA Seedworm,Insect,8,KOA Seedworm
Root Weevil,Insect,8,Root Weevil
Lecanium scale,Insect,8,Lecanium scale
Ampelamus albidus,Other,8,Ampelamus albidus
Apple gall midge,Insect,8,Apple gall midge
Cranberry weevil,Insect,8,Cranberry weevil
Amaranthus lividus,Insect,8,Amaranthus lividus
Corn rootworm,Insect,8,Corn rootworm
fescue,Weed,8,fescue
Galium aparine,Other,8,Galium aparine
Dodder,Other,8,Dodder
Digitaria ciliaris,Other,8,Digitaria ciliaris
Fungal disease,Disease,8,Fungal disease
Digitaria ischaemum,Other,8,Digitaria ischaemum
American Plum Borers,Insect,8,American Plum Borers
Fusicladium,Other,8,Fusicladium
Jacquemontia tamnifolia,Other,8,Jacquemontia tamnifolia
common lespedeza,Other,8,common lespedeza
common purslane,Weed,8,common purslane
Rootworm,Insect,8,Rootworm
red imported fire ant,Insect,8,red imported fire ant
Digitaria sanguinalis,Other,8,Digitaria sanguinalis
Browntop,Other,8,Browntop
Proboscidea louisiana,Other,8,Proboscidea louisiana
corn speedwell,Other,8,corn speedwell
Speedwell,Other,8,Speedwell
Swede midge,Insect,8,Swede midge
creeping woodsorrel,Other,8,creeping woodsorrel
Amaranthus spinosus,Insect,8,Amaranthus spinosus
General Disinfection,Disease,8,General Disinfection
Corn borer,Insect,8,Corn borer
Linaria vulgaris,Other,8,Linaria vulgaris
Amaranthus dubius,Insect,8,Amaranthus dubius
Podosphaera tridactyla,Other,8,Podosphaera tridactyla
garden spurge,Other,8,garden spurge
Cankers and Diebacks,Disease,8,Cankers and Diebacks
Salsola kali,Other,8,Salsola kali
Sprouting or sucker growth,Other,8,Sprouting or sucker growth
beet,Insect,8,beet
big headed ant,Insect,8,big headed ant
fruitworm,Insect,8,fruitworm
potato psyllid,Other,8,potato psyllid
Stubby-root nematode,Other,8,Stubby-root nematode
M. laxa),Other,8,M. laxa)
M. laxa,Other,8,M. laxa
M. fructicola),Other,8,M. fructicola)
Rumex crispus,Other,8,Rumex crispus
Fruit decay,Other,8,Fruit decay
scales,Insect,8,scales
Kochia scoparia,Other,8,Kochia scoparia
Thinning,Other,8,Thinning
Ants (excluding Carpenter,Insect,8,Ants (excluding Carpenter
Ludwigia decurrens,Other,8,Ludwigia decurrens
Southwestern corn borer,Insect,8,Southwestern corn borer
Root induction,Other,8,Root induction
Fruit russeting suppression,Other,8,Fruit russeting suppression
Cricket,Other,8,Cricket
Potato Psyllids,Other,8,Potato Psyllids
Nematodes and Symphylids,Other,8,Nematodes and Symphylids
Fusarium oxysporum,Other,8,Fusarium oxysporum
Physalis heterophylla,Other,8,Physalis heterophylla
Grasshopper spp,Insect,8,Grasshopper spp
Venturia,Other,8,Venturia
Weevil species,Insect,8,Weevil species
Grapevine Root Borer,Insect,8,Grapevine Root Borer
Emilia sonchifolia,Other,8,Emilia sonchifolia
Uniform sprouting,Other,8,Uniform sprouting
Acanthospermum hispidum,Insect,8,Acanthospermum hispidum
Datura stramonium,Other,8,Datura stramonium
Established dandelion,Weed,8,Established dandelion
Anthemis cotula,Insect,8,Anthemis cotula
Other scale insects,Insect,8,Other scale insects
Pepper Maggot (adults),Insect,8,Pepper Maggot (adults)
pavement ant,Insect,8,pavement ant
Western Raspberry Fruitworm,Insect,8,Western Raspberry Fruitworm
Other insect pests,Other,8,Other insect pests
Cyperus compressus,Other,8,Cyperus compressus
native fire ant,Insect,8,native fire ant
ltalian,Other,8,ltalian
vine weevils (larvae),Insect,8,vine weevils (larvae)
Western raspberry fruitworm,Insect,8,Western raspberry fruitworm
Sisybrium altissimum,Other,8,Sisybrium altissimum
Seedpod weevil,Insect,8,Seedpod weevil
European chafer,Other,8,European chafer
naval orange worm,Insect,8,naval orange worm
Volunteer,Other,8,Volunteer
Bagworm,Insect,8,Bagworm
willowherb,Other,8,willowherb
Citrus black flies,Other,8,Citrus black flies
Harvester Ant,Insect,8,Harvester Ant
Euphorbia heterophylla,Other,8,Euphorbia heterophylla
woodsorrel,Other,8,woodsorrel
Damping-off (Pythium spp.),Other,8,Damping-off (Pythium spp.)
wild oats,Weed,8,wild oats
oat,Other,8,oat
Sida acuta,Other,8,Sida acuta
Vegetative growth,Other,8,Vegetative growth
Panicum dichotomiflorum,Other,8,Panicum dichotomiflorum
Anthracnose (Colletotrichum gloeosporioides),Insect,8,Anthracnose (Colletotrichum gloeosporioides)
Helminthosporium,Other,8,Helminthosporium
Panicum capillare,Other,8,Panicum capillare
Panicum (Texas),Other,8,Panicum (Texas)
Peach Twig Borer (hibernaculae),Insect,8,Peach Twig Borer (hibernaculae)
Shepherd's-purse,Other,8,Shepherd's-purse
Sida spinosa,Other,8,Sida spinosa
Berry sizing,Other,8,Berry sizing
Painted Lady,Other,8,Painted Lady
Peach canker,Disease,8,Peach canker
Green and Blue mold,Disease,8,Green and Blue mold
Verbesina encelioides,Other,8,Verbesina encelioides
yellow woodsorrel,Other,8,yellow woodsorrel
Oidium spp.,Other,8,Oidium spp.
Brachiaria platyphylla,Other,8,Brachiaria platyphylla
Decline,Other,8,Decline
Stellaria media,Other,8,Stellaria media
Periodic cicada,Other,8,Periodic cicada
Immature stages of scale insects,Insect,8,Immature stages of scale insects
Phomopsis Canker,Disease,8,Phomopsis Canker
Erodium cicutarium,Other,8,Erodium cicutarium
Fall cankerworm,Insect,8,Fall cankerworm
Shot hole (Wilsonomyces carpophilus),Other,8,Shot hole (Wilsonomyces carpophilus)
Eleusine indica,Other,8,Eleusine indica
Curly dock,Other,8,Curly dock
Obliquebanded leaf roller,Insect,8,Obliquebanded leaf roller
Pear psyllas,Other,8,Pear psyllas
Spurred Anoda,Other,8,Spurred Anoda
Pear psyllid,Other,8,Pear psyllid
False root knot nematodes,Other,8,False root knot nematodes
Eriochloa villosa,Other,8,Eriochloa villosa
Eclipta alba,Other,8,Eclipta alba
Rhizoctonia diseases,Disease,8,Rhizoctonia diseases
Cucumis melo,Other,8,Cucumis melo
Eragrostis cilianensis,Other,8,Eragrostis cilianensis
Field Pennycress,Other,8,Field Pennycress
Physalis angulata,Other,8,Physalis angulata
Bacterial Diseases,Disease,8,Bacterial Diseases
Pea leaf weevil,Insect,8,Pea leaf weevil
tomato psyllid,Other,8,tomato psyllid
Acalypha ostryeafolia,Other,8,Acalypha ostryeafolia
Burdock,Other,8,Burdock
Blossom blast (Pseudomonas),Other,8,Blossom blast (Pseudomonas)
tufted apple budworm,Insect,8,tufted apple budworm
Rindworm spp. complex,Insect,8,Rindworm spp. complex
Peronospora,Other,8,Peronospora
