Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Crop/Specification,Causal organism,Count,Examples,Notes,,,,Count:,2584
Blister beetles,Blister Beetle,Insect,,,20,"Ortho Tomato & Vegetable Insect Killer; Drexel Carbaryl 4L; Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; Malathion 8; Safer Brand End All RTU",,,,,,
blister beetles,Blister Beetle,Insect,,,7,R & M 30-3 Pyrethrin E.C.,,,,,,
Blister flies,Blister flies,Other,,,1,Envi EC-X Emulsifiable Concentrate Insecticide,Review needed - unclear target type,,,,,
Blister Mite,Blister Mite,Insect,,,45,Cosavet DF; LIFESUL 80 DF; Britz 415 Supreme Spray Oil; Britz Supreme Spray Oil; Kolospray,,,,,,
Blister mite,Blister Mite,Insect,,,13,Sulfur Dual Spraying 90 WP; Sulfur 6L; Kumulus DF,,,,,,
blister mite,Blister Mite,Insect,,,9,Microsperse Wettable Sulfur; Sulfur 90DF; Yellow Jacket Flowable Sulfur,,,,,,
Blister Mites,Blister Mite,Insect,,,18,SULFORIX; Sulphur W.G.; Wettable Sulfur Fungicide-Insecticide; Defend DF; CUPROQUIM SUPER-SUL MICRONIZED WETTABLE SULFUR WDG,,,,,,
Blister mites,Blister Mite,Insect,,,8,Drexel Sulfa 80W; Miller’s Garden Sulphur; CITRU-SOY; Damoil Supreme,,,,,,
Blister moth leafminer species,Blister moth leafminers,Insect,,,2,A152.03,,,,,,
Blister moth leafminers,Blister moth leafminers,Insect,,,2,Proclaim Insecticide,,,,,,
Blister Spot,Blister Spot,Disease,,,5,Cuprofix Flex; ReLoad Fungicide; Fungi-Phite,,,,,,
blister spot,Blister Spot,Disease,,,2,First Choice pHortress Fungicide,,,,,,
Blossom,Blossom,Other,,,1,Vacres,Review needed - unclear target type,,,,,
blossom,Blossom,Other,,,1,Carb-O-Nator,Review needed - unclear target type,,,,,
Blossom & Shoot Blast (Pseudomonas),"Blossom Blast, Shoot Blast",Other,,Pseudomonas spp.,2,BLUE SHIELD DF,Review needed - unclear target type,,,,,
Blossom & Shoot Blight,"Blossom Blight, Shoot Blight",Disease,,,2,ADAMENT 50 WG Fungicide,,,,,,
Blossom and Shoot Blast,"Blossom Blast, Shoot Blast",Other,,,2,LIQUI-COP; COPPER-COUNT-N,Review needed - unclear target type,,,,,
Blossom and Shoot blast,"Blossom Blast, Shoot Blast",Other,,,1,KOP-AM Complex,Review needed - unclear target type,,,,,
Blossom and shoot blast,"Blossom Blast, Shoot Blast",Other,,,3,Lilly Miller KOP-R-SPRAY Concentrate; AG Copp 75; Nordox 75 WG,Review needed - unclear target type,,,,,
Blossom and Shoot Blight,"Blossom Blight, Shoot Blight",Disease,,,3,Zorda WG Biological Fungicide,,,,,,
Blossom and Shoot blight,"Blossom Blight, Shoot Blight",Disease,,,3,ENDORSE Water Dispersible Granules,,,,,,
Blossom and shoot blight,"Blossom Blight, Shoot Blight",Disease,,,2,FLU+DFO,,,,,,
Blossom and Twig Blight,"Blossom Blight, Shoot Blight",Disease,,,14,JUNCTION WSP; Sul-Preme 52 Flowable Sulfur; Junction; CSC Dusting Sulfur,,,,,,
Blossom and Twig blight,"Blossom Blight, Shoot Blight",Disease,,,5,Super Six Liquid Sulfur; Drexel Suffa; Suffa 8; DREXEL SULFUR 6; DREXEL SULFUR 8,,,,,,
Blossom and twig blight,"Blossom Blight, Shoot Blight",Disease,,,6,Sulfur 80 WDG; THAT® Flowable Sulfur; Sulfur 6L,,,,,,
blossom and twig blight,"Blossom Blight, Shoot Blight",Disease,,,2,Microsperse Wettable Sulfur; Yellow Jacket Flowable Sulfur,,,,,,
Blossom Blast,Blossom Blast,Other,,,48,ArborBiotic; Arbor-OTC; Badge SC; AmeriCop 40 DF; Badge X2,Review needed - unclear target type,,,,,
Blossom blast,Blossom Blast,Other,,,11,KOP-Hydroxide; ET-F; Funguran Progress; KOP-AM Complex; Cueva 2.4 Copper Soap,Review needed - unclear target type,,,,,
Blossom Blast (Pseudomonas),Blossom Blast,Other,,Pseudomonas spp.,4,GWN-4620; AG Copp 75; COPPER HYDROXIDE 30% DF,Review needed - unclear target type,,,,,
Blossom blast (Pseudomonas),Blossom Blast,Other,,Pseudomonas spp.,8,NORDOX 30/30 WG; SISCOP 60 SC; AG Copp 75; Nordox 75 WG,Review needed - unclear target type,,,,,
Blossom Blight,Blossom Blight,Disease,,,230,A20259 Crop; A19649 Crop; A20560 Crop Fungicide; A-Zox 50WDG; A21461 Crop,,,,,,
Blossom blight,Blossom Blight,Disease,,,206,A253.07; A225.05; A253.10; A299.02; A265.01,,,,,,
blossom blight,Blossom Blight,Disease,,,9,Captan 80 WDG; Enable 2F; Systhane WSP; Dithane M45; A299.01,,,,,,
Blossom Blight (Monilinia spp.),Blossom Blight,Disease,,Monilinia spp.,1,Manzate Pro-Stick Fungicide,,,,,,
Blossom blight (Monilinia spp.),Blossom Blight,Disease,,,3,Ensign 82.5%; Avalaire Myclobutanil 40 WSP; Willowood Mancozeb 75 WDG,,,,,,
blossom blight (Monilinia spp.),Blossom Blight,Disease,,,1,Ax Myclobutanil 40WSP,,,,,,
Blossom blight (Monilinia spp),Blossom Blight,Disease,,,1,Dithane DF Rainshield,,,,,,
Blossom blight (Monilinia),Blossom Blight,Disease,,,1,Bonide Copper Spray or Dust,,,,,,
Blossom Blight & Fruit Rot,"Blossom Blight, Fruit Rot",Disease,,,2,Trionic 4SC,,,,,,
Blossom Blight and Brown Rot,"Blossom Blight, Brown Rot",Disease,,,4,BioLink Fungicide PLUS,,,,,,
Blossom Blight and Canker,"Blossom Blight, Canker",Disease,,,10,ArborBiotic; Arbor-OTC,,,,,,
Blossom Blight and Fruit Rot,"Blossom Blight, Fruit Rot",Disease,,,15,Avalaire Azoxy + Difen; LPI.A041; LIBERTY AZOXY-DIFEN SC; Ax Azoxy-Difen SC,,,,,,
blossom blight and fruit rot,"Blossom Blight, Fruit Rot",Disease,,,8,A253.03; A253.07,,,,,,
blossom blight),Blossom Blight,Disease,,,1,Carb-O-Nator,,,,,,
Blossom blight/Brown rot,"Blossom Blight, Brown Rot",Disease,,,5,Theia Fungicide; INITIATE 720 FLOWABLE FUNGICIDE,,,,,,
Blossom blight/brown rot,"Blossom Blight, Brown Rot",Disease,,,13,Bravo 720; Barrachlor Fungicide; Bravo 825 Agricultural Fungicide; AVALAIRE CHLOROTHALONIL 720 F; Bravo Zn,,,,,,
Blossom Blights,"Blossom Blight, Brown Rot",Disease,,,3,A225.13; AZteroid FC 3.3,,,,,,
Blossom Brown Rot,Blossom Brown Rot,Disease,,,134,BASIC COPPER 53; Basic Copper 50 HB; 3 LB. COPPER FLOWABLE FUNGICIDE; AmeriCop 40 DF; Badge X2,,,,,,
Blossom brown rot,Blossom Brown Rot,Disease,,,23,ET-F; ALONGLIFE™; Agri-Life; Carb-O-Nator; Bonide Copper Spray or Dust,,,,,,
Blossom Brown Spot,Blossom Brown Rot,Disease,,,2,SPU-02720-F,,,,,,
Blossom end rot,Blossom Blight,Disease,,,3,Vacres; Karbicure 85 SG; Carb-O-Nator,,,,,,
Blossom Rot,Blossom Blight,Disease,,,1,Lilly Miller KOP-R-SPRAY Concentrate,,,,,,
Blossom rot,Blossom Blight,Disease,,,4,Vacres; Karbicure 85 SG; Carb-O-Nator,,,,,,
blossom rot),Blossom Blight,Disease,,,1,Carb-O-Nator,,,,,,
Blossom Rot/Brown Rot,"Blossom Blight, Brown Rot",Disease,,,9,V-10116 VPP Fungicide; Tourney EZ Fungicide,,,,,,
Blossom set,Blossom set,Other,,,5,Bonide Tomato and Blossom Set Spray,Review needed - unclear target type,,,,,
Blossom Worm,Blossom Worm,Insect,,,6,Agree 50 WP; Bioprotec PLUS; Thuricide 48 LV; Agree WG; DiPel ES-NT,,,,,,
Blossom worm,Blossom Worm,Insect,,,2,Confirm® 70 WSP Insecticide,,,,,,
Blossomworm,Blossom Worm,Insect,,,4,Acephate 90 WSP; Imidan 70-W Agricultural Insecticide,,,,,,
Blotch,Blotch,Other,,,13,AX AZOXY 229; Indar 75WSP; Endorse Water Dispersible Granules; AmeriCop 40 DF; BORDO 13 WP,Review needed - unclear target type,,,,,
Blotch Leafminer,Blotch Leafminer,Insect,,,1,CSI Lambda 1EC,,,,,,
Blotch Rot,Blotch Rot,Disease,,,1,LPI.A041,,,,,,
Blotch rot,Blotch Rot,Disease,,,15,Avalaire Azoxy + Difen; A253.01; A253.07; A253.09; A253.03,,,,,,
Blowflies,Blowflies,Other,,,1,Envi EC-X Emulsifiable Concentrate Insecticide,Review needed - unclear target type,,,,,
Blue,Blue,Other,,,1,Omni Brand Metribuzin 4SC,Review needed - unclear target type,,,,,
blue,Blue,Other,,,4,Velpar DF CU; Velpar® L CU,Review needed - unclear target type,,,,,
Blue Green Citrus Root Weevil,Blue Green Citrus Root Weevil,Insect,,,25,AgSaverTM Bifenthrin 2EC; A110.04; A110.08; Avalaire Bifen FC; A110.05,,,,,,
Blue Green Citrus root weevil,Blue Green Citrus Root Weevil,Insect,,,1,Sharda Bifenthrin 2E,,,,,,
Blue Green citrus root weevil,Blue Green Citrus Root Weevil,Insect,,,1,Bifenture EC Agricultural Insecticide,,,,,,
Blue green citrus root weevil,Blue Green Citrus Root Weevil,Insect,,,3,ACETO BIFENTHRIN 2 EC; Brigadier HPG Insecticide; Liberty Imidacloprid Bifenthrin,,,,,,
Blue Green Citrus Root Weevil (Pachnaeus opalus),Blue Green Citrus Root Weevil,Insect,,Pachnaeus opalus,4,Imidacloprid Plus Bifenthrin 1 + 1 SC; Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC; Brigadier Insecticide,,,,,,
Blue green citrus root weevil (Pachnaeus opalus),Blue Green Citrus Root Weevil,Insect,,Pachnaeus opalus,2,SWAGGER; F4092-3,,,,,,
Blue Mold,Blue Mold,Disease,,,62,AG Copp 75; Azoxystrobin 2.08 lb SC; ARMOUR-Zen 15%; AmeriCop 40 DF; Avalaire T-Methyl 4.5F,,,,,,
Blue mold,Blue Mold,Disease,,,166,Academy; Agri-Life; A254.01; A254.07; ActiMist PYR Foggable Fungicide,,,,,,
blue mold,Blue Mold,Disease,,,9,CitruStor; eFOG-160 PYR; Deccozole A; Decco Pyrimethanil Aerosol; First Choice pHortress Fungicide,,,,,,
Blue mold (Penicillium expansum),Blue Mold,Disease,,Penicillium expansum,2,Bio-Save® 11 NT Biological Fungicide,,,,,,
blue mold (Penicillium species),Blue Mold,Disease,,Penicillium spp.,1,Per OX,,,,,,
Blue mold (Penicillium spp.),Blue Mold,Disease,,Penicillium spp.,10,PacRite Propi 155 EC,,,,,,
Blue Mold (suppression),Blue Mold,Disease,,,1,Liberty Azoxy 229,,,,,,
Blue Mold Rot,Blue Mold,Disease,,,22,Mertect 340-F; eFOG-100 TBZ; Shield-Brite TBZ 500D; Thiabendazole 4.1 FL AG; Decco TBZ 500 SC,,,,,,
Blue mold spot,Blue Mold,Disease,,,1,KOP-5,,,,,,
Blue Mold suppression),Blue Mold,Disease,,,1,TETRABAN,,,,,,
Blue-Green Citrus Root Weevil,Blue Green Citrus Root Weevil,Insect,,,6,Fury 1.5 EW Insecticide; Liberty Bifen SC; A110.03; Liberty Bifenthrin 2 EC; BIFEN 25% EC,,,,,,
Blue-green citrus root weevil,Blue Green Citrus Root Weevil,Insect,,,3,FASTAC™ EC; Sniper; Fastac CS Insecticide,,,,,,
blue-green citrus root weevil,Blue Green Citrus Root Weevil,Insect,,,1,Aceto Bifenthrin 2E,,,,,,
Blue-Green Citrus Root Weevils,Blue Green Citrus Root Weevil,Insect,,,9,A198.01; Discipline 2EC; A198.03; 2016BIFENTHRIN; Ax Zeta-Cyper 915,,,,,,
Blueberry,Blueberry,Other,,,2,EZ-JECT Copperhead Herbicide Shells; Alligare Imazapyr 4 SL,Review needed - unclear target type,,,,,
Blueberry aphid,Blueberry aphid,Insect,,,3,Minecto Pro; Exirel Insect Control,,,,,,
Blueberry blossom weevil,Blueberry blossom weevil,Insect,,,4,TOLFENPYRAD 15SC Insecticide; Tolfenpyrad 15EC Insecticide,,,,,,
Blueberry Bud Mite,Blueberry Bud Mite,Insect,,,3,REX LIME SULFUR SOLUTION; SULFORIX,,,,,,
Blueberry Flea Beetle,Blueberry Flea Beetle,Insect,,,3,A122.03; RIMON® 0.83EC Insecticide,,,,,,
Blueberry Flea Beetle (Larvae),Blueberry Flea Beetle,Insect,,,1,AX-NOVAL,,,,,,
Blueberry flea beetle (larvae),Blueberry Flea Beetle,Insect,,,1,A122.01™,,,,,,
Blueberry flea beetles,Blueberry Flea Beetle,Insect,,,1,Fortune Aza 3% EC,,,,,,
Blueberry Flea Midge,Blueberry Gall Midge,Insect,,,1,A122.05,,,,,,
Blueberry Fruit Fly,Blueberry Gall Midge,Insect,,,1,Fyfanon ULV AG,,,,,,
Blueberry Gall Midge,Blueberry Gall Midge,Insect,,,79,AG35814 C 8.5SL Insecticide; Acetamiprid Concentrate Insecticide; A122.03; AG35814 R334.2 70 WP Insecticide; Acetamiprid 30 SC,,,,,,
Blueberry gall midge,Blueberry Gall Midge,Insect,,,17,Cyclaniliprole 100SL Insecticide; Minecto Pro; Exirel Insect Control; Cyclaniliprole 50SL Insecticide; Enkounter Insecticide,,,,,,
blueberry gall midge,Blueberry Gall Midge,Insect,,,1,SpinTor 2SC,,,,,,
Blueberry leaf rust,Rust,Disease,,,8,Elatus Fungicide; Aprovia Top Fungicide; Aprovia Fungicide; PROBLAD VERDE,,,,,,
Blueberry Leafhopper,Leafhopper,Insect,,,6,METHOMYL 29 SL Insecticide; Lannate SP; Lannate LV Insecticide; Methomyl 90 WSP; AX Methomyl 29LV Insecticide,,,,,,
Blueberry Leafroller,Leafrollers,Insect,,,21,BioproTeK; Bioprotec PLUS; EI-791 Insecticide; BMP 123 (2X WP); BMP 123 (48 LC),,,,,,
Blueberry leafroller,Leafrollers,Insect,,,23,Crymax WP; Condor XL; Crymax®; Cutlass; Condor WP,,,,,,
Blueberry Maggot,Blueberry Maggot,Insect,,,163,A122.03; A110.04; A110.03; A122.05; Acetamiprid 30 SC,,,,,,
Blueberry maggot,Blueberry Maggot,Insect,,,106,Altus; Advise 2FL; ADVISE FOUR; AmTide Imidacloprid 75% WDG Insecticide; A171.06™,,,,,,
blueberry maggot,Blueberry Maggot,Insect,,,2,MBI-306 EP; Surround WP Agricultural Crop Protectant,,,,,,
Blueberry Maggot (larvae),Blueberry Maggot,Insect,,,11,GCS Bifenthrin LFC; A110.04; Capture LFR Soil Insecticide; Sniper LFR,,,,,,
Blueberry Maggot Fly,Blueberry Maggot,Insect,,,2,AX-NOVAL; RIMON® 0.83EC Insecticide,,,,,,
Blueberry maggot fly,Blueberry Maggot,Insect,,,1,A122.01™,,,,,,
Blueberry Maggots,Blueberry Maggot,Insect,,,5,Discipline 2EC; FG14002-80; Bifenthrin 2E; 2016BIFENTHRIN; Sharda Bifenthrin 17.15% LFC,,,,,,
Blueberry maggots,Blueberry Maggot,Insect,,,9,Drexel Diazinon Insecticide; Fortune Aza 3% EC; Fyfanon 57% EC; Cheminova Malathion 57% Low VOC; Drexel Malathion 5EC,,,,,,
Blueberry Spanworm,Blueberry Spanworm,Insect,,,38,BioproTeK; Danitol 2.4 EC Spray; AX-NOVAL; A122.03; A122.05,,,,,,
Blueberry spanworm,Blueberry Spanworm,Insect,,,6,A122.01™; TOLFENPYRAD 15SC Insecticide; Tolfenpyrad 15EC Insecticide; F6129 EW Insecticide,,,,,,
Blueberry stem gall wasp,Blueberry stem gall wasp,Insect,,,2,SIVANTO 400 SL; Imidan 70-W Agricultural Insecticide,,,,,,
Blueberry thrips,Blueberry thrips,Insect,,,3,SIVANTO 400 SL; FDF 50 SL Concentrate,,,,,,
Blueberry thrips (Frankliniella vaccinii),Blueberry thrips,Insect,,Frankliniella vaccinii,2,Altus,,,,,,
Blueberry thrips (Scirtothrips citri),Blueberry thrips,Insect,,Scirtothrips citri,2,Altus,,,,,,
Blueberry thrips-feeding damage reduction,Blueberry thrips,Insect,,,1,SIVANTO 400 SL,,,,,,
Blueberry tip borer,Blueberry tip borer,Insect,,,1,Malathion 8,,,,,,
Bluegrass,Annual Bluegrass,Weed,,,62,F7127 SE HERBICIDE; A363.01; BLASTWAVE 480 SC; A335.05; IMAZETHAPYR 240 SL,,,,,,
bluegrass,Annual Bluegrass,Weed,,,22,KERB 3.3 SC; Dimension® 0.25G,,,,,,
Bluegrass (annual),Annual Bluegrass,Weed,,,2,Rim 25 Herbicide,,,,,,
bluegrass (annual),Annual Bluegrass,Weed,,,16,Chemsico Herbicide Formula D,,,,,,
BlueGreen Citrus Root Weevil,Blue Green Citrus Root Weevil,Insect,,,1,BIFENTURE 10DF Insecticide/Miticide,,,,,,
Bog rush,Bog rush,Weed,,,1,Evital 5G,,,,,,
Bog rushes,Bog rush,Weed,,,2,Drexel Mesotryone 4L; Mesotrione 480SC,,,,,,
Bog St. John’s Wort,Bog St. John's wort,Other,,,2,Mesotrione 40% SC,Review needed - unclear target type,,,,,
Bog St. John’s wort,Bog St. John's wort,Other,,,1,Sharda Mesotrione 40SC,Review needed - unclear target type,,,,,
Bog St. John’s wort (Hypericum boreale),Bog St. John's wort,Other,,,1,Tigris Meso 4 SC,Review needed - unclear target type,,,,,
Bog St. John's wort,Bog St. John's wort,Other,,,9,Mesotrione 40 Herbicide; A326.02; Callisto Herbicide; Avalaire MESO 4 SC; ARGOS HERBICIDE,Review needed - unclear target type,,,,,
bog St. John's wort,Bog St. John's wort,Other,,,3,Lektor; Axill Solutions Mesotrione 4SC,Review needed - unclear target type,,,,,
Boisduval Scale,Boisduval Scale,Insect,,,6,LN 1% PY,,,,,,
Boll Rot,Boll Rot,Disease,,,2,ARMOUR-Zen 15%,,,,,,
Boll weevil,Boll Weevils,Insect,,,1,TNO RTU,,,,,,
Boll Weevils,Boll Weevils,Insect,,,18,LN 1% PY,,,,,,
Boll weevils,Boll Weevils,Insect,,,3,DEBUG OPTIMO; Envi EC-X Emulsifiable Concentrate Insecticide,,,,,,
Boll worm,Bollworms,Insect,,,1,SURROUND CF AGRICULTURAL CROP PROTECTANT,,,,,,
boll worm,Bollworms,Insect,,,1,Surround WP Agricultural Crop Protectant,,,,,,
Boll Worms,Bollworms,Insect,,,2,DEBUG OPTIMO,,,,,,
Bollworm,Bollworms,Insect,,,23,Naturalis L Biological Insecticide; LIBERTY ACETA-BIF; GCS Bifenthrin LFC; Bifenthrin 17.15 FC,,,,,,
Bollworms,Bollworms,Insect,,,29,Bioprotec Caterpillar Insecticide Concentrate; MEEN™; Agree WG; Crymax®,,,,,,
Borer,Borers,Insect,,,1,Bonide Potato Beetle Beater,,,,,,
Borer (Lesser peachtree),Lesser peachtree borer,Insect,,,1,UNICORN 2.5% Permethrin RTS,,,,,,
Borer (Peach Twig),Peach Twig Borer,Insect,,,4,PN All Season Spray Oil; BVA Spray 13E,,,,,,
Borer (Peach twig),Peach Twig Borer,Insect,,,1,UNICORN 2.5% Permethrin RTS,,,,,,
Borers,Borers,Insect,,,241,Ampl er; Aerosol NEU1161 RTU; A1117.01; AMVAC AZA 1.2% CF; 0.3% Bifenthrin Liquid Concentrate,,,,,,
borers,Borers,Insect,,,19,GF-1640 WG-NC; Captain Jack's Deadbug Brew Flower & Vegetable Garden Dust; A1101.19; Spinosad 0.5% SC; Conserve SC Turf and Ornamental,,,,,,
Borers (lesser peachtree),Lesser peachtree borer,Insect,,,1,Evercide® 2.5 Permethrin Concentrate/Repellent,,,,,,
Borers (Peach twig),Peach Twig Borer,Insect,,,1,Evercide® 2.5 Permethrin Concentrate/Repellent,,,,,,
Bot Canker,Botryosphaeria Canker,Disease,,,2,Companion® Maxx Liquid Biological Fungicide,,,,,,
Bot Rot,Botryosphaeria Rot,Disease,,,28,Forticept EP #1; BACIX; ARMOUR-Zen 15%; BioLink Fungicide PLUS; Armour-Zen,,,,,,
Bot rot,Botryosphaeria Rot,Disease,,,7,Theia Fungicide; BC18-WG; TS601®; Serifel Biofungicide,,,,,,
Bot rot or White rot,"Botryosphaeria Rot, White Rot",Disease,,,1,Flutriafol 250 g/L SC,,,,,,
Bot rot/white rot,"Botryosphaeria Rot, White Rot",Disease,,,6,GH DNMT; CX-9032; CX-9030,,,,,,
Botryosphaeria,Botryosphaeria spp.,Other,,,1,LBG-61,Review needed - unclear target type,,,,,
Botryosphaeria Blight,Botryosphaeria Blight,Disease,,,47,Forticept EP #1; BACIX; ARMOUR-Zen 15%; BioLink Fungicide PLUS; Armour-Zen,,,,,,
Botryosphaeria blight,Botryosphaeria Blight,Disease,,,9,F9944-74; BC18-WG; ENDORSE Water Dispersible Granules; Theia Fungicide,,,,,,
Botryosphaeria Canker,Botryosphaeria Rot,Disease,,,123,A225.09; A19649 Crop; A-Zox 50WDG; A225.08; A21461 Crop,,,,,,
Botryosphaeria canker,Botryosphaeria Canker,Disease,,,20,A225.05; Heritage Fungicide; Helmstar Fungicide; Mika WG; Flutriafol 250 g/L SC,,,,,,
Botryosphaeria Dieback,Botryosphaeria Dieback,Other,,,6,Zorda WG Biological Fungicide,Review needed - unclear target type,,,,,
Botryosphaeria dieback,Botryosphaeria Dieback,Other,,,1,Serifel Biofungicide,Review needed - unclear target type,,,,,
Botryosphaeria dothidea,Botryosphaeria dothidea,Other,,Botryosphaeria dothidea,4,PFS 56 Systemic Fungicide Bactericide,Review needed - unclear target type,,,,,
Botryosphaeria Panicle & Shoot Blight,Botryosphaeria panicle and shoot blight,Disease,,,2,ADAMENT 50 WG Fungicide,,,,,,
Botryosphaeria Panicle and Shoot Blight,Botryosphaeria panicle and shoot blight,Disease,,,6,A225.09; Gem Fungicide; LBG-63FTA; GEM 500 SC Fungicide; FLINT FUNGICIDE,,,,,,
Botryosphaeria panicle and shoot blight,Botryosphaeria panicle and shoot blight,Disease,,,22,FLU+DFO; A225.11; Elite® 45 DF Foliar Fungicide; A224.03; Buzz Ultra DF,,,,,,
Botryosphaeria panicle and shoot blight (Botryosphaeria dothidea),Botryosphaeria panicle and shoot blight,Disease,,Botryosphaeria dothidea,2,HELMSTAR PLUS SC; TEBUCON 45 DF FUNGICIDE,,,,,,
Botryosphaeria panicle blight,Botryosphaeria panicle and shoot blight,Disease,,,1,Bonide Copper Spray or Dust,,,,,,
Botryosphaeria rhodina,Botryosphaeria rhodina,Other,,Botryosphaeria rhodina,2,Andiamo; Rally 40WSP,Review needed - unclear target type,,,,,
Botryosphaeria rhodina infections,Botryosphaeria rhodina,Disease,,Botryosphaeria rhodina,1,NUP-14068 Fungicide,,,,,,
Botryosphaeria Rot,Botryosphaeria Rot,Disease,,,2,CAPTAN 80 WDG; Captan 38.75% FL,,,,,,
Botryosphaeria rot,Botryosphaeria Rot,Disease,,,26,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,,,,
botryosphaeria rot,Botryosphaeria Rot,Disease,,,1,Captan 80 WDG,,,,,,
Botryosphaeria spp.,Botryosphaeria spp.,Other,,,6,CH2970/CH3000,Review needed - unclear target type,,,,,
Botryosphaeria spp. Canker Complex,Botryosphaeria Canker,Disease,,,2,PHOSTROL Agricultural Fungicide,,,,,,
Botryosphaeria Stem Canker and Blight,"Botryosphaeria Canker, Botryosphaeria Blight",Disease,,,4,Quash SC Fungicide,,,,,,
Botrytis,Botrytis spp.,Other,,Botrytis spp.,350,ADA 76901; A230.04; A224.03; A295.01; A-Zox 50WDG,Review needed - unclear target type,,,,,
botrytis,Botrytis spp.,Other,,Botrytis spp.,1,Trilogy XL-O Fungicide/Miticide/Insecticide,Review needed - unclear target type,,,,,
Botrytis (blossom and twig blight),"Blossom Blight, Twig Blight",Disease,,Botrytis spp.,1,Carb-O-Nator,,,,,,
Botrytis (botrytis blight,Blight,Disease,,Botrytis spp.,1,Carb-O-Nator,,,,,,
Botrytis (Botrytis cinerea),Botrytis cinerea,Other,,Botrytis spp.,2,PHC 25279,Review needed - unclear target type,,,,,
Botrytis (foliar suppression),Botrytis spp.,Other,,Botrytis spp.,1,A225.13,Review needed - unclear target type,,,,,
Botrytis (fruit rot),Fruit Rot,Disease,,Botrytis spp.,3,Carb-O-Nator,,,,,,
Botrytis (gray mold blight),Gray Mold,Disease,,Botrytis spp.,2,Carb-O-Nator,,,,,,
Botrytis (gray mold rot,Gray Mold,Disease,,Botrytis spp.,4,Carb-O-Nator,,,,,,
Botrytis (gray mold rot),Gray Mold,Disease,,Botrytis spp.,2,Carb-O-Nator,,,,,,
Botrytis (Gray Mold),Gray Mold,Disease,,Botrytis spp.,1,Rhapsody ASO,,,,,,
Botrytis (Gray mold),Gray Mold,Disease,,Botrytis spp.,10,DREXEL 80% KAPTAN; Drexel Captan 4L Fungicide; DCC Captan 4L; Captan 80WDG; DREXEL 80% CAPTAN,,,,,,
Botrytis (gray mold),Gray Mold,Disease,,Botrytis spp.,22,Captan 50% WP; ADA 76901; Captan 4L; Captan 50-W; Captan 50 Wettable Powder,,,,,,
Botrytis (green fruit rot,Green Fruit Rot,Disease,,Botrytis spp.,1,Carb-O-Nator,,,,,,
Botrytis (grey mold),Gray Mold,Disease,,Botrytis spp.,10,LIBERTY FLUDI-CYPRO; LPI Cyprodinil + Fludioxonil; Avalaire Cyprodinil + Fludioxonil; Cannonball WG; AX FLUDI-CYPRO,,,,,,
Botrytis (suppression on foliage),Botrytis spp.,Other,,Botrytis spp.,1,Azoxystrobin 2L H&G,Review needed - unclear target type,,,,,
Botrytis (suppression only),Botrytis spp.,Other,,Botrytis spp.,2,Mika WG; Tebuconazole 45 WP,Review needed - unclear target type,,,,,
Botrytis (Suppression),Botrytis spp.,Other,,Botrytis spp.,1,Abound Flowable Fungicide,Review needed - unclear target type,,,,,
Botrytis (suppression),Botrytis spp.,Other,,Botrytis spp.,13,AX AZOXY 229; Avalaire Azoxy 2 SC; A225.09; Azoxystrobin 250 g/L SC; AZOXYSTROBIN 22.9% SC,Review needed - unclear target type,,,,,
Botrytis Blight,Blight,Disease,,Botrytis spp.,119,BACIX; ARMOUR-Zen 15%; BioLink Fungicide PLUS; Armour-Zen; BOTRY-Zen,,,,,,
Botrytis blight,Blight,Disease,,Botrytis spp.,64,Bacillus subtilis CX-9090; BC18-WG; 26/36 Fungicide; Bonide Copper Spray or Dust; AURELIA 480 SC,,,,,,
Botrytis blight (grey mold),"Blight, Gray Mold",Disease,,Botrytis spp.,1,Chlorothalonil 900,,,,,,
Botrytis Blight / Gray Mold,"Blight, Gray Mold",Disease,,Botrytis spp.,6,Zorda WG Biological Fungicide,,,,,,
Botrytis Blight / Gray Mold Rot / Grey Mold (Botrytis cinerea),"Blight, Gray Mold",Disease,,Botrytis spp.,2,PHC 25279,,,,,,
Botrytis Blight / Grey Mold (Botrytis cinerea),"Blight, Gray Mold",Disease,,Botrytis spp.,2,PHC 25279,,,,,,
Botrytis Blight and Fruit Rot,"Blight, Fruit Rot",Disease,,Botrytis spp.,4,Quash SC Fungicide,,,,,,
Botrytis Blossom and Shoot Blight,"Blossom Blight, Shoot Blight",Disease,,Botrytis spp.,3,Sharda Bos. 25.2% + Pyra. 12.8% WG,,,,,,
Botrytis blossom and shoot blight,"Blossom Blight, Shoot Blight",Disease,,Botrytis spp.,10,Imbrex Xemium Fungicide Technical; Mibelya Fungicide; Priaxor Xemium Brand Fungicide; Merivon Xemium Brand Fungicide; Sercadis Xemium Brand Fungicide,,,,,,
Botrytis blossom and shoot blight/Green fruit rot,"Blossom Blight, Shoot Blight, Green Fruit Rot",Disease,,Botrytis spp.,3,PRISTINE FUNGICIDE,,,,,,
