Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename
71847-6-106,BRUTAB 6S,106,REGISTERED,1291864,CLOSED,ROUTINE,2024-12-19,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Solid,197961,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,BRUTAB_6S_71847-6-106_PRIMARY_LABEL_597298.pdf
10324-63-10634,ALPHA BAC 10,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,137618,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOSPITAL, INSTITUTIONAL",TRUE,ALPHA_BAC_10_10324-63-10634_PRIMARY_LABEL_577009.pdf
10324-67-10634,TERMINATE,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,130567,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",TRUE,TERMINATE_10324-67-10634_PRIMARY_LABEL_598870.pdf
10324-81-10634,ALPHA BAC,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,124684,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, INSTITUTIONAL, LAUNDRY",TRUE,ALPHA_BAC_10324-81-10634_PRIMARY_LABEL_595527.pdf
10634-20003,LOW TEMP SANITIZER,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,105397,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INDUSTRIAL, LAUNDRY",TRUE,LOW_TEMP_SANITIZER_10634-20003_PRIMARY_LABEL_536085.pdf
1839-79-10634,ALPHA QUAT DDS,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,206376,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, COVID-19 (EPA LIST N), INDUSTRIAL, INSTITUTIONAL",TRUE,ALPHA_QUAT_DDS_1839-79-10634_PRIMARY_LABEL_603059.pdf
47371-131-10634,PINE 999,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, MILDEWSTATIC, SANITIZER",FALSE,Liquid,272799,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), INDUSTRIAL, INSTITUTIONAL, LAUNDRY, RESIDENTIAL",TRUE,PINE_999_47371-131-10634_PRIMARY_LABEL_597398.pdf
63838-1-10634,alphasan 5.6,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,249713,"AQUATIC INVERTEBRATES, BIRDS, FISH","COMMERCIAL, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,alphasan_5.6_63838-1-10634_PRIMARY_LABEL_578065.pdf
6836-193-10634,MULTI-SURFACE CLEANER DISINFECTANT,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,218599,NONE,"COMMERCIAL, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,MULTI-SURFACE_CLEANER_DISINFECTANT_6836-193-10634_PRIMARY_LABEL_577008.pdf
6836-363-10634,STRIKE 999,10634,REGISTERED,1308547,CLOSED,ROUTINE,2025-11-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,272798,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,STRIKE_999_6836-363-10634_PRIMARY_LABEL_597448.pdf
11694-109-10637,WASP & HORNET KILLER,10637,REGISTERED,1282669,CLOSED,ROUTINE,2024-09-03,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,125280,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL",TRUE,WASP_and_HORNET_KILLER_11694-109-10637_PRIMARY_LABEL_601847.pdf
11694-110-10637,FLYING INSECT KILLER,10637,DISCONTINUED,1282669,CLOSED,ROUTINE,2024-09-03,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,125281,FISH,"COMMERCIAL, HOUSEHOLD, INDUSTRIAL, INSTITUTIONAL, RESIDENTIAL",TRUE,FLYING_INSECT_KILLER_11694-110-10637_PRIMARY_LABEL_601845.pdf
11694-110-10637,CRAWLING INSECT KILLER,10637,REGISTERED,1282669,CLOSED,ROUTINE,2024-09-03,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,125282,FISH,"COMMERCIAL, HOUSEHOLD, INDUSTRIAL, INSTITUTIONAL, RESIDENTIAL",TRUE,CRAWLING_INSECT_KILLER_11694-110-10637_PRIMARY_LABEL_513385.pdf
10693-20001,FLO-KLOR,10693,REGISTERED,1273370,CLOSED,ROUTINE,2024-01-25,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,242612,NONE,"AGRICULTURAL, COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",TRUE,FLO-KLOR_10693-20001_PRIMARY_LABEL_574930.pdf
1839-80-10693,FORTY-4 GERMICIDAL CLEANER,10693,REGISTERED,1273370,CLOSED,ROUTINE,2024-01-25,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,32793,FISH,"COMMERCIAL, COVID-19 (EPA LIST N), HOSPITAL, INSTITUTIONAL",TRUE,FORTY-4_GERMICIDAL_CLEANER_1839-80-10693_PRIMARY_LABEL_588386.pdf
63838-1-1072,PEROXYSAN-RS,1072,REGISTERED,1304393,CLOSED,ROUTINE,2025-07-30,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,130197,"AQUATIC INVERTEBRATES, BIRDS, FISH","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",TRUE,PEROXYSAN-RS_63838-1-1072_PRIMARY_LABEL_601822.pdf
69470-30-1072,PRECISE CHLORINATED SANITIZER TABLET,1072,REGISTERED,1288122,CLOSED,ROUTINE,2025-01-07,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Solid,41258,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",TRUE,PRECISE_CHLORINATED_SANITIZER_TABLET_69470-30-1072_PRIMARY_LABEL_535375.pdf
10772-21,OXI CLEAN BATHROOM CLEANER (Fresh Scent),10772,REGISTERED,1273339,CLOSED,ROUTINE,2024-01-25,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,253200,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), HOUSEHOLD",TRUE,OXI_CLEAN_BATHROOM_CLEANER_(Fresh_Scent)_10772-21_PRIMARY_LABEL_578627.pdf
1021-1861-10807,COUNTRY VET FARM & RANCH RTU SPRAY FOR INSECT CONTROL,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Liquid,201222,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, LIVESTOCK, STRUCTURAL",TRUE,COUNTRY_VET_FARM_and_RANCH_RTU_SPRAY_FOR_INSECT_CONTROL_1021-1861-10807_PRIMARY_LABEL_540418.pdf
1021-2685-10807,Country Vet Farm & Dairy CV-90D,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,266170,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, DOMESTIC ANIMALS, HOUSEHOLD, LIVESTOCK, ORNAMENTAL, RESIDENTIAL",TRUE,Country_Vet_Farm_and_Dairy_CV-90D_1021-2685-10807_PRIMARY_LABEL_592552.pdf
10807-442,COUNTRY VET MOSQUITO & FLY SPRAY AUTOMATIC CONTROL KIT,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,204084,NONE,"AGRICULTURAL, COMMERCIAL, INSTITUTIONAL",TRUE,COUNTRY_VET_MOSQUITO_and_FLY_SPRAY_AUTOMATIC_CONTROL_KIT_10807-442_PRIMARY_LABEL_597318.pdf
10807-442,COUNTRY VET MOSQUITO & FLY SPRAY,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,176726,NONE,"AGRICULTURAL, COMMERCIAL, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,COUNTRY_VET_MOSQUITO_and_FLY_SPRAY_10807-442_PRIMARY_LABEL_597317.pdf
10807-450,COUNTRY VET FARMGARD FARM & DAIRY FLY SPRAY,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,176728,NONE,"AGRICULTURAL, HOUSEHOLD, INDUSTRIAL, LIVESTOCK",TRUE,COUNTRY_VET_FARMGARD_FARM_and_DAIRY_FLY_SPRAY_10807-450_PRIMARY_LABEL_554403.pdf
10807-462,COUNTRY VET FARM & DAIRY CV-80D FOR INSECT CONTROL,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,"INSECTICIDE, REPELLENT",FALSE,Solid,174083,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, LIVESTOCK",TRUE,COUNTRY_VET_FARM_and_DAIRY_CV-80D_FOR_INSECT_CONTROL_10807-462_PRIMARY_LABEL_597363.pdf
10807-467,COUNTrY VET FLYING INSECT KILL SYSTEM II (KIT),10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,223489,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL, INDUSTRIAL",TRUE,COUNTrY_VET_FLYING_INSECT_KILL_SYSTEM_II_(KIT)_10807-467_PRIMARY_LABEL_597316.pdf
10807-467,COUNTRY VET FLYING INSECT KILL SYSTEM (Kit),10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,224121,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL, INSTITUTIONAL",TRUE,COUNTRY_VET_FLYING_INSECT_KILL_SYSTEM_(Kit)_10807-467_PRIMARY_LABEL_597315.pdf
10807-467,COUNTRY VET METERED INSECTICIDE FLY SPRAY,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,176730,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL, INSTITUTIONAL",TRUE,COUNTRY_VET_METERED_INSECTICIDE_FLY_SPRAY_10807-467_PRIMARY_LABEL_597313.pdf
10807-467,COUNTRY VET COUNTRY HOME AUTOMATIC FLYING INSECT & AIR FRESHENING KIT,10807,DISCONTINUED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,204085,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL",TRUE,COUNTRY_VET_COUNTRY_HOME_AUTOMATIC_FLYING_INSECT_and_AIR_FRESHENING_KIT_10807-467_PRIMARY_LABEL_597314.pdf
4-350-10807,COUNTRY VET FARMGARD PERMETHRIN CONCENTRATE,10807,REGISTERED,1302844,CLOSED,ROUTINE,2025-07-15,JYOTHI MURUNDI,INSECTICIDE,FALSE,Liquid,188869,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL, DOMESTIC ANIMALS, LIVESTOCK, RESIDENTIAL, STRUCTURAL",TRUE,COUNTRY_VET_FARMGARD_PERMETHRIN_CONCENTRATE_4-350-10807_PRIMARY_LABEL_545289.pdf
10324-159-110,MADISAN FOAM,110,REGISTERED,1288124,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,190300,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",TRUE,MADISAN_FOAM_10324-159-110_PRIMARY_LABEL_589061.pdf
10324-67-110,MADISAN ACID 25 LF,110,REGISTERED,1288124,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,136591,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,MADISAN_ACID_25_LF_10324-67-110_PRIMARY_LABEL_589062.pdf
10324-81-110,MADISAN 75,110,REGISTERED,1288124,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,133134,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,MADISAN_75_10324-81-110_PRIMARY_LABEL_589063.pdf
10324-85-110,proclean surface disinfectant,110,DISCONTINUED,1288124,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,244633,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOSPITAL, HOUSEHOLD, INDUSTRIAL, INSTITUTIONAL",TRUE,proclean_surface_disinfectant_10324-85-110_PRIMARY_LABEL_589250.pdf
63838-1-110,OXYWAVE,110,REGISTERED,1288124,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,132715,"AQUATIC INVERTEBRATES, BIRDS, FISH","COMMERCIAL, HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,OXYWAVE_63838-1-110_PRIMARY_LABEL_589060.pdf
72315-6-110,chlor-clean 12.5,110,REGISTERED,1288124,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,235310,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL, LAUNDRY",TRUE,chlor-clean_12.5_72315-6-110_PRIMARY_LABEL_560087.pdf
498-179-1124,FRANKLIN CLEANING TECHNOLOGY VANGUARD BRIZA DISINFECTANT SPRAY FORMULA 3,1124,REGISTERED,1305231,CLOSED,ROUTINE,2025-08-12,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Solid,276386,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), HOSPITAL, INSTITUTIONAL",TRUE,FRANKLIN_CLEANING_TECHNOLOGY_VANGUARD_BRIZA_DISINFECTANT_SPRAY_FORMULA_3_498-179-1124_PRIMARY_LABEL_602501.pdf
6836-70-1124,AQ+ ULTRA,1124,REGISTERED,1305231,CLOSED,ROUTINE,2025-08-12,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,276384,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), HOSPITAL, INDUSTRIAL, INSTITUTIONAL",TRUE,AQ+_ULTRA_6836-70-1124_PRIMARY_LABEL_602522.pdf
10324-85-1130,Gonzo Disinfectant (Lavender Scent),1130,DISCONTINUED,1308575,CLOSED,ROUTINE,2025-10-31,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,229371,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOUSEHOLD, INSTITUTIONAL",TRUE,Gonzo_Disinfectant_(Lavender_Scent)_10324-85-1130_PRIMARY_LABEL_555058.pdf
10324-85-1130,Gonzo Disinfectant (Citrus Scent),1130,DISCONTINUED,1308575,CLOSED,ROUTINE,2025-10-31,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,229370,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOUSEHOLD, INSTITUTIONAL",TRUE,Gonzo_Disinfectant_(Citrus_Scent)_10324-85-1130_PRIMARY_LABEL_555055.pdf
47000-150-11388,DELAVAL APPLICATOR FLY SPRAY,11388,REGISTERED,1292414,CLOSED,ROUTINE,2025-02-11,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,214355,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, INDUSTRIAL, LIVESTOCK",TRUE,DELAVAL_APPLICATOR_FLY_SPRAY_47000-150-11388_PRIMARY_LABEL_577716.pdf
4959-47-11388,EXTRACT - 2,11388,REGISTERED,1292414,CLOSED,ROUTINE,2025-02-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,255809,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, COMMERCIAL, SWIMMING POOLS/SPAS",TRUE,EXTRACT_-_2_4959-47-11388_PRIMARY_LABEL_591578.pdf
10088-110-11547,PERMADOC CONCENTRATE,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,INSECTICIDE,FALSE,Liquid,41348,"BEES, FISH","RESIDENTIAL, TURF",TRUE,PERMADOC_CONCENTRATE_10088-110-11547_PRIMARY_LABEL_526346.pdf
10088-81-11547,TRISEL,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,HERBICIDE,FALSE,Liquid,239070,"AQUATIC INVERTEBRATES, FISH","RESIDENTIAL, TURF",TRUE,TRISEL_10088-81-11547_PRIMARY_LABEL_563707.pdf
10088-91-11547,WASP AND HORNET KILLER,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,32216,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, STRUCTURAL",TRUE,WASP_AND_HORNET_KILLER_10088-91-11547_PRIMARY_LABEL_594457.pdf
10088-92-11547,SURFACE INSECTICIDE,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,36122,"AQUATIC INVERTEBRATES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL",TRUE,SURFACE_INSECTICIDE_10088-92-11547_PRIMARY_LABEL_534323.pdf
10088-93-11547,WILDFIRE FIRE ANT and INSECT DEHYDRATOR,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,36123,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, STRUCTURAL",TRUE,WILDFIRE_FIRE_ANT_and_INSECT_DEHYDRATOR_10088-93-11547_PRIMARY_LABEL_552751.pdf
10088-95-11547,PERMADOC 20 (NOT FOR USE IN RESIDENTIAL AUTOMATIC MISTING SYSTEMS IN NYS),11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,INSECTICIDE,FALSE,Liquid,108710,FISH,"COMMERCIAL, DOMESTIC ANIMALS, INSTITUTIONAL, LIVESTOCK, NON-CROP, ORNAMENTAL, RESIDENTIAL",TRUE,PERMADOC_20_(NOT_FOR_USE_IN_RESIDENTIAL_AUTOMATIC_MISTING_SYSTEMS_IN_NYS)_10088-95-11547_PRIMARY_LABEL_526139.pdf
228-190-11547,TRISEL AEROSOL,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,HERBICIDE,FALSE,Solid,37823,"AQUATIC INVERTEBRATES, FISH",TURF,TRUE,TRISEL_AEROSOL_228-190-11547_PRIMARY_LABEL_532609.pdf
34810-35-11547,Trounce,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,234169,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOSPITAL, INSTITUTIONAL",TRUE,Trounce_34810-35-11547_PRIMARY_LABEL_574497.pdf
3862-133-11547,FLYING INSECT KILLER,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,INSECTICIDE,FALSE,Solid,58617,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL, ORNAMENTAL",TRUE,FLYING_INSECT_KILLER_3862-133-11547_PRIMARY_LABEL_601845.pdf
44446-81-11547,GERMICIDAL DISINFECTANT II,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,275017,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), HOSPITAL, HOUSEHOLD, INDUSTRIAL, INSTITUTIONAL",TRUE,GERMICIDAL_DISINFECTANT_II_44446-81-11547_PRIMARY_LABEL_600740.pdf
6836-140-11547,DOMINATOR,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Liquid,275377,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), HOSPITAL, HOUSEHOLD, INDUSTRIAL, INSTITUTIONAL",TRUE,DOMINATOR_6836-140-11547_PRIMARY_LABEL_600921.pdf
6836-340-11547,PATHOS II DISINFECTANT WIPES,11547,REGISTERED,1308534,CLOSED,ROUTINE,2025-11-26,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",FALSE,Solid,192620,NONE,"COMMERCIAL, COVID-19 (EPA LIST N), EPA LIST Q - TIER 1, HOSPITAL, INSTITUTIONAL",TRUE,PATHOS_II_DISINFECTANT_WIPES_6836-340-11547_PRIMARY_LABEL_600180.pdf
101563-213-11556,CyLence Ultra Premise Spray,11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,265016,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL, INDUSTRIAL, STRUCTURAL",TRUE,CyLence_Ultra_Premise_Spray_101563-213-11556_PRIMARY_LABEL_596600.pdf
101563-215-11556,QUICKBAYT FLY BAIT,11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,FALSE,Solid,265018,"AQUATIC INVERTEBRATES, BEES","AGRICULTURAL, INDUSTRIAL",TRUE,QUICKBAYT_FLY_BAIT_101563-215-11556_PRIMARY_LABEL_590097.pdf
101563-216-11556,CYLENCE ULTRA PEST CONTROL CONCENTRATE,11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,265017,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL, STRUCTURAL",TRUE,CYLENCE_ULTRA_PEST_CONTROL_CONCENTRATE_101563-216-11556_PRIMARY_LABEL_590098.pdf
101563-218-11556,"QUICKBAYT SPOT SPRAY (NOT FOR SALE, SALE INTO, DISTRIBUTION AND/OR USE IN NASSAU, SUFFOLK, KINGS AND QUEENS COUNTIES OF NYS)",11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,TRUE,Solid,265019,"AQUATIC INVERTEBRATES, BEES","AGRICULTURAL, COMMERCIAL",TRUE,"QUICKBAYT_SPOT_SPRAY_(NOT_FOR_SALE,_SALE_INTO,_DISTRIBUTION_AND_OR_USE_IN_NASSAU,_SUFFOLK,_KINGS_AND_QUEENS_COUNTIES_OF_NYS)_101563-218-11556_PRIMARY_LABEL_590100.pdf"
1021-1778-11556,ADVANTAGE YARD & PREMISE SPRAY,11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,192505,FISH,"ORNAMENTAL, RESIDENTIAL, TURF",TRUE,ADVANTAGE_YARD_and_PREMISE_SPRAY_1021-1778-11556_PRIMARY_LABEL_575569.pdf
11556-138,CHECKMITE+ BEE HIVE PEST CONTROL STRIP,11556,REGISTERED,1306884,CLOSED,ROUTINE,2025-09-10,KATHERINE HETTER,"INSECTICIDE, MITICIDE",FALSE,Solid,222431,"AQUATIC INVERTEBRATES, BIRDS, FISH","AGRICULTURAL, RESIDENTIAL",TRUE,CHECKMITE+_BEE_HIVE_PEST_CONTROL_STRIP_11556-138_PRIMARY_LABEL_601964.pdf
11556-156,RABON 50 WP INSECTICIDE,11556,REGISTERED,1306884,CLOSED,ROUTINE,2025-09-10,KATHERINE HETTER,INSECTICIDE,FALSE,Solid,181171,"BEES, FISH","COMMERCIAL, LIVESTOCK",TRUE,RABON_50_WP_INSECTICIDE_11556-156_PRIMARY_LABEL_601966.pdf
11556-162,"RAVAP EC LIVESTOCK, POULTRY & PREMISE INSECTICIDE SPRAY",11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,181174,"BIRDS, FISH, WILDLIFE","AGRICULTURAL, LIVESTOCK",TRUE,"RAVAP_EC_LIVESTOCK,_POULTRY_and_PREMISE_INSECTICIDE_SPRAY_11556-162_PRIMARY_LABEL_574183.pdf"
11556-166,PERMECTRIN II,11556,REGISTERED,1306883,CLOSED,ROUTINE,2025-09-10,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,181175,FISH,"AGRICULTURAL, DOMESTIC ANIMALS, LIVESTOCK",TRUE,PERMECTRIN_II_11556-166_PRIMARY_LABEL_602000.pdf
11556-170,PERMECTRIN CDS POUR-ON INSECTICIDE,11556,REGISTERED,1306883,CLOSED,ROUTINE,2025-09-10,KATHERINE HETTER,INSECTICIDE,FALSE,Liquid,181177,"AQUATIC INVERTEBRATES, BEES, FISH","AGRICULTURAL, COMMERCIAL, LIVESTOCK",TRUE,PERMECTRIN_CDS_POUR-ON_INSECTICIDE_11556-170_PRIMARY_LABEL_602002.pdf
11556-188,Conquest Insecticide,11556,REGISTERED,1302831,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,FALSE,Solid,256869,AQUATIC INVERTEBRATES,AGRICULTURAL,TRUE,Conquest_Insecticide_11556-188_PRIMARY_LABEL_582328.pdf
