Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename,txt_file_len,each_page_len,text_contains_product_name,text_contains_children,text_contains_epa_no,each_page_has_text,OCR_text_contains_product_name,OCR_text_contains_children,OCR_text_contains_epa_no,OCR_needed,runOCR_reason,Post_OCR_char_per_page,OCR_v_Original,final_determination,agricultural_use_requirements_and_restricted_entry_interval
101563-76-10404,LESCO MERIT 0.2% PLUS TURF FERTILIZER,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,269814,AQUATIC INVERTEBRATES,"ORNAMENTAL, TURF",True,LESCO_MERIT_0.2%_PLUS_TURF_FERTILIZER_101563-76-10404_PRIMARY_LABEL_594883.pdf,,,,,,True,,,,,,,,Original,
10404-100,LESCO PRE-M 0.86% PLUS FERTILIZER (VARIOUS FERTILIZER MIXES),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,104586,FISH,TURF,True,LESCO_PRE-M_0.86%_PLUS_FERTILIZER_(VARIOUS_FERTILIZER_MIXES)_10404-100_PRIMARY_LABEL_530250.pdf,,,,,,True,,,,,,,,Original,
10404-112,LESCO STONEWALL 65WDG HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,244492,NONE,"AGRICULTURAL, NON-CROP, NURSERY, ORNAMENTAL, RESIDENTIAL, TURF",True,LESCO_STONEWALL_65WDG_HERBICIDE_10404-112_PRIMARY_LABEL_570136.pdf,,,,,,True,,,,,,,,Original,
10404-113,Basic Control Prodiamine 0.29% PLUS FERTILIZER,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,224917,FISH,"ORNAMENTAL, TURF",True,Basic_Control_Prodiamine_0.29%_PLUS_FERTILIZER_10404-113_PRIMARY_LABEL_550049.pdf,,,,,,True,,,,,,,,Original,
10404-113,LESCO STONEWALL 0.29% PLUS FERTILIZER                                 ,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,214204,FISH,"ORNAMENTAL, TURF",True,LESCO_STONEWALL_0.29%_PLUS_FERTILIZER_10404-113_PRIMARY_LABEL_543925.pdf,,,,,,True,,,,,,,,Original,
10404-114,STONEWALL 0.37% PLUS FERTILIZER (various fertilizer mixes),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,261112,FISH,"ORNAMENTAL, RESIDENTIAL, TURF",True,STONEWALL_0.37%_PLUS_FERTILIZER_(various_fertilizer_mixes)_10404-114_PRIMARY_LABEL_586285.pdf,,,,,,True,,,,,,,,Original,
10404-114,Basic Control Prodiamine 0.37% PLUS FERTILIZER,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,224918,FISH,"ORNAMENTAL, TURF",True,Basic_Control_Prodiamine_0.37%_PLUS_FERTILIZER_10404-114_PRIMARY_LABEL_550050.pdf,,,,,,True,,,,,,,,Original,
10404-114,LESCO STONEWALL 0.37% PLUS FERTILIZER                                 ,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,214203,FISH,"ORNAMENTAL, TURF",True,LESCO_STONEWALL_0.37%_PLUS_FERTILIZER_10404-114_PRIMARY_LABEL_543926.pdf,,,,,,True,,,,,,,,Original,
10404-118,LESCO TRIFLURALIN 5G HERBICIDE ,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,216642,"AQUATIC INVERTEBRATES, FISH","NON-CROP, NURSERY, ORNAMENTAL",True,LESCO_TRIFLURALIN_5G_HERBICIDE_10404-118_PRIMARY_LABEL_544654.pdf,,,,,,True,,,,,,,,Original,
10404-119,LESCO TRICLOPYR 4 ESTER HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,217664,FISH,"NON-CROP, TURF",True,LESCO_TRICLOPYR_4_ESTER_HERBICIDE_10404-119_PRIMARY_LABEL_544781.pdf,,,,,,True,,,,,,,,Original,
10404-121,LESCO HORTICULTURAL OIL PLUS,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,"INSECTICIDE, MITICIDE",False,Liquid,226452,NONE,"AGRICULTURAL, GREENHOUSE, NURSERY, ORNAMENTAL",True,LESCO_HORTICULTURAL_OIL_PLUS_10404-121_PRIMARY_LABEL_552393.pdf,,,,,,True,,,,,,,,Original,
10404-43,LESCO THREE-WAY SELECTIVE HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,163008,"AQUATIC INVERTEBRATES, FISH","NON-CROP, ORNAMENTAL, TURF",True,LESCO_THREE-WAY_SELECTIVE_HERBICIDE_10404-43_PRIMARY_LABEL_581261.pdf,,,,,,True,,,,,,,,Original,
10404-44,LESCO ELIMINATE-D BROADLEAF HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,110282,"AQUATIC INVERTEBRATES, FISH",TURF,True,LESCO_ELIMINATE-D_BROADLEAF_HERBICIDE_10404-44_PRIMARY_LABEL_531457.pdf,,,,,,True,,,,,,,,Original,
10404-61,LESCO 6.3% SEVIN BRAND GRANULAR CARbARYL INSECTICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,20838,AQUATIC INVERTEBRATES,TURF,True,LESCO_6.3%_SEVIN_BRAND_GRANULAR_CARbARYL_INSECTICIDE_10404-61_PRIMARY_LABEL_529180.pdf,,,,,,True,,,,,,,,Original,
10404-66,LESCO HORTICULTURAL OIL INSECTICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,"INSECTICIDE, MITICIDE",False,Liquid,21765,NONE,ORNAMENTAL,True,LESCO_HORTICULTURAL_OIL_INSECTICIDE_10404-66_PRIMARY_LABEL_525970.pdf,,,,,,True,,,,,,,,Original,
10404-84,BASIC CONTROL DITHIOPYR 0.07% PLUS FERTILIZER [NO USE IN NASSAU & SUFFOLK COUNTIES],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,224912,"AQUATIC INVERTEBRATES, FISH",TURF,True,BASIC_CONTROL_DITHIOPYR_0.07%_PLUS_FERTILIZER_[NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES]_10404-84_PRIMARY_LABEL_549948.pdf,,,,,,True,,,,,,,,Original,
10404-85,BASIC CONTROL DITHIOPYR 0.10% PLUS FERTILIZER [NO USE IN NASSAU & SUFFOLK COUNTIES],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,224913,"AQUATIC INVERTEBRATES, FISH",TURF,True,BASIC_CONTROL_DITHIOPYR_0.10%_PLUS_FERTILIZER_[NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES]_10404-85_PRIMARY_LABEL_549952.pdf,,,,,,True,,,,,,,,Original,
10404-85,DIMENSION  0.10% PLUS FERTILIZER (NO USE IN NASSAU & SUFFOLK CO.) (various fertilizer blends),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,35160,"AQUATIC INVERTEBRATES, FISH",TURF,True,DIMENSION__0.10%_PLUS_FERTILIZER_(NO_USE_IN_NASSAU_and_SUFFOLK_CO.)_(various_fertilizer_blends)_10404-85_PRIMARY_LABEL_586286.pdf,,,,,,True,,,,,,,,Original,
10404-86,BASIC CONTROL DITHIOPYR 0.15% PLUS FERTILIZER [NO USE IN NASSAU & SUFFOLK COUNTIES],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,224914,"AQUATIC INVERTEBRATES, FISH",TURF,True,BASIC_CONTROL_DITHIOPYR_0.15%_PLUS_FERTILIZER_[NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES]_10404-86_PRIMARY_LABEL_550041.pdf,,,,,,True,,,,,,,,Original,
10404-86,LESCO DIMENSION CRABGRASS PRE-EMERGENT PLUS FERTILIZER (ONE APPLICATION/YR),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,40961,"AQUATIC INVERTEBRATES, FISH",TURF,True,LESCO_DIMENSION_CRABGRASS_PRE-EMERGENT_PLUS_FERTILIZER_(ONE_APPLICATION_YR)_10404-86_PRIMARY_LABEL_500817.pdf,,,,,,True,,,,,,,,Original,
10404-86,DIMENSION 0.15% PLUS FERTILIZER (NO USE IN NASSAU & SUFFOLK CO.),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,36503,"AQUATIC INVERTEBRATES, FISH",TURF,True,DIMENSION_0.15%_PLUS_FERTILIZER_(NO_USE_IN_NASSAU_and_SUFFOLK_CO.)_10404-86_PRIMARY_LABEL_530635.pdf,,,,,,True,,,,,,,,Original,
10404-87,LESCO DIMENSION 0.21% PLUS FERTILIZER (only one application per year in ny; max app rate of 0.25 lb/ai/acre/yr)(unrestricted 12/21/2020),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,246772,"AQUATIC INVERTEBRATES, FISH","RESIDENTIAL, TURF",True,LESCO_DIMENSION_0.21%_PLUS_FERTILIZER_(only_one_application_per_year_in_ny;_max_app_rate_of_0.25_lb_ai_acre_yr)(unrestricted_12_21_2020)_10404-87_PRIMARY_LABEL_571280.pdf,,,,,,True,,,,,,,,Original,
10404-87,BASIC CONTROL DITHIOPYR 0.21% PLUS FERTILIZER [NO USE IN NASSAU & SUFFOLK COUNTIES],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Solid,224915,"AQUATIC INVERTEBRATES, FISH",TURF,True,BASIC_CONTROL_DITHIOPYR_0.21%_PLUS_FERTILIZER_[NO_USE_IN_NASSAU_and_SUFFOLK_COUNTIES]_10404-87_PRIMARY_LABEL_550042.pdf,,,,,,True,,,,,,,,Original,
10404-89,LESCO STONEWALL 0.43% PLUS FERTILIZER,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,42127,FISH,"ORNAMENTAL, TURF",True,LESCO_STONEWALL_0.43%_PLUS_FERTILIZER_10404-89_PRIMARY_LABEL_529323.pdf,,,,,,True,,,,,,,,Original,
10404-89,LESCO BARRICADE 0.43% PLUS FERTILIZER (VARIOUS FERTILIZER MIXTURES),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,151437,FISH,"ORNAMENTAL, TURF",True,LESCO_BARRICADE_0.43%_PLUS_FERTILIZER_(VARIOUS_FERTILIZER_MIXTURES)_10404-89_PRIMARY_LABEL_524164.pdf,,,,,,True,,,,,,,,Original,
10404-89,Basic Control Prodiamine 0.43% Plus Fertilizer,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,224919,FISH,"ORNAMENTAL, TURF",True,Basic_Control_Prodiamine_0.43%_Plus_Fertilizer_10404-89_PRIMARY_LABEL_550047.pdf,,,,,,True,,,,,,,,Original,
10404-90,LESCO stonewall 0.68% Plus Fertilizer,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,244769,"BEES, FISH","ORNAMENTAL, TURF",True,LESCO_stonewall_0.68%_Plus_Fertilizer_10404-90_PRIMARY_LABEL_570376.pdf,,,,,,True,,,,,,,,Original,
10404-98,LESCO PRE-M 1.5% PLUS FERTILIZER,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,39696,FISH,"NON-CROP, NURSERY, ORNAMENTAL, TURF",True,LESCO_PRE-M_1.5%_PLUS_FERTILIZER_10404-98_PRIMARY_LABEL_509891.pdf,,,,,,True,,,,,,,,Original,
19713-607-10404,LESCO PROSECUTOR RTU,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,216652,NONE,"NON-CROP, ORNAMENTAL, RESIDENTIAL",True,LESCO_PROSECUTOR_RTU_19713-607-10404_PRIMARY_LABEL_544709.pdf,,,,,,True,,,,,,,,Original,
2217-1034-10404,LESCO MOMENTUM 4-SCORE HERBICIDE (no use on long island; limited application rate in NYS),10404,REGISTERED,1309030,CLOSED,ROUTINE,2025-10-08,KATHERINE HETTER,HERBICIDE,True,Liquid,231235,"AQUATIC INVERTEBRATES, FISH",TURF,True,LESCO_MOMENTUM_4-SCORE_HERBICIDE_(no_use_on_long_island;_limited_application_rate_in_NYS)_2217-1034-10404_PRIMARY_LABEL_591247.pdf,,,,,,True,,,,,,,,Original,
228-190-10404,Lesco Three-Way Selective Spot Weeder with Foaming Action,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,230002,"AQUATIC INVERTEBRATES, FISH","RESIDENTIAL, TURF",True,Lesco_Three-Way_Selective_Spot_Weeder_with_Foaming_Action_228-190-10404_PRIMARY_LABEL_555401.pdf,,,,,,True,,,,,,,,Original,
228-281-10404,LESCO WEED AND FEED,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,36502,"AQUATIC INVERTEBRATES, FISH",TURF,True,LESCO_WEED_AND_FEED_228-281-10404_PRIMARY_LABEL_529307.pdf,,,,,,True,,,,,,,,Original,
228-281-10404,BASIC CONTROL WEED & FEED,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,224920,"AQUATIC INVERTEBRATES, FISH",TURF,True,BASIC_CONTROL_WEED_and_FEED_228-281-10404_PRIMARY_LABEL_550051.pdf,,,,,,True,,,,,,,,Original,
228-313-10404,LESCO ELIMINATE LIQUID SELECTIVE HERBICIDE [UNRESTRICTED 12/2/11],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,33046,NONE,TURF,True,LESCO_ELIMINATE_LIQUID_SELECTIVE_HERBICIDE_[UNRESTRICTED_12_2_11]_228-313-10404_PRIMARY_LABEL_529311.pdf,,,,,,True,,,,,,,,Original,
228-317-10404,LESCO THREE-WAY ESTER II SELECTIVE HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,33047,NONE,"NON-CROP, TURF",True,LESCO_THREE-WAY_ESTER_II_SELECTIVE_HERBICIDE_228-317-10404_PRIMARY_LABEL_529313.pdf,,,,,,True,,,,,,,,Original,
228-409-10404,LESCO ELIMINATE LO BROADLEAF HERBICIDE  [UNRESTRICTED AS OF 12/2/11],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,118779,"AQUATIC INVERTEBRATES, FISH","NON-CROP, TURF",True,LESCO_ELIMINATE_LO_BROADLEAF_HERBICIDE__[UNRESTRICTED_AS_OF_12_2_11]_228-409-10404_PRIMARY_LABEL_529316.pdf,,,,,,True,,,,,,,,Original,
228-412-10404,MOMENTUM FORCE WEED & FEED (VARIOUS FERTILIZER BLENDS),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,102837,"AQUATIC INVERTEBRATES, FISH",TURF,True,MOMENTUM_FORCE_WEED_and_FEED_(VARIOUS_FERTILIZER_BLENDS)_228-412-10404_PRIMARY_LABEL_529317.pdf,,,,,,True,,,,,,,,Original,
228-447-10404,"LESCO MOMENTUM FX2 HERBICIDE  [NO SALE/USE IN NASSAU & SUFFOLK COUNTY, NY]",10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,True,Liquid,107927,"AQUATIC INVERTEBRATES, FISH",TURF,True,"LESCO_MOMENTUM_FX2_HERBICIDE__[NO_SALE_USE_IN_NASSAU_and_SUFFOLK_COUNTY,_NY]_228-447-10404_PRIMARY_LABEL_529322.pdf",,,,,,True,,,,,,,,Original,
228-610-10404,"LESCO INSECTUS PLUS FERTILIZER (NO SALE, SALE INTO, DISTRIBUTION OR USE IN NASSAU, SUFFOLK, KINGS OR QUEENS COUNTIES) (NO APP WITHIN 100 FT OF COASTAL MARSH) (RESTRICTED USE AS OF 1/1/2023)",10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,True,Solid,249890,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,"LESCO_INSECTUS_PLUS_FERTILIZER_(NO_SALE,_SALE_INTO,_DISTRIBUTION_OR_USE_IN_NASSAU,_SUFFOLK,_KINGS_OR_QUEENS_COUNTIES)_(NO_APP_WITHIN_100_FT_OF_COASTAL_MARSH)_(RESTRICTED_USE_AS_OF_1_1_2023)_228-610-10404_PRIMARY_LABEL_575836.pdf",,,,,,True,,,,,,,,Original,
228-623-10404,LESCO SPECTATOR ULTRA 1.3 FUNGICIDE [UNRESTRICTED 10/06/2015],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,FUNGICIDE,False,Liquid,151526,FISH,"NURSERY, ORNAMENTAL, TURF",True,LESCO_SPECTATOR_ULTRA_1.3_FUNGICIDE_[UNRESTRICTED_10_06_2015]_228-623-10404_PRIMARY_LABEL_543463.pdf,,,,,,True,,,,,,,,Original,
228-630-10404,LESCO TWOSOME FUNGICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,FUNGICIDE,False,Liquid,151527,AQUATIC INVERTEBRATES,"GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,LESCO_TWOSOME_FUNGICIDE_228-630-10404_PRIMARY_LABEL_529080.pdf,,,,,,True,,,,,,,,Original,
228-631-10404,LESCO T-STORM 2G FUNGICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,FUNGICIDE,False,Solid,151522,AQUATIC INVERTEBRATES,"GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,LESCO_T-STORM_2G_FUNGICIDE_228-631-10404_PRIMARY_LABEL_523988.pdf,,,,,,True,,,,,,,,Original,
241-416-10404,LESCO PRE-M AQUACAP HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,104584,"AQUATIC INVERTEBRATES, FISH","NON-CROP, ORNAMENTAL, TURF",True,LESCO_PRE-M_AQUACAP_HERBICIDE_241-416-10404_PRIMARY_LABEL_529086.pdf,,,,,,True,,,,,,,,Original,
279-3168-10404,LESCO CROSSCHECK EZ GRANULAR INSECTICIDE (NYS SPECIFIC LANGUAGE)  [UNRESTRICTED 07/11/12],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,176787,"AQUATIC INVERTEBRATES, FISH","NON-CROP, ORNAMENTAL",True,LESCO_CROSSCHECK_EZ_GRANULAR_INSECTICIDE_(NYS_SPECIFIC_LANGUAGE)__[UNRESTRICTED_07_11_12]_279-3168-10404_PRIMARY_LABEL_532081.pdf,,,,,,True,,,,,,,,Original,
279-3168-10404,LESCO CROSSCHECK PL GRANULAR INSECTICIDE (NYS SPECIFIC LANGUAGE)  [UNRESTRICTED 7/11/12],10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,176786,"AQUATIC INVERTEBRATES, FISH","NON-CROP, ORNAMENTAL",True,LESCO_CROSSCHECK_PL_GRANULAR_INSECTICIDE_(NYS_SPECIFIC_LANGUAGE)__[UNRESTRICTED_7_11_12]_279-3168-10404_PRIMARY_LABEL_532079.pdf,,,,,,True,,,,,,,,Original,
279-3206-10404,LESCO CROSSCHECK PLUS MULTI-INSECTICIDE (NYS SPECIFIC LANGUAGE),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",False,Liquid,115299,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, GREENHOUSE, INDUSTRIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,LESCO_CROSSCHECK_PLUS_MULTI-INSECTICIDE_(NYS_SPECIFIC_LANGUAGE)_279-3206-10404_PRIMARY_LABEL_554193.pdf,,,,,,True,,,,,,,,Original,
352-734-10404,"LESCO DUPONT ACELEPRYN 0.67% INSECTICIDE PLUS LESCO FERTILIZER (VARIOUS FERTILIZER MIXTURES) (NO SALE, SALE INTO DISTRIBUTION OR USE IN NASSAU, SUFFOLK, KINGS, OR QUEENS COUNTIES NY)(NYS BUFFER ZONES)",10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,True,Solid,151435,AQUATIC INVERTEBRATES,"ORNAMENTAL, TURF",True,"LESCO_DUPONT_ACELEPRYN_0.67%_INSECTICIDE_PLUS_LESCO_FERTILIZER_(VARIOUS_FERTILIZER_MIXTURES)_(NO_SALE,_SALE_INTO_DISTRIBUTION_OR_USE_IN_NASSAU,_SUFFOLK,_KINGS,_OR_QUEENS_COUNTIES_NY)(NYS_BUFFER_ZONES)_352-734-10404_PRIMARY_LABEL_522519.pdf",,,,,,True,,,,,,,,Original,
42750-224-10404,LESCO QUIN-WAY 1.5L HERBICIDE (spot treatment only in ny),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,230509,NONE,TURF,True,LESCO_QUIN-WAY_1.5L_HERBICIDE_(spot_treatment_only_in_ny)_42750-224-10404_PRIMARY_LABEL_555670.pdf,,,,,,True,,,,,,,,Original,
42750-90-10404,Lesco Quin-Way 75DF Herbicide (spot treatment only in nys),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Solid,230199,NONE,TURF,True,Lesco_Quin-Way_75DF_Herbicide_(spot_treatment_only_in_nys)_42750-90-10404_PRIMARY_LABEL_555598.pdf,,,,,,True,,,,,,,,Original,
432-1227-10404,LESCO SEVIN BRAND SL CARBARYL INSECTICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Liquid,41510,"AQUATIC INVERTEBRATES, BEES","AGRICULTURAL, NON-CROP, NURSERY, ORNAMENTAL, TURF",True,LESCO_SEVIN_BRAND_SL_CARBARYL_INSECTICIDE_432-1227-10404_PRIMARY_LABEL_555358.pdf,,,,,,True,,,,,,,,Original,
432-1349-10404,LESCO MERIT 0.2 (%) PLUS TURF FERTILIZER (VARIOUS FERTILIZER MIXES),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,93026,AQUATIC INVERTEBRATES,"ORNAMENTAL, TURF",True,LESCO_MERIT_0.2_(%)_PLUS_TURF_FERTILIZER_(VARIOUS_FERTILIZER_MIXES)_432-1349-10404_PRIMARY_LABEL_586290.pdf,,,,,,True,,,,,,,,Original,
432-1417-10404,LESCO ALLECTUS 0.225 INSECTICIDE PLUS FERTILIZER (VARIOUS FERTILIZER BLENDS) (nys specific lang),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,118391,"AQUATIC INVERTEBRATES, FISH",TURF,True,LESCO_ALLECTUS_0.225_INSECTICIDE_PLUS_FERTILIZER_(VARIOUS_FERTILIZER_BLENDS)_(nys_specific_lang)_432-1417-10404_PRIMARY_LABEL_519516.pdf,,,,,,True,,,,,,,,Original,
432-1528-10404,LESCO PROSECUTOR PROLONG TOTAL,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,270093,"AQUATIC INVERTEBRATES, FISH","INDUSTRIAL, INSTITUTIONAL, NON-CROP, ORNAMENTAL",True,LESCO_PROSECUTOR_PROLONG_TOTAL_432-1528-10404_PRIMARY_LABEL_595057.pdf,,,,,,True,,,,,,,,Original,
432-888-10404,LESCO 18 PLUS TURF AND ORNAMENTAL FUNGICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,FUNGICIDE,False,Liquid,153458,AQUATIC INVERTEBRATES,"GREENHOUSE, NURSERY, ORNAMENTAL, TURF",True,LESCO_18_PLUS_TURF_AND_ORNAMENTAL_FUNGICIDE_432-888-10404_PRIMARY_LABEL_523885.pdf,,,,,,True,,,,,,,,Original,
432-890-10404,LESCO PRODIGY SIGNATURE TURF FUNGICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,FUNGICIDE,False,Solid,38297,AQUATIC INVERTEBRATES,TURF,True,LESCO_PRODIGY_SIGNATURE_TURF_FUNGICIDE_432-890-10404_PRIMARY_LABEL_529319.pdf,,,,,,True,,,,,,,,Original,
524-536-10404,LESCO PROSECUTOR PRO NON-SELECTIVE HERBICIDE,10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,HERBICIDE,False,Liquid,40204,NONE,"GREENHOUSE, NON-CROP, NURSERY, ORNAMENTAL, TURF",True,LESCO_PROSECUTOR_PRO_NON-SELECTIVE_HERBICIDE_524-536-10404_PRIMARY_LABEL_561093.pdf,,,,,,True,,,,,,,,Original,
538-317-10404,LESCO MESOTRIONE 0.08% STARTER FERTILIZER PLUS PRE-EMERGENT HERBICIDE,10404,REGISTERED,1295752,CLOSED,ROUTINE,2025-03-06,MATTHEW J GOGIS,HERBICIDE,False,Solid,273737,NONE,TURF,True,LESCO_MESOTRIONE_0.08%_STARTER_FERTILIZER_PLUS_PRE-EMERGENT_HERBICIDE_538-317-10404_PRIMARY_LABEL_598901.pdf,,,,,,True,,,,,,,,Original,
53883-160-10404,LESCO CROSSCHECK 0.069% PLUS FERTILIZER (nys specific lang),10404,REGISTERED,1288089,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,INSECTICIDE,False,Solid,202500,"AQUATIC INVERTEBRATES, FISH",TURF,True,LESCO_CROSSCHECK_0.069%_PLUS_FERTILIZER_(nys_specific_lang)_53883-160-10404_PRIMARY_LABEL_540727.pdf,,,,,,True,,,,,,,,Original,
