Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,pdf_filename
32802-69,PENNINGtON SEED PREVENTS CRABGRASS PLUS WITH 0.172% DITHIOPYR (NO LI) (NYS MAX USE RATES),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,PENNINGtON_SEED_PREVENTS_CRABGRASS_PLUS_WITH_0.172%_DITHIOPYR_(NO_LI)_(NYS_MAX_USE_RATES)_32802-69_PRIMARY_LABEL_563811.pdf
32802-69,HOWARD JOHNSON'S PREVENTS CRABGRASS PLUS WITH 0.172% DITHIOPYR (NO USE ON LI) (NYS MAX USE RATES),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,HOWARD_JOHNSON'S_PREVENTS_CRABGRASS_PLUS_WITH_0.172%_DITHIOPYR_(NO_USE_ON_LI)_(NYS_MAX_USE_RATES)_32802-69_PRIMARY_LABEL_553197.pdf
32802-70,HJE ALL SEASON CRABGRASS CONTROL PLUS WITH PRODIAMINE,32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,HJE_ALL_SEASON_CRABGRASS_CONTROL_PLUS_WITH_PRODIAMINE_32802-70_PRIMARY_LABEL_538889.pdf
32802-70,Pennington Seed CRABGRASS Control PLUS WITH 0.29% PRODIAMINE (various fert mixes),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,Pennington_Seed_CRABGRASS_Control_PLUS_WITH_0.29%_PRODIAMINE_(various_fert_mixes)_32802-70_PRIMARY_LABEL_564335.pdf
32802-71,PENNINGTOn SEED PREVENTS CRABGRASS PLUS WITH 0.107% DITHIOPYR (VARIOUS FERT MIXES)  (NO LI) (NYS MAX USE RATES),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,PENNINGTOn_SEED_PREVENTS_CRABGRASS_PLUS_WITH_0.107%_DITHIOPYR_(VARIOUS_FERT_MIXES)__(NO_LI)_(NYS_MAX_USE_RATES)_32802-71_PRIMARY_LABEL_564329.pdf
32802-71,VALLEY GREEN PREVENTS CRABGRASS PLUS WITH 0.107% DITHIOPYR (NO LI) (NYS MAX USE RATES),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,VALLEY_GREEN_PREVENTS_CRABGRASS_PLUS_WITH_0.107%_DITHIOPYR_(NO_LI)_(NYS_MAX_USE_RATES)_32802-71_PRIMARY_LABEL_563829.pdf
32802-78,PENNINGTON SEED PREVENTS CRABGRASS PLUS WITH 0.13% DITHIOPYR (VARIOUS FERT MIXES)(NO USE ON LI) (NYS MAX USE RATES),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,PENNINGTON_SEED_PREVENTS_CRABGRASS_PLUS_WITH_0.13%_DITHIOPYR_(VARIOUS_FERT_MIXES)(NO_USE_ON_LI)_(NYS_MAX_USE_RATES)_32802-78_PRIMARY_LABEL_564327.pdf
32802-78,HOWARD JOHNSON'S PREVENTS CRABGRASS PLUS WITH 0.13% DITHIOPYR (VAR FERT MIXES)  (NO USE ON LI) (NYS MAX USE RATES),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,HOWARD_JOHNSON'S_PREVENTS_CRABGRASS_PLUS_WITH_0.13%_DITHIOPYR_(VAR_FERT_MIXES)__(NO_USE_ON_LI)_(NYS_MAX_USE_RATES)_32802-78_PRIMARY_LABEL_553198.pdf
53883-124-32802,HOWARD JOHNSON'S BIFENTHRIN PL GRANULAR (NO USE WITHIN 100 FEET OF WATER) (NYS SPECIFIC LANG),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,INSECTICIDE,TRUE,HOWARD_JOHNSON'S_BIFENTHRIN_PL_GRANULAR_(NO_USE_WITHIN_100_FEET_OF_WATER)_(NYS_SPECIFIC_LANG)_53883-124-32802_PRIMARY_LABEL_541840.pdf
53883-160-32802,HOWARD JOHNSON'S BIFENTHRIN 0.069% INSECTICIDE PLUS TURF FOOD  (NYS SPECIFIC LANGUAGE) (NO USE WITHIN 100 FEET OF WATER),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,INSECTICIDE,TRUE,HOWARD_JOHNSON'S_BIFENTHRIN_0.069%_INSECTICIDE_PLUS_TURF_FOOD__(NYS_SPECIFIC_LANGUAGE)_(NO_USE_WITHIN_100_FEET_OF_WATER)_53883-160-32802_PRIMARY_LABEL_536546.pdf
53883-183-32802,T-METHYL GRANULAR,32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,FUNGICIDE,TRUE,T-METHYL_GRANULAR_53883-183-32802_PRIMARY_LABEL_568788.pdf
53883-39-32802,HOWARD JOHNSON'S PERMETHRIN .25G,32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,INSECTICIDE,TRUE,HOWARD_JOHNSON'S_PERMETHRIN_.25G_53883-39-32802_PRIMARY_LABEL_553858.pdf
62719-461-32802,HOWARD JOHNSON'S EAGLE 0.39G SPECIALITY FUNGICIDE (LI USE LIMIT),32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,FUNGICIDE,TRUE,HOWARD_JOHNSON'S_EAGLE_0.39G_SPECIALITY_FUNGICIDE_(LI_USE_LIMIT)_62719-461-32802_PRIMARY_LABEL_541842.pdf
62719-585-32802,PENNINGTON SEED LOCKUP 0.03% HERBICIDE PLUS FERTilizer,32802,REGISTERED,1302841,CLOSED,ROUTINE,2025-07-31,JYOTHI MURUNDI,HERBICIDE,TRUE,PENNINGTON_SEED_LOCKUP_0.03%_HERBICIDE_PLUS_FERTilizer_62719-585-32802_PRIMARY_LABEL_563807.pdf
3282-102,D-CON BAIT STATION XI KILLS MICE,3282,DISCONTINUED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,D-CON_BAIT_STATION_XI_KILLS_MICE_3282-102_PRIMARY_LABEL_541730.pdf
3282-99,D-CON BAIT STATION IX,3282,DISCONTINUED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,D-CON_BAIT_STATION_IX_3282-99_PRIMARY_LABEL_541729.pdf
7969-383-3282,d-con xvi kills mice,3282,REGISTERED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,d-con_xvi_kills_mice_7969-383-3282_PRIMARY_LABEL_556317.pdf
7969-383-3282,d-con xvi pro kills mice,3282,REGISTERED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,d-con_xvi_pro_kills_mice_7969-383-3282_PRIMARY_LABEL_556318.pdf
7969-383-3282,D-CON xvi kills house mice,3282,REGISTERED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,D-CON_xvi_kills_house_mice_7969-383-3282_PRIMARY_LABEL_553990.pdf
7969-384-3282,d-con xvii kills mice,3282,REGISTERED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,d-con_xvii_kills_mice_7969-384-3282_PRIMARY_LABEL_581262.pdf
7969-384-3282,d-con xvii kills house mice,3282,REGISTERED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,d-con_xvii_kills_house_mice_7969-384-3282_PRIMARY_LABEL_553994.pdf
7969-395-3282,d-con xix pro kills rats and mice,3282,REGISTERED,1277710,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,RODENTICIDE,TRUE,d-con_xix_pro_kills_rats_and_mice_7969-395-3282_PRIMARY_LABEL_560239.pdf
10324-117-32970,nrsd 10 disinfectant,32970,REGISTERED,1277694,CLOSED,ROUTINE,2024-05-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,nrsd_10_disinfectant_10324-117-32970_PRIMARY_LABEL_593877.pdf
10324-154-32970,CLEAN & SHINE NEUTRAL DISINFECTANT CLEANER,32970,REGISTERED,1277694,CLOSED,ROUTINE,2024-05-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,CLEAN_and_SHINE_NEUTRAL_DISINFECTANT_CLEANER_10324-154-32970_PRIMARY_LABEL_582320.pdf
10324-157-32970,LEMON-E + DISINFECTANT,32970,REGISTERED,1290459,CLOSED,ROUTINE,2024-11-19,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,LEMON-E_+_DISINFECTANT_10324-157-32970_PRIMARY_LABEL_597204.pdf
10324-157-32970,PINE Q + DISINFECTANT (Pine Scent),32970,REGISTERED,1291373,CLOSED,ROUTINE,2024-12-10,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, MILDEWSTATIC, SANITIZER",TRUE,PINE_Q_+_DISINFECTANT_(Pine_Scent)_10324-157-32970_PRIMARY_LABEL_597338.pdf
10324-157-32970,MINT + DISINFECTANT,32970,REGISTERED,1290459,CLOSED,ROUTINE,2024-11-19,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,MINT_+_DISINFECTANT_10324-157-32970_PRIMARY_LABEL_597203.pdf
10324-167-32970,LEMON-E DETERGENT/DISINFECTANT,32970,REGISTERED,1286911,CLOSED,ROUTINE,2024-09-23,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,LEMON-E_DETERGENT_DISINFECTANT_10324-167-32970_PRIMARY_LABEL_596230.pdf
10324-167-32970,MINT DISINFECTANT,32970,REGISTERED,1287514,CLOSED,ROUTINE,2024-10-01,KATHERINE A GRAHAM,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,MINT_DISINFECTANT_10324-167-32970_PRIMARY_LABEL_596051.pdf
10324-167-32970,PINE Q DETERGENT/DISINFECTANT,32970,REGISTERED,1290181,CLOSED,ROUTINE,2024-11-13,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,PINE_Q_DETERGENT_DISINFECTANT_10324-167-32970_PRIMARY_LABEL_596812.pdf
10324-85-32970,ds 20 ready to use disinfectant spray cleaner (lavender Scent),32970,REGISTERED,1286772,CLOSED,ROUTINE,2024-08-20,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,ds_20_ready_to_use_disinfectant_spray_cleaner_(lavender_Scent)_10324-85-32970_PRIMARY_LABEL_595722.pdf
10324-85-32970,CONQUEROR  NON-ACID BATHROOM CLEANER,32970,REGISTERED,1282046,CLOSED,ROUTINE,2024-06-20,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,CONQUEROR__NON-ACID_BATHROOM_CLEANER_10324-85-32970_PRIMARY_LABEL_594678.pdf
6218-79-32970,Haunt-II,32970,REGISTERED,1277694,CLOSED,ROUTINE,2024-05-21,KATHERINE HETTER,INSECTICIDE,TRUE,Haunt-II_6218-79-32970_PRIMARY_LABEL_553052.pdf
6836-169-32970,PINE DISINFECTANT,32970,REGISTERED,1277694,CLOSED,ROUTINE,2024-05-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, FUNGICIDE",TRUE,PINE_DISINFECTANT_6836-169-32970_PRIMARY_LABEL_559690.pdf
6836-193-32970,SPRAY-TIME II (Fresh Scent),32970,REGISTERED,1306443,CLOSED,ROUTINE,2025-09-04,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,SPRAY-TIME_II_(Fresh_Scent)_6836-193-32970_PRIMARY_LABEL_602704.pdf
6836-385-32970,Peroxy 180 RTU (fragrance free),32970,REGISTERED,1277694,CLOSED,ROUTINE,2024-05-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,Peroxy_180_RTU_(fragrance_free)_6836-385-32970_PRIMARY_LABEL_577488.pdf
6836-385-32970,Peroxy 180 RTU,32970,REGISTERED,1277694,CLOSED,ROUTINE,2024-05-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,Peroxy_180_RTU_6836-385-32970_PRIMARY_LABEL_577487.pdf
33025-10,TIKI BRAND BITEFIGHTER PLUG & REPEL,33025,REGISTERED,1306451,CLOSED,ROUTINE,2025-09-03,KATHERINE HETTER,REPELLENT,TRUE,TIKI_BRAND_BITEFIGHTER_PLUG_and_REPEL_33025-10_PRIMARY_LABEL_601744.pdf
33025-10,TIKI BRAND BITEFIGHTER PLUG & REPEL (REFILL),33025,REGISTERED,1296219,CLOSED,ROUTINE,2025-03-13,MATTHEW J GOGIS,REPELLENT,TRUE,TIKI_BRAND_BITEFIGHTER_PLUG_and_REPEL_(REFILL)_33025-10_PRIMARY_LABEL_599808.pdf
33025-3,TIKI Brand BiteFighter,33025,REGISTERED,1288154,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,REPELLENT,TRUE,TIKI_Brand_BiteFighter_33025-3_PRIMARY_LABEL_566596.pdf
33025-6,Tiki Brand Paradise in Your Backyard Clean Burn BiteFighter Torch Fuel,33025,REGISTERED,1288154,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,REPELLENT,TRUE,Tiki_Brand_Paradise_in_Your_Backyard_Clean_Burn_BiteFighter_Torch_Fuel_33025-6_PRIMARY_LABEL_559227.pdf
33025-6,TIKI BRAND BITEFIGHTER PROVEN MOSQUITO REPELLENCY CLEAN BURN TORCH FUEL,33025,REGISTERED,1288154,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,REPELLENT,TRUE,TIKI_BRAND_BITEFIGHTER_PROVEN_MOSQUITO_REPELLENCY_CLEAN_BURN_TORCH_FUEL_33025-6_PRIMARY_LABEL_573241.pdf
33025-8,TIKI brand BITEFIGHTER LED String LIGHTS,33025,REGISTERED,1288154,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,REPELLENT,TRUE,TIKI_brand_BITEFIGHTER_LED_String_LIGHTS_33025-8_PRIMARY_LABEL_588881.pdf
33025-8,TIKI BRAND BITEFIGHTER LED STRING LIGHTS Mosquito Repellent Pods (Refill),33025,REGISTERED,1288154,CLOSED,ROUTINE,2024-11-19,KATHERINE HETTER,REPELLENT,TRUE,TIKI_BRAND_BITEFIGHTER_LED_STRING_LIGHTS_Mosquito_Repellent_Pods_(Refill)_33025-8_PRIMARY_LABEL_572876.pdf
67702-8-33116,LILLY MILLER MOSS OUT!  ROOFS & WALKS,33116,REGISTERED,1303784,CLOSED,ROUTINE,2025-07-15,SHAUN PETERSON,"ALGAECIDE, HERBICIDE",TRUE,LILLY_MILLER_MOSS_OUT!__ROOFS_and_WALKS_67702-8-33116_PRIMARY_LABEL_588539.pdf
67702-8-33116,HOSE 'N GO!  LILLY MILLER MOSS OUT!  ROOFS & WALKS,33116,REGISTERED,1288189,CLOSED,ROUTINE,2024-12-12,KATHERINE HETTER,"ALGAECIDE, HERBICIDE",TRUE,HOSE_'N_GO!__LILLY_MILLER_MOSS_OUT!__ROOFS_and_WALKS_67702-8-33116_PRIMARY_LABEL_588539.pdf
1839-220-33466,SC-RTU-360 CLEANER DISINFECTANT,33466,REGISTERED,1276419,CLOSED,ROUTINE,2024-03-12,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,SC-RTU-360_CLEANER_DISINFECTANT_1839-220-33466_PRIMARY_LABEL_593220.pdf
1839-86-33466,Formulation 10 No Rinse Sanitizer,33466,REGISTERED,1276419,CLOSED,ROUTINE,2024-03-12,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,Formulation_10_No_Rinse_Sanitizer_1839-86-33466_PRIMARY_LABEL_593216.pdf
33560-41,PRONONE POWER PELLET HERBICIDE                                        ,33560,REGISTERED,1273420,CLOSED,ROUTINE,2024-02-19,KATHERINE HETTER,HERBICIDE,TRUE,PRONONE_POWER_PELLET_HERBICIDE_33560-41_PRIMARY_LABEL_544691.pdf
93182-23,NAVIGATOR NY INSECTICIDE,33658,REGISTERED,1297809,CLOSED,ROUTINE,2025-05-29,JYOTHI MURUNDI,INSECTICIDE,TRUE,NAVIGATOR_NY_INSECTICIDE_93182-23_PRIMARY_LABEL_562572.pdf
33753-27,MYACIDE GA 45,33753,REGISTERED,1302864,CLOSED,ROUTINE,2025-08-01,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",TRUE,MYACIDE_GA_45_33753-27_PRIMARY_LABEL_566918.pdf
33753-5,MYACIDE AS PLUS,33753,REGISTERED,1302864,CLOSED,ROUTINE,2025-08-01,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, DISINFECTANT",TRUE,MYACIDE_AS_PLUS_33753-5_PRIMARY_LABEL_533148.pdf
3377-25,SANIBROM 40 BIOCIDE,3377,REGISTERED,1304258,CLOSED,ROUTINE,2025-07-25,MATTHEW J GOGIS,"ALGAECIDE, ANTIMICROBIAL, MOLLUSCICIDE",TRUE,SANIBROM_40_BIOCIDE_3377-25_PRIMARY_LABEL_601740.pdf
3377-55,clarifect,3377,REGISTERED,1282706,CLOSED,ROUTINE,2024-07-16,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",TRUE,clarifect_3377-55_PRIMARY_LABEL_565217.pdf
3377-78,STABROM PLUS BIOCIDE,3377,REGISTERED,1304087,CLOSED,ROUTINE,2025-07-24,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",TRUE,STABROM_PLUS_BIOCIDE_3377-78_PRIMARY_LABEL_601200.pdf
3432-23,ON GUARD CONTINUOUS CHLORINATOR,3432,REGISTERED,1282636,CLOSED,ROUTINE,2024-08-07,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,ON_GUARD_CONTINUOUS_CHLORINATOR_3432-23_PRIMARY_LABEL_62694.pdf
3432-69,RELAX CHLORINATING GRANULES,3432,REGISTERED,1282636,CLOSED,ROUTINE,2024-08-07,KATHERINE HETTER,"ALGAECIDE, ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,RELAX_CHLORINATING_GRANULES_3432-69_PRIMARY_LABEL_540309.pdf
3432-76,SCORCH,3432,REGISTERED,1282636,CLOSED,ROUTINE,2024-08-07,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,SCORCH_3432-76_PRIMARY_LABEL_524978.pdf
3432-76-9634,EASTERN LEISURE SHOCK,3432,REGISTERED,1282636,CLOSED,ROUTINE,2024-08-07,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,EASTERN_LEISURE_SHOCK_3432-76-9634_PRIMARY_LABEL_524980.pdf
34810-25-34370,D-Germ TB Botanical,34370,REGISTERED,1277802,CLOSED,ROUTINE,2024-06-11,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",TRUE,D-Germ_TB_Botanical_34810-25-34370_PRIMARY_LABEL_575530.pdf
34473-4,FLOWTRON OCTENOL MOSQUITO ATTRACTANT,34473,REGISTERED,1297808,CLOSED,ROUTINE,2025-07-28,KATHERINE HETTER,INSECTICIDE,TRUE,FLOWTRON_OCTENOL_MOSQUITO_ATTRACTANT_34473-4_PRIMARY_LABEL_535127.pdf
100-1283-34704,Signature SoyArmor,34704,REGISTERED,1274193,CLOSED,ROUTINE,2024-01-24,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",TRUE,Signature_SoyArmor_100-1283-34704_PRIMARY_LABEL_592318.pdf
100-1492-34704,"SIGNATURE BRAND FERTILIZER FERTILIZER PLUS 0.067% ACELEPRYN (NO SALE, USE. DISTRIBUTION IN NASSAU, SUFFOLK, KINGS, & QUEENS COUNTIES)",34704,REGISTERED,1271521,CLOSED,ROUTINE,2023-11-24,JYOTHI MURUNDI,INSECTICIDE,TRUE,"SIGNATURE_BRAND_FERTILIZER_FERTILIZER_PLUS_0.067%_ACELEPRYN_(NO_SALE,_USE._DISTRIBUTION_IN_NASSAU,_SUFFOLK,_KINGS,_and_QUEENS_COUNTIES)_100-1492-34704_PRIMARY_LABEL_591097.pdf"
100-1726-34704,Equity Vayo,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",TRUE,Equity_Vayo_100-1726-34704_PRIMARY_LABEL_585977.pdf
101563-105-34704,SIGNATURE BRAND FERTILIZER ALLECTUS 0.225 G PLUS TURF FERTILIZER INSECTICIDE,34704,REGISTERED,1280398,CLOSED,ROUTINE,2024-05-23,MATTHEW J GOGIS,INSECTICIDE,TRUE,SIGNATURE_BRAND_FERTILIZER_ALLECTUS_0.225_G_PLUS_TURF_FERTILIZER_INSECTICIDE_101563-105-34704_PRIMARY_LABEL_594422.pdf
101563-76-34704,SIGNATURE BRAND FERTILIZER WITH 0.2% MERIT,34704,REGISTERED,1282465,CLOSED,ROUTINE,2024-07-01,KATHERINE A GRAHAM,INSECTICIDE,TRUE,SIGNATURE_BRAND_FERTILIZER_WITH_0.2%_MERIT_101563-76-34704_PRIMARY_LABEL_594838.pdf
2217-793-34704,SIGNATURE WEED AND FEED (VARIOUS FERTILIZER BLENDS),34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,SIGNATURE_WEED_AND_FEED_(VARIOUS_FERTILIZER_BLENDS)_2217-793-34704_PRIMARY_LABEL_532093.pdf
228-267-34704,SWORD HERBICIDE,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,SWORD_HERBICIDE_228-267-34704_PRIMARY_LABEL_542377.pdf
279-3223-34704,SIGNATURE talstar 0.073% plus fertilizer - LC (NYS SPECIFIC LANG),34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,INSECTICIDE,TRUE,SIGNATURE_talstar_0.073%_plus_fertilizer_-_LC_(NYS_SPECIFIC_LANG)_279-3223-34704_PRIMARY_LABEL_556428.pdf
279-9607-34704,"TURAZI (NO SALE, USE. DISTRIBUTION IN NASSAU, SUFFOLK, KINGS, & QUEENS COUNTIES) (NYS BUFFER ZONE) (NO AERIAL APPLICATION)",34704,REGISTERED,1274975,CLOSED,ROUTINE,2024-02-12,KEVIN J RODRIGUEZ,INSECTICIDE,TRUE,"TURAZI_(NO_SALE,_USE._DISTRIBUTION_IN_NASSAU,_SUFFOLK,_KINGS,_and_QUEENS_COUNTIES)_(NYS_BUFFER_ZONE)_(NO_AERIAL_APPLICATION)_279-9607-34704_PRIMARY_LABEL_592036.pdf"
2935-539-34704,POTATO SEED TREATER PS,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,FUNGICIDE,TRUE,POTATO_SEED_TREATER_PS_2935-539-34704_PRIMARY_LABEL_528383.pdf
2935-541-34704,POTATO SEED TREATER 6%,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,FUNGICIDE,TRUE,POTATO_SEED_TREATER_6%_2935-541-34704_PRIMARY_LABEL_541811.pdf
34704-1005,GAME UP PLANT GROWTH REGULATOR,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,GROWTH REGULATOR,TRUE,GAME_UP_PLANT_GROWTH_REGULATOR_34704-1005_PRIMARY_LABEL_524674.pdf
34704-1009,MALICE 75 WSP (NO SOIL INJECTION ON LONG ISLAND) (2EE - ASIAN LONGHORNED BEETLE),34704,REGISTERED,25330,CLOSED,2EE,2012-03-21,,INSECTICIDE,TRUE,MALICE_75_WSP_(NO_SOIL_INJECTION_ON_LONG_ISLAND)_(2EE_-_ASIAN_LONGHORNED_BEETLE)_34704-1009_PRIMARY_LABEL_531559.pdf
34704-1009,MALICE 75 WSP (NO SOIL INJECTION ON LONG ISLAND),34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,INSECTICIDE,TRUE,MALICE_75_WSP_(NO_SOIL_INJECTION_ON_LONG_ISLAND)_34704-1009_PRIMARY_LABEL_537592.pdf
34704-1031,FITNESS FUNGICIDE,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,FUNGICIDE,TRUE,FITNESS_FUNGICIDE_34704-1031_PRIMARY_LABEL_588110.pdf
34704-1032,"WHITEOUT 2,4-D",34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,"WHITEOUT_2,4-D_34704-1032_PRIMARY_LABEL_548912.pdf"
34704-1033,MAKAZE YIELD PRO,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,MAKAZE_YIELD_PRO_34704-1033_PRIMARY_LABEL_550392.pdf
34704-1041,"SLIDER ATZ (NO SALE, DISTRIBUTION OR USE IN NASSAU OR SUFFOLK COUNTIES)",34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,"SLIDER_ATZ_(NO_SALE,_DISTRIBUTION_OR_USE_IN_NASSAU_OR_SUFFOLK_COUNTIES)_34704-1041_PRIMARY_LABEL_521386.pdf"
34704-1042,"SLIDER ATZ LITE (NO SALE, DISTRIBUTION, OR USE IN NASSAU AND SUFFOLK COUNTIES)",34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,"SLIDER_ATZ_LITE_(NO_SALE,_DISTRIBUTION,_OR_USE_IN_NASSAU_AND_SUFFOLK_COUNTIES)_34704-1042_PRIMARY_LABEL_521387.pdf"
34704-1043,signature dicamba dga,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,signature_dicamba_dga_34704-1043_PRIMARY_LABEL_586276.pdf
34704-1043,STRUT HERBICIDE,34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,STRUT_HERBICIDE_34704-1043_PRIMARY_LABEL_586736.pdf
34704-1044,SLIDER (NO USE ON LI),34704,REGISTERED,1273287,CLOSED,ROUTINE,2024-02-22,KATHERINE HETTER,HERBICIDE,TRUE,SLIDER_(NO_USE_ON_LI)_34704-1044_PRIMARY_LABEL_523902.pdf
34704-1045,SWAGGER  (NYS SPECIFIC LANGUAGE),34704,REGISTERED,1301555,CLOSED,ROUTINE,2025-06-06,MATTHEW J GOGIS,INSECTICIDE,TRUE,SWAGGER__(NYS_SPECIFIC_LANGUAGE)_34704-1045_PRIMARY_LABEL_600225.pdf
34704-1045,SWAGGER (NYS SPECIFIC LANGUAGE) (2ee - spotted lanternfly),34704,REGISTERED,1145064,CLOSED,2EE,2018-05-15,SHAUN PETERSON,INSECTICIDE,TRUE,SWAGGER_(NYS_SPECIFIC_LANGUAGE)_(2ee_-_spotted_lanternfly)_34704-1045_PRIMARY_LABEL_557181.pdf
