Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,concat_sub,lookup
61282-75,SureKill Brand Assault Blocks,61282,REGISTERED,1288096,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,RODENTICIDE,False,surekillbrassaultblocks61282-75,FALSE
61282-76,GNAVEX RODENTICIDE BAIT,61282,REGISTERED,1287426,CLOSED,ROUTINE,2024-09-30,KATHERINE HETTER,RODENTICIDE,False,gnavexrodenticidebait61282-76,FALSE
61282-76,CyKill Rodenticide Bait,61282,REGISTERED,1288096,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,RODENTICIDE,False,cykillrodenticidebait61282-76,FALSE
87235-1-61282,DeciMax soft bait,61282,REGISTERED,1288096,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,RODENTICIDE,False,decimaxsoftbait87235-1-61282,FALSE
87235-4-61282,judgement soft bait,61282,REGISTERED,1288096,CLOSED,ROUTINE,2024-10-29,JYOTHI MURUNDI,RODENTICIDE,False,judgementsoftbait87235-4-61282,FALSE
61311-5,MACE BRAND GUARD ALASKA BEAR SPRAY,61311,REGISTERED,1292457,CLOSED,ROUTINE,2025-02-10,JYOTHI MURUNDI,REPELLENT,False,macebrguardalaskabearspray61311-5,FALSE
61617-1,Australian Gold Insect Repellent Pump Spray,61617,REGISTERED,1282705,CLOSED,ROUTINE,2024-08-12,JYOTHI MURUNDI,REPELLENT,False,australiangoldinsectrepellentpumpspray61617-1,FALSE
61617-1,Australian Gold Insect Repellent Continuous Spray,61617,REGISTERED,1282705,CLOSED,ROUTINE,2024-08-12,JYOTHI MURUNDI,REPELLENT,False,australiangoldinsectrepellentcontinuousspray61617-1,FALSE
61842-27,SINBAR WDG AGRICULTURAL HERBICIDE,61842,REGISTERED,1306106,CLOSED,ROUTINE,2025-08-29,JYOTHI MURUNDI,HERBICIDE,False,sinbarwdgagriculturalherbicide61842-27,FALSE
61842-30,LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE,61842,REGISTERED,1273327,CLOSED,ROUTINE,2024-02-05,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE",False,lime-sulfursolutionagriculturalfungicide61842-30,FALSE
61842-52,LANNATE SP INSECTICIDE,61842,REGISTERED,1275271,CLOSED,ROUTINE,2024-02-20,JYOTHI MURUNDI,INSECTICIDE,False,lannatespinsecticide61842-52,FALSE
53883-197-6218,MOSQUITO & ANT BARRIER CONNECT AND SPRAY (NO USE WITHIN 100 FT. OF COASTAL MARSH OR STREAM DRAINING TO COASTAL MARSH),6218,REGISTERED,1288097,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,mosquitoantbarrierconnectspray(nousewithin100ft.ofcoastalmarshorstreamdrainingtocoastalmarsh)53883-197-6218,FALSE
6218-88,Summit Ultra Permacide,6218,REGISTERED,1288097,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,summitultrapermacide6218-88,FALSE
70051-106-6218,BIOLOGICAL CATERPILLAR & WEBWORM CONTROL,6218,REGISTERED,1288097,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,biologicalcaterpillarwebwormcontrol70051-106-6218,FALSE
91132-1-6218,DEER BAN Repellent Capsules,6218,REGISTERED,1288097,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,REPELLENT,False,deerbanrepellentcapsules91132-1-6218,FALSE
95993-3-6218,NEEM 85,6218,REGISTERED,1285706,CLOSED,ROUTINE,2024-09-03,KATHERINE A GRAHAM,"FUNGICIDE, INSECTICIDE, MITICIDE, NEMATICIDE",False,neem8595993-3-6218,FALSE
62255-20001,PVS NOLWOOD SODIUM HYPOCHLORITE 12.5% SOLUTION                        ,62255,REGISTERED,1288272,CLOSED,ROUTINE,2024-12-06,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,pvsnolwoodsodiumhypochlorite12.5%solution62255-20001,FALSE
1839-220-6243,xpress DISINFECTANT CLEANER,6243,REGISTERED,1297668,CLOSED,ROUTINE,2025-05-29,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,xpressdisinfectantcleaner1839-220-6243,FALSE
62719-121,"SPIKE 20P HERBICIDE  (NO SALE, DISTRIBUTION, OR USE IN LONG ISLAND) (RESTRICTED AS OF 1/1/2007)",62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"spike20pherbicide(nosale,distribution,oruseinlongisl)(restrictedasof112007)62719-121",FALSE
62719-17,"TORDON K (NOT FOR SALE, DISTRIBUTION OR USE IN NASSAU & SUFFOLK CO.)",62719,DISCONTINUED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"tordonk(notforsale,distributionoruseinnassausuffolkco.)62719-17",FALSE
62719-176,PATHFINDER II (2EE - FIVE-leaf ARALIA),62719,REGISTERED,1261211,CLOSED,2EE,2023-05-01,SHAUN PETERSON,HERBICIDE,False,pathfinderii(2ee-five-leafaralia)62719-176,FALSE
62719-32,TELONE II  (NOT FOR USE IN NASSAU AND SUFFOLK COUNTIES),62719,DISCONTINUED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,"FUNGICIDE, NEMATICIDE",False,teloneii(notforuseinnassausuffolkcounties)62719-32,FALSE
62719-445,"DIMENSION ULTRA 40 WP (MAX RATE 0.25 LB A.I./A/YR ON LI, 0.5 LB. A.I./A/YR REST OF NYS)",62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"dimensionultra40wp(maxrate0.25lba.i.ayronli,0.5lb.a.i.ayrrestofnys)62719-445",FALSE
62719-519,"MILESTONE (NOT FOR SALE, USE OR DISTRIBUTION IN NASSAU AND SUFFOLK COUNTIES)",62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"milestone(notforsale,useordistributioninnassausuffolkcounties)62719-519",FALSE
62719-527,GARLON 4 ULTRA (2ee - mountain laurel),62719,REGISTERED,1215158,CLOSED,2EE,2021-03-04,SHAUN PETERSON,HERBICIDE,False,garlon4ultra(2ee-mountainlaurel)62719-527,FALSE
62719-527,GARLON 4 ULTRA (2ee - autumn olive and privet),62719,REGISTERED,1214228,CLOSED,2EE,2021-02-10,SHAUN PETERSON,HERBICIDE,False,garlon4ultra(2ee-autumnoliveprivet)62719-527,FALSE
62719-527,GARLON 4 ULTRA (2ee - oriental photinia),62719,REGISTERED,1128800,CLOSED,2EE,2017-09-26,SHAUN PETERSON,HERBICIDE,False,garlon4ultra(2ee-orientalphotinia)62719-527,FALSE
62719-527,GARLON 4 ULTRA (2ee - bush honeysuckle),62719,REGISTERED,1124493,CLOSED,2EE,2017-08-11,SHAUN PETERSON,HERBICIDE,False,garlon4ultra(2ee-bushhoneysuckle)62719-527,FALSE
62719-556,DURANGO DMA,62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,durangodma62719-556,FALSE
62719-556,"ACCORD XRT II (2EE - HAYSCENTED FERN, NEW YORK FERN, BRACKEN FERN)",62719,REGISTERED,1098157,CLOSED,2EE,2016-09-20,,HERBICIDE,False,"accordxrtii(2ee-hayscentedfern,newyorkfern,brackenfern)62719-556",FALSE
62719-637,PASTUREGARD HL (NO USE ON LONG ISLAND),62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,pasturegardhl(nouseonlongisl)62719-637,FALSE
62719-657,INSTINCT II,62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,GROWTH REGULATOR,False,instinctii62719-657,FALSE
62719-67,TURFLON D,62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,turflond62719-67,FALSE
62719-679,"SURESTART II (NOT FOR SALE, SALE INTO, DISTRIBUTION AND/OR USE IN NASSAU AND SUFFOLK COUNTIES)",62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"surestartii(notforsale,saleinto,distributionoruseinnassausuffolkcounties)62719-679",FALSE
62719-679,"TRITOUGHX (NOT FOR SALE, SALE INTO, DISTRIBUTION AND/OR USE IN NASSAU AND SUFFOLK COUNTIES)",62719,DISCONTINUED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"tritoughx(notforsale,saleinto,distributionoruseinnassausuffolkcounties)62719-679",FALSE
62719-689,SURVEIL  [NO AERIAL APPLICATION IN NYS],62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,surveil[noaerialapplicationinnys]62719-689,FALSE
62719-693,"RESICORE (NO SALE, USE OR DISTRIBUTION IN NASSAU OR SUFFOLK COUNTIES)",62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,HERBICIDE,False,"resicore(nosale,useordistributioninnassauorsuffolkcounties)62719-693",FALSE
62719-741,Instinct NXTGEN,62719,REGISTERED,1288086,CLOSED,ROUTINE,2024-11-13,KATHERINE HETTER,GROWTH REGULATOR,False,instinctnxtgen62719-741,FALSE
62719-92,CONFRONT (SALE AND USE IN SUFFOLK & NASSAU CO. PROHIBITED) (NYS MAX RATE),62719,REGISTERED,1299430,CLOSED,ROUTINE,2025-05-01,KATHERINE HETTER,HERBICIDE,False,confront(saleuseinsuffolknassauco.prohibited)(nysmaxrate)62719-92,FALSE
sln ny-110005,ELEMENT 3A (EPA REG. NO. 62719-37),62719,REGISTERED,1299429,CLOSED,SPECIAL LOCAL NEED,2025-05-01,KATHERINE HETTER,HERBICIDE,False,element3a(epareg.no.62719-37)slnny-110005,FALSE
SLN NY-160004,VASTLAN (EPA REG. NO. 62719-687) (2ee - japanese tree lilac),62719,REGISTERED,1265141,CLOSED,2EE,2023-07-16,SHAUN PETERSON,HERBICIDE,False,vastlan(epareg.no.62719-687)(2ee-japanesetreelilac)slnny-160004,FALSE
74559-1-6297,BISSELL SANITIZE SPRAY,6297,REGISTERED,1308546,CLOSED,ROUTINE,2025-10-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,bissellsanitizespray74559-1-6297,FALSE
74559-3-6297,GERM FREAK [co-pack with bissell spot clean & sanitize (EPA Reg. No. 74559-7-6297)],6297,REGISTERED,1308546,CLOSED,ROUTINE,2025-10-21,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,germfreak[co-packwithbissellspotcleansanitize(epareg.no.74559-7-6297)]74559-3-6297,FALSE
63191-1,MILKY SPORE POWDER,63191,REGISTERED,1297695,CLOSED,ROUTINE,2025-06-03,JYOTHI MURUNDI,INSECTICIDE,False,milkysporepowder63191-1,FALSE
63191-17,de-mite chicken dust bath,63191,REGISTERED,1297695,CLOSED,ROUTINE,2025-06-03,JYOTHI MURUNDI,"INSECTICIDE, MITICIDE",False,de-mitechickendustbath63191-17,FALSE
6325-13,YELLOW JACKET WETTABLE SULFUR II,6325,REGISTERED,1282821,CLOSED,ROUTINE,2024-07-25,KATHERINE HETTER,"FUNGICIDE, MITICIDE",False,yellowjacketwettablesulfurii6325-13,FALSE
63761-8,fortisolve 100,63761,REGISTERED,1308570,,ROUTINE,,,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,fortisolve10063761-8,FALSE
63836-1,FOSTER 40-20 FUNGICIDAL PROTECTIVE COATING,63836,REGISTERED,1292409,CLOSED,ROUTINE,2025-04-01,KATHERINE HETTER,"ANTIMICROBIAL, MILDEWSTATIC",False,foster40-20fungicidalprotectivecoating63836-1,FALSE
64137-34,LALSTOP CONTANS WG,64137,REGISTERED,1274734,CLOSED,ROUTINE,2024-02-05,KATHERINE HETTER,FUNGICIDE,False,lalstopcontanswg64137-34,FALSE
1021-2780-64240,Bed Bug Killer Mata Chinches de cama CombatMax,64240,REGISTERED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,bedbugkillermatachinchesdecamacombatmax1021-2780-64240,FALSE
64240-30,COMBAT SOURCE KILL MAX A1,64240,DISCONTINUED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,combatsourcekillmaxa164240-30,FALSE
64240-32,COMBAT 12 MONTH 1,64240,DISCONTINUED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,combat12month164240-32,FALSE
64240-33,COMBAT MAX ROACH KILLING BAIT S,64240,REGISTERED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,combatmaxroachkillingbaits64240-33,FALSE
64240-34,COMBAT MAX ROACH KILLING BAIT L,64240,REGISTERED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,combatmaxroachkillingbaitl64240-34,FALSE
64240-45,COMBAT MAX ROACH KILLING GEL,64240,REGISTERED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,combatmaxroachkillinggel64240-45,FALSE
64240-74,Combat Max 2in1 Ant Bait,64240,REGISTERED,1297643,CLOSED,ROUTINE,2025-06-04,JYOTHI MURUNDI,INSECTICIDE,False,combatmax2in1antbait64240-74,FALSE
1021-2707-64405,FIREBACK BED BUG & INSECT SPRAY & JET,64405,REGISTERED,1277191,CLOSED,ROUTINE,2024-03-27,SHAUN PETERSON,INSECTICIDE,False,firebackbedbuginsectsprayjet1021-2707-64405,FALSE
54452-2,MAGNETIC ROACH BAIT,64405,REGISTERED,1289933,CLOSED,ROUTINE,2024-11-07,SHAUN PETERSON,INSECTICIDE,False,magneticroachbait54452-2,FALSE
64405-2,NIBAN-FG FINE GRANULAR BAIT,64405,REGISTERED,1273312,CLOSED,ROUTINE,2024-01-23,KATHERINE HETTER,INSECTICIDE,False,niban-fgfinegranularbait64405-2,FALSE
87093-6-64405,"ISTRIKE INSECTICIDE FOAM [NO SALE, DISTRIBUTION OR USE IN NASSAU & SUFFOLK, KINGS, QUEENS COUNTIES,NY]",64405,DISCONTINUED,1273312,CLOSED,ROUTINE,2024-01-23,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",False,"istrikeinsecticidefoam[nosale,distributionoruseinnassausuffolk,kings,queenscounties,ny]87093-6-64405",FALSE
6836-266-65239,NOBLE CHEMICAL BACTI FREE THIRD SINK SANITIZER,65239,REGISTERED,1295581,CLOSED,ROUTINE,2025-03-04,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, MILDEWSTATIC, SANITIZER",False,noblechemicalbactifreethirdsinksanitizer6836-266-65239,FALSE
2596-178-65331,FRONTLINE GOLD FOR DOGS (89-132 LBS),65331,REGISTERED,1288108,CLOSED,ROUTINE,2024-12-02,JYOTHI MURUNDI,INSECTICIDE,False,frontlinegoldfordogs(89-132lbs)2596-178-65331,FALSE
65331-1,"FRONTLINE SPRAY FOR DOGS, PUPPIES, CATS AND KITTENS",65331,REGISTERED,1288108,CLOSED,ROUTINE,2024-12-02,JYOTHI MURUNDI,INSECTICIDE,False,"frontlinesprayfordogs,puppies,catskittens65331-1",FALSE
65331-5,FRONTLINE PLUS FOR DOGS (FOR DOGS 5 TO 22 LBS),65331,REGISTERED,1288108,CLOSED,ROUTINE,2024-12-02,JYOTHI MURUNDI,INSECTICIDE,False,frontlineplusfordogs(fordogs5to22lbs)65331-5,FALSE
65331-5,FRONTLINE PLUS FOR DOGS (FOR DOGS 45-88 LBS),65331,REGISTERED,1288108,CLOSED,ROUTINE,2024-12-02,JYOTHI MURUNDI,INSECTICIDE,False,frontlineplusfordogs(fordogs45-88lbs)65331-5,FALSE
65331-9,FRONTLINE SHIELD FOR DOGS (L DOGS 41-80 LBs.),65331,REGISTERED,1288108,CLOSED,ROUTINE,2024-12-02,JYOTHI MURUNDI,INSECTICIDE,False,frontlineshieldfordogs(ldogs41-80lbs.)65331-9,FALSE
65331-9,FRONTLINE SHIELD FOR DOGS (M DOGS 21-40 LBs.),65331,REGISTERED,1288108,CLOSED,ROUTINE,2024-12-02,JYOTHI MURUNDI,INSECTICIDE,False,frontlineshieldfordogs(mdogs21-40lbs.)65331-9,FALSE
72790-2-65726,SPUD GUARD 2 EC,65726,REGISTERED,1288207,CLOSED,ROUTINE,2024-10-30,KATHERINE HETTER,GROWTH REGULATOR,False,spudguard2ec72790-2-65726,FALSE
44446-61-66114,TOP DOWN,66114,REGISTERED,1298868,CLOSED,ROUTINE,2025-04-22,JYOTHI MURUNDI,HERBICIDE,False,topdown44446-61-66114,FALSE
66222-51,KARMEX DF,66222,REGISTERED,1308531,,ROUTINE,,,HERBICIDE,False,karmexdf66222-51,FALSE
66243-1,ODO-BAN READY-TO-USE (LAVENDER),66243,REGISTERED,1282649,CLOSED,ROUTINE,2024-09-06,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,odo-banready-to-use(lavender)66243-1,FALSE
66243-2,ODO-BAN (FRESH LINEN),66243,REGISTERED,1310409,CLOSED,ROUTINE,2025-10-31,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,odo-ban(freshlinen)66243-2,FALSE
1021-1723-66963,WELL & GOOD FLEA & TICK SHAMPOO,66963,REGISTERED,1308588,IN REVIEW,ROUTINE,2025-11-24,JYOTHI MURUNDI,INSECTICIDE,False,wellgoodfleatickshampoo1021-1723-66963,FALSE
66963-8,ALOE HERBAL HORSE SPRAY,66963,REGISTERED,1308588,IN REVIEW,ROUTINE,2025-11-24,JYOTHI MURUNDI,REPELLENT,False,aloeherbalhorsespray66963-8,FALSE
6836-336-6718,PURSUE DISINFECTANT CLEANING WIPES (Fresh Citrus Scent),6718,REGISTERED,1277798,CLOSED,ROUTINE,2024-05-31,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,pursuedisinfectantcleaningwipes(freshcitrusscent)6836-336-6718,FALSE
67262-33,"POOL ESSENTIALS 1"" CHLORINATING TABLETS",67262,REGISTERED,1301800,CLOSED,ROUTINE,2025-06-12,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,"poolessentials1""chlorinatingtablets67262-33",FALSE
47371-129-675,LYSOL BRAND I.C. QUATERNARY DISINFECTANT CLEANER,675,REGISTERED,1277673,CLOSED,ROUTINE,2024-05-30,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,lysolbri.c.quaternarydisinfectantcleaner47371-129-675,FALSE
5813-127-67619,CLOROXPRO CLOROX DISINFECTING WIPES CITRIC ACID FORMULA (LEMON FRESH),67619,REGISTERED,1273297,CLOSED,ROUTINE,2024-01-18,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cloroxprocloroxdisinfectingwipescitricacidformula(lemonfresh)5813-127-67619,FALSE
33068-1,AQUASHADE aquatic plant growth control,67690,REGISTERED,1288090,CLOSED,ROUTINE,2024-12-03,KATHERINE HETTER,"ALGAECIDE, HERBICIDE",False,aquashadeaquaticplantgrowthcontrol33068-1,FALSE
67690-10,NAUTIQUE AQUATIC HERBICIDE,67690,REGISTERED,1288090,CLOSED,ROUTINE,2024-12-03,KATHERINE HETTER,HERBICIDE,False,nautiqueaquaticherbicide67690-10,FALSE
67690-45,SONARONE (NYS SPECIFIC LANGUAGE),67690,REGISTERED,1288090,CLOSED,ROUTINE,2024-12-03,KATHERINE HETTER,HERBICIDE,False,sonarone(nysspecificlanguage)67690-45,FALSE
67690-53,LITTORA [NO AQUATIC USE IN NYS WITHOUT POSSESSION OF SLN LABELING - SEE SLN NY-120005],67690,REGISTERED,1288090,CLOSED,ROUTINE,2024-12-03,KATHERINE HETTER,HERBICIDE,False,littora[noaquaticuseinnyswithoutpossessionofslnlabeling-seeslnny-120005]67690-53,FALSE
67690-94,CUTRINE PLUS GRANULAR ALGAECIDE,67690,REGISTERED,1288090,CLOSED,ROUTINE,2024-12-03,KATHERINE HETTER,"ALGAECIDE, HERBICIDE",False,cutrineplusgranularalgaecide67690-94,FALSE
sln ny-120016,SONAR GENESIS AQUATIC HERBICIDE (EPA REG. NO. 67690-54) [LIMITED USE CAYUGA LAKE INLET & TRIBUTARIES],67690,REGISTERED,1288090,CLOSED,SPECIAL LOCAL NEED,2024-12-03,KATHERINE HETTER,HERBICIDE,False,sonargenesisaquaticherbicide(epareg.no.67690-54)[limitedusecayugalakeinlettributaries]slnny-120016,FALSE
sln ny-120017,"SONAR Q  [CREAMERY POND, CAYUGA LAKE AND INLET TRIBUTARIES ONLY][APPLICATION IN LESS THAN 2 FT. WATER BY SLN ONLY]  (EPA REG. NO. 67690-3)",67690,DISCONTINUED,1288090,CLOSED,SPECIAL LOCAL NEED,2024-12-03,KATHERINE HETTER,HERBICIDE,False,"sonarq[creamerypond,cayugalakeinlettributariesonly][applicationinlessthan2ft.waterbyslnonly](epareg.no.67690-3)slnny-120017",FALSE
SLN NY-170001,"SONAR GENESIS [CROTON RIVER, ERIE CANAL, SEBAGO LAKE AND SPENCER POND LIMITED USE] (EPA REG. NO. 67690-54)",67690,REGISTERED,1288090,CLOSED,SPECIAL LOCAL NEED,2024-12-03,KATHERINE HETTER,HERBICIDE,False,"sonargenesis[crotonriver,eriecanal,sebagolakespencerpondlimiteduse](epareg.no.67690-54)slnny-170001",FALSE
67702-18,WEED & GRASS KILLER,67702,REGISTERED,1288726,CLOSED,ROUTINE,2024-10-16,MATTHEW J GOGIS,HERBICIDE,False,weedgrasskiller67702-18,FALSE
67979-12,attribute ii sweet corn,67979,REGISTERED,1277667,CLOSED,ROUTINE,2024-04-25,KATHERINE HETTER,PIP (PLANT INCORPORATED PROTECTANT),False,attributeiisweetcorn67979-12,FALSE
67979-34,viptera z3 refuge renew,67979,REGISTERED,1277667,CLOSED,ROUTINE,2024-04-25,KATHERINE HETTER,PIP (PLANT INCORPORATED PROTECTANT),False,vipteraz3refugerenew67979-34,FALSE
68464-1,ROOTX,68464,REGISTERED,1308662,CLOSED,ROUTINE,2025-10-17,JYOTHI MURUNDI,HERBICIDE,False,rootx68464-1,FALSE
1021-1855-68543,BENGAL ANT & SPIDER KILLER 2,68543,REGISTERED,1308556,CLOSED,ROUTINE,2025-10-07,KATHERINE HETTER,INSECTICIDE,False,bengalantspiderkiller21021-1855-68543,FALSE
68543-43,bengal FLEA & TICK FOGGER plus,68543,REGISTERED,1308556,CLOSED,ROUTINE,2025-10-07,KATHERINE HETTER,GROWTH REGULATOR,False,bengalfleatickfoggerplus68543-43,FALSE
10088-110-68562,EXTINCT CONCENTRATE,68562,REGISTERED,1308540,,ROUTINE,2025-12-01,,INSECTICIDE,False,extinctconcentrate10088-110-68562,FALSE
228-190-68562,TRIPLE THREAT FOAMING SELECTIVE HERBICIDE,68562,REGISTERED,1308540,,ROUTINE,2025-12-01,,HERBICIDE,False,triplethreatfoamingselectiveherbicide228-190-68562,FALSE
69117-12,BOXER INSECTICIDE-MITICIDE (2ee - method of application),69117,REGISTERED,1124836,CLOSED,2EE,2017-08-10,SHAUN PETERSON,"INSECTICIDE, MITICIDE",False,boxerinsecticide-miticide(2ee-methodofapplication)69117-12,FALSE
69117-7,PINSCHER PGR,69117,REGISTERED,1277704,CLOSED,ROUTINE,2024-06-20,JYOTHI MURUNDI,GROWTH REGULATOR,False,pinscherpgr69117-7,FALSE
69361-49,HOMOBRASSINOLIDE 0.1%,69361,REGISTERED,1286407,CLOSED,ROUTINE,2024-09-16,JYOTHI MURUNDI,GROWTH REGULATOR,False,homobrassinolide0.1%69361-49,FALSE
69526-1,SPRAY OIL 10,69526,REGISTERED,1277698,CLOSED,ROUTINE,2024-04-17,JYOTHI MURUNDI,INSECTICIDE,False,sprayoil1069526-1,FALSE
69553-9,AMYPROTEC 42,69553,REGISTERED,1297743,CLOSED,ROUTINE,2025-05-27,JYOTHI MURUNDI,FUNGICIDE,False,amyprotec4269553-9,FALSE
87469-1-69587,ZINSSER MOLD KILLING PRIMER,69587,REGISTERED,1277697,CLOSED,ROUTINE,2024-05-14,JYOTHI MURUNDI,"ANTIMICROBIAL, FUNGICIDE",False,zinssermoldkillingprimer87469-1-69587,FALSE
67702-22-70051,DES-X INSECTICIDAL SOAP CONCENTRATE,70051,REGISTERED,1302834,CLOSED,ROUTINE,2025-07-16,JYOTHI MURUNDI,"FUNGICIDE, INSECTICIDE",False,des-xinsecticidalsoapconcentrate67702-22-70051,FALSE
70051-107,CONVERGENCE,70051,REGISTERED,1302834,CLOSED,ROUTINE,2025-07-16,JYOTHI MURUNDI,FUNGICIDE,False,convergence70051-107,FALSE
70051-119,LIFEGARD WG (2ee - botrytis leaf blight),70051,REGISTERED,1269525,CLOSED,2EE,2023-10-11,SHAUN PETERSON,GROWTH REGULATOR,False,lifegardwg(2ee-botrytisleafblight)70051-119,FALSE
70051-133,PFR-97 10% ES,70051,REGISTERED,1302834,CLOSED,ROUTINE,2025-07-16,JYOTHI MURUNDI,INSECTICIDE,False,pfr-9710%es70051-133,FALSE
10324-81-70053,QUATERNARY SANITIZER,70053,REGISTERED,1273405,CLOSED,ROUTINE,2024-03-13,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,quaternarysanitizer10324-81-70053,FALSE
70062-9,Methograin IGR 300,70062,REGISTERED,1273404,CLOSED,ROUTINE,2024-01-15,JYOTHI MURUNDI,GROWTH REGULATOR,False,methograinigr30070062-9,FALSE
70271-13,PURE BRIGHT GERMICIDAL ULTRA BLEACH,70271,REGISTERED,1292352,CLOSED,ROUTINE,2025-02-06,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,purebrightgermicidalultrableach70271-13,FALSE
70271-31-10601,WEIS SIMPLY GREAT CONCENTRATED BLEACH,70271,REGISTERED,1292352,CLOSED,ROUTINE,2025-02-06,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,weissimplygreatconcentratedbleach70271-31-10601,FALSE
70271-31-22946,cvs health concentrated bleach,70271,REGISTERED,1292352,CLOSED,ROUTINE,2025-02-06,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cvshealthconcentratedbleach70271-31-22946,FALSE
70271-36-11700,meijer low splash bleach,70271,REGISTERED,1292352,CLOSED,ROUTINE,2025-02-06,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,meijerlowsplashbleach70271-36-11700,FALSE
70271-36-22946,CVS HEALTH LOW-SPLASH CONCENTRATED BLEACH,70271,REGISTERED,1306353,CLOSED,ROUTINE,2025-08-25,MATTHEW J GOGIS,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,cvshealthlow-splashconcentratedbleach70271-36-22946,FALSE
66675-4-70299,VITRIBLU,70299,REGISTERED,1300791,CLOSED,ROUTINE,2025-05-23,KATHERINE HETTER,HERBICIDE,False,vitriblu66675-4-70299,FALSE
70299-18,SANIDATE 12.0,70299,REGISTERED,1292361,CLOSED,ROUTINE,2025-02-13,KATHERINE HETTER,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,sanidate12.070299-18,FALSE
70299-26,SANIDATE 15.0,70299,REGISTERED,1292361,CLOSED,ROUTINE,2025-02-13,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,sanidate15.070299-26,FALSE
