original_target_name,original_crop,original_target_type,source_target_type,new_target_name,new_target_type,new_target_species,source_refined,deployed,main_target_list
White grub species,Beans,Insects,Insects,White Grubs,,,LLM:gpt-5.2,True,False
Whiteflies (Bemisia and Trialeuroides spp.),Beans,Insects,Insects,Whiteflies,,,LLM:gpt-5.2,True,False
Whitefly,Beans,Insects,Insects,Whiteflies,,,LLM:gpt-5.2,True,False
Whitefly (Except Sweetpotato/Silverleaf Whitefly),Beans,Insects,Insects,Whiteflies,,,LLM:gpt-5.2,True,False
Whitefly (including sweetpotato whitefly),Beans,Insects,Insects,Whiteflies,,,LLM:gpt-5.2,True,False
Whitefly (sweetpotato whitefly),Beans,Insects,Insects,Sweetpotato Whitefly,,,LLM:gpt-5.2,True,False
Whitefly species,Beans,Insects,Insects,Whiteflies,,,LLM:gpt-5.2,True,False
Whitefly spp.,Beans,Insects,Insects,Whiteflies,,,LLM:gpt-5.2,True,False
Willamette,Beans,Insects,Other,,,,,True,False
Woollybear caterpillar,Beans,Insects,Insects,Woollybear Caterpillar,,,LLM:gpt-5.2,True,False
Woolybear caterpillar,Beans,Insects,Insects,Woollybear Caterpillar,,,LLM:gpt-5.2,True,False
Worms,Beans,Insects,Other,,,,,True,False
Worms (caterpillars),Beans,Insects,Insects,Caterpillars,,,LLM:gpt-5.2,True,False
Yellowstriped armyworm,Beans,Insects,Insects,Yellowstriped Armyworm,,,LLM:gpt-5.2,True,False
Zucchini Yellow Mosaic Virus,Beans,Insects,Disease,Zucchini Yellow Mosaic Virus,,,LLM:gpt-5.2,True,False
almond moths,Beans,Insects,Insects,Almond Moth,,,LLM:gpt-5.2,True,False
armored scale,Beans,Insects,Insects,Armored Scales,,,LLM:gpt-5.2,True,False
cankerworms,Beans,Insects,Insects,Cankerworms,,,LLM:gpt-5.2,True,False
carpetweed,Beans,Insects,Weeds,Carpetweed,,,LLM:gpt-5.2,True,False
certain caterpillars,Beans,Insects,Insects,Caterpillars,,,LLM:gpt-5.2,True,False
cigarette beetles,Beans,Insects,Insects,Cigarette Beetle,,,LLM:gpt-5.2,True,False
confused flour beetles,Beans,Insects,Insects,Confused Flour Beetle,,,LLM:gpt-5.2,True,False
"corn earworm, Helicoverpa zea",Beans,Insects,Insects,Corn Earworm,,,LLM:gpt-5.2,True,False
crabgrass,Beans,Insects,Weeds,Crabgrass,,,LLM:gpt-5.2,True,False
crickets,Beans,Insects,Insects,Crickets,,,LLM:gpt-5.2,True,False
darkling beetles,Beans,Insects,Insects,Darkling Beetles,,,LLM:gpt-5.2,True,False
deer,Beans,Insects,Other,,,,,True,False
dipterous leafminers,Beans,Insects,Insects,Leafminers,,,LLM:gpt-5.2,True,False
drugstore beetles,Beans,Insects,Insects,Drugstore Beetle,,,LLM:gpt-5.2,True,False
earwigs,Beans,Insects,Insects,Earwigs,,,LLM:gpt-5.2,True,False
elk,Beans,Insects,Vertebrate,,,,,True,False
flat grain beetles,Beans,Insects,Insects,Flat Grain Beetles,,,LLM:gpt-5.2,True,False
granary weevils,Beans,Insects,Insects,Granary Weevil,,,LLM:gpt-5.2,True,False
leaf miner,Beans,Insects,Insects,Leafminers,,,LLM:gpt-5.2,True,False
leaf-feeding insects,Beans,Insects,Insects,Leaf-Feeding Insects,,,LLM:gpt-5.2,True,False
lesser grain borers,Beans,Insects,Insects,Lesser Grain Borer,,,LLM:gpt-5.2,True,False
listed insects,Beans,Insects,Insects,Insects,,,LLM:gpt-5.2,True,False
listed plant pests,Beans,Insects,Other,,,,,True,False
locust,Beans,Insects,Insects,Locusts,,,LLM:gpt-5.2,True,False
maize weevils,Beans,Insects,Insects,Maize Weevil,,,LLM:gpt-5.2,True,False
meadow voles,Beans,Insects,Other,,,,,True,False
merchant grain beetles,Beans,Insects,Insects,Merchant Grain Beetle,,,LLM:gpt-5.2,True,False
mite pests,Beans,Insects,Insects,Mites,,,LLM:gpt-5.2,True,False
moose,Beans,Insects,Vertebrate,,,,,True,False
pea leaf weevil,Beans,Insects,Insects,Pea Leaf Weevil,,,LLM:gpt-5.2,True,False
perennial weeds,Beans,Insects,Weeds,Perennial Weeds,,,LLM:gpt-5.2,True,False
pine voles,Beans,Insects,Other,,,,,True,False
plant leaf hopper,Beans,Insects,Insects,Leafhoppers,,,LLM:gpt-5.2,True,False
rabbits,Beans,Insects,Other,,,,,True,False
raccoons,Beans,Insects,Other,,,,,True,False
red flour beetles,Beans,Insects,Insects,Red Flour Beetle,,,LLM:gpt-5.2,True,False
rice weevils,Beans,Insects,Insects,Rice Weevil,,,LLM:gpt-5.2,True,False
russet mites,Beans,Insects,Insects,Russet Mites,,,LLM:gpt-5.2,True,False
rusty grain beetles,Beans,Insects,Insects,Rusty Grain Beetle,,,LLM:gpt-5.2,True,False
sawtoothed grain beetles,Beans,Insects,Insects,Sawtoothed Grain Beetle,,,LLM:gpt-5.2,True,False
seedcorn maggot,Beans,Insects,Insects,Seedcorn Maggot,,,LLM:gpt-5.2,True,False
soft scale,Beans,Insects,Insects,Soft Scales,,,LLM:gpt-5.2,True,False
spotted drosophila,Beans,Insects,Insects,Spotted Wing Drosophila,,,LLM:gpt-5.2,True,False
spotted lanternfly,Beans,Insects,Insects,Spotted Lanternfly,,,LLM:gpt-5.2,True,False
squarenecked grain beetles,Beans,Insects,Insects,Square-Necked Grain Beetle,,,LLM:gpt-5.2,True,False
squash bugs,Beans,Insects,Insects,Squash Bugs,,,LLM:gpt-5.2,True,False
tomato hornworm,Beans,Insects,Insects,Tomato Hornworm,,,LLM:gpt-5.2,True,False
white grub,Beans,Insects,Insects,White Grubs,,,LLM:gpt-5.2,True,False
wireworm,Beans,Insects,Insects,Wireworms,,,LLM:gpt-5.2,True,False
Big-Headed Ant,Beans,Other,Insects,Bigheaded Ant,,,LLM:gpt-5.2,True,False
Caterpillars and loopers,Beans,Other,Insects,Caterpillars,,,LLM:gpt-5.2,True,False
Colletotrichum spp,Beans,Other,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Damping-off fungus (Phytophthora spp.),Beans,Other,Disease,Damping-Off,,Phytophthora spp.,LLM:gpt-5.2,True,False
Damping-off fungus (Pythium spp.),Beans,Other,Disease,Damping-Off,,Pythium spp.,LLM:gpt-5.2,True,False
Damping-off fungus (Rhizoctonia spp.),Beans,Other,Disease,Damping-Off,,Rhizoctonia spp.,LLM:gpt-5.2,True,False
Flies,Beans,Other,Insects,Flies,,,LLM:gpt-5.2,True,False
Fusarium seedling blight (Fusarium spp.),Beans,Other,Disease,Fusarium Seedling Blight,,Fusarium spp.,LLM:gpt-5.2,True,False
Mite leaf spot,Beans,Other,Disease,Mite Leaf Spot,,,LLM:gpt-5.2,True,False
"Mites (Atlantic, Pacific, Red spider, Strawberry, Two-spotted)",Beans,Other,Insects,Mites,,,LLM:gpt-5.2,True,False
Native Fire Ant,Beans,Other,Insects,Fire Ants,,,LLM:gpt-5.2,True,False
Other pests such as borers,Beans,Other,Insects,Borers,,,LLM:gpt-5.2,True,False
Pavement Ant,Beans,Other,Insects,Pavement Ant,,,LLM:gpt-5.2,True,False
Planthoppers,Beans,Other,Insects,Planthoppers,,,LLM:gpt-5.2,True,False
Sclerotinia species,Beans,Other,Disease,White Mold,,Sclerotinia spp.,LLM:gpt-5.2,True,False
Southern (California) Fire Ant,Beans,Other,Insects,Fire Ants,,,LLM:gpt-5.2,True,False
"Suppression of damping off, seedling blights, and root or crown diseases caused by Pythium, Rhizoctonia, Fusarium, or Phytophthora",Beans,Other,Disease,Damping-Off/Seedling Blight/Root Rot Complex,,,LLM:gpt-5.2,True,False
True Bugs,Beans,Other,Insects,True Bugs,,,LLM:gpt-5.2,True,False
early season soil dwelling insects,Beans,Other,Insects,Soil-Dwelling Insects,,,LLM:gpt-5.2,True,False
fungal diseases,Beans,Other,Disease,Fungal Diseases,,,LLM:gpt-5.2,False,False
other insects,Beans,Other,Insects,Insects,,,LLM:gpt-5.2,True,False
pillbugs,Beans,Other,Insects,Pillbugs,,,LLM:gpt-5.2,True,False
plant-parasitic nematodes,Beans,Other,Disease,Plant-Parasitic Nematodes,,,LLM:gpt-5.2,True,False
seed maggots,Beans,Other,Insects,Seed Maggots,,,LLM:gpt-5.2,True,False
slugs,Beans,Other,Other,,,,,True,False
snails,Beans,Other,Other,,,,,True,False
soil-dwelling insects,Beans,Other,Insects,Soil-Dwelling Insects,,,LLM:gpt-5.2,True,False
sowbugs,Beans,Other,Other,,,,,True,False
"Amaranth, Palmer",Beans,Weeds,Weeds,Palmer Amaranth,,,LLM:gpt-5.2,True,False
"Amaranth, Powell",Beans,Weeds,Weeds,Powell Amaranth,,,LLM:gpt-5.2,True,False
Annual and Perennial Grass Weeds,Beans,Weeds,Weeds,Annual and Perennial Grasses,,,LLM:gpt-5.2,True,False
Annual and perennial grasses,Beans,Weeds,Weeds,Annual and Perennial Grasses,,,LLM:gpt-5.2,True,False
Annual weeds,Beans,Weeds,Weeds,Annual Weeds,,,LLM:gpt-5.2,True,False
Annual weeds and perennial weeds,Beans,Weeds,Weeds,Annual and Perennial Weeds,,,LLM:gpt-5.2,True,False
"Anoda, spurred",Beans,Weeds,Weeds,Spurred Anoda,,,LLM:gpt-5.2,True,False
Balloonvine,Beans,Weeds,Weeds,Balloonvine,,,LLM:gpt-5.2,True,False
Barnyardgrass (watergrass),Beans,Weeds,Weeds,Barnyardgrass,,,LLM:gpt-5.2,True,False
Bedstraw,Beans,Weeds,Weeds,Bedstraw,,,LLM:gpt-5.2,True,False
"Beet, wild",Beans,Weeds,Weeds,Wild Beet,,,LLM:gpt-5.2,True,False
Beggarticks,Beans,Weeds,Weeds,Beggarticks,,,LLM:gpt-5.2,True,False
"Bindweed, field",Beans,Weeds,Weeds,Field Bindweed,,,LLM:gpt-5.2,True,False
"Bindweed, hedge",Beans,Weeds,Weeds,Hedge Bindweed,,,LLM:gpt-5.2,True,False
Broadleaf weeds and sedges,Beans,Weeds,Weeds,Broadleaf Weeds and Sedges,,,LLM:gpt-5.2,True,False
"Buckwheat, wild",Beans,Weeds,Weeds,Wild Buckwheat,,,LLM:gpt-5.2,True,False
Canada thistle,Beans,Weeds,Weeds,Canada Thistle,,,LLM:gpt-5.2,True,False
Cocklebur,Beans,Weeds,Weeds,Common Cocklebur,,,LLM:gpt-5.2,True,False
Common Lambsquarters,Beans,Weeds,Weeds,Common Lambsquarters,,,LLM:gpt-5.2,True,False
Common black purslane,Beans,Weeds,Weeds,Black Purslane,,,LLM:gpt-5.2,True,False
Common morningglory,Beans,Weeds,Weeds,Common Morningglory,,,LLM:gpt-5.2,True,False
Common purslane,Beans,Weeds,Weeds,Common Purslane,,,LLM:gpt-5.2,True,False
"Croton, tropic",Beans,Weeds,Weeds,Tropic Croton,,,LLM:gpt-5.2,True,False
"Cupgrass, prairie",Beans,Weeds,Weeds,Prairie Cupgrass,,,LLM:gpt-5.2,True,False
"Cupgrass, southwestern",Beans,Weeds,Weeds,Southwestern Cupgrass,,,LLM:gpt-5.2,True,False
Devilsclaw,Beans,Weeds,Weeds,Devil's Claw,,,LLM:gpt-5.2,True,False
Eclipta,Beans,Weeds,Weeds,Eclipta,,,LLM:gpt-5.2,True,False
Florida pusley,Beans,Weeds,Weeds,Florida Pusley,,,LLM:gpt-5.2,True,False
Foxtail,Beans,Weeds,Weeds,Foxtail,,,LLM:gpt-5.2,True,False
"Foxtail (Giant, Green, Robust)",Beans,Weeds,Weeds,Foxtail,,,LLM:gpt-5.2,True,False
Foxtail (Robust),Beans,Weeds,Weeds,Foxtail,,,LLM:gpt-5.2,True,False
"Foxtail, bristly",Beans,Weeds,Weeds,Bristly Foxtail,,,LLM:gpt-5.2,True,False
Galinsoga spp.,Beans,Weeds,Weeds,Galinsoga,,,LLM:gpt-5.2,True,False
"Galinsoga, hairy",Beans,Weeds,Weeds,Hairy Galinsoga,,,LLM:gpt-5.2,True,False
"Galinsoga, smallflower",Beans,Weeds,Weeds,Smallflower Galinsoga,,,LLM:gpt-5.2,True,False
Grasses,Beans,Weeds,Weeds,Grasses,,,LLM:gpt-5.2,True,False
"Groundsel, common",Beans,Weeds,Weeds,Common Groundsel,,,LLM:gpt-5.2,True,False
Jimsonweed,Beans,Weeds,Weeds,Jimsonweed,,,LLM:gpt-5.2,True,False
Lambsquarters,Beans,Weeds,Weeds,Common Lambsquarters,,,LLM:gpt-5.2,True,False
Large & Smooth Crabgrass,Beans,Weeds,Weeds,Crabgrass,,,LLM:gpt-5.2,True,False
Marshelder,Beans,Weeds,Weeds,Marshelder,,,LLM:gpt-5.2,True,False
Mayweed/Dogfennel,Beans,Weeds,Weeds,Mayweed,,,LLM:gpt-5.2,True,False
Morningglory,Beans,Weeds,Weeds,Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, Entireleaf",Beans,Weeds,Weeds,Entireleaf Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, Ivyleaf",Beans,Weeds,Weeds,Ivyleaf Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, Pitted",Beans,Weeds,Weeds,Pitted Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, Red",Beans,Weeds,Weeds,Red Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, Tall",Beans,Weeds,Weeds,Tall Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, cypressvine",Beans,Weeds,Weeds,Cypressvine Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, red/scarlet",Beans,Weeds,Weeds,Red Morningglory,,,LLM:gpt-5.2,True,False
"Morningglory, smallflower",Beans,Weeds,Weeds,Smallflower Morningglory,,,LLM:gpt-5.2,True,False
Mouseear chickweed,Beans,Weeds,Weeds,Mouseear Chickweed,,,LLM:gpt-5.2,True,False
,Beans,Weeds,Other,,,,,True,False
"Nightshade, black",Beans,Weeds,Weeds,Black Nightshade,,,LLM:gpt-5.2,True,False
"Nightshade, eastern black",Beans,Weeds,Weeds,Eastern Black Nightshade,,,LLM:gpt-5.2,True,False
"Nightshade, hairy",Beans,Weeds,Weeds,Hairy Nightshade,,,LLM:gpt-5.2,True,False
"Nutsedge, yellow",Beans,Weeds,Weeds,Yellow Nutsedge,,,LLM:gpt-5.2,True,False
Panicum,Beans,Weeds,Weeds,Panicum,,,LLM:gpt-5.2,True,False
Panicum (Common & Fall),Beans,Weeds,Weeds,Panicum,,,LLM:gpt-5.2,True,False
Panicum (Common),Beans,Weeds,Weeds,Panicum,,,LLM:gpt-5.2,True,False
Perennial Broadleaf Weeds,Beans,Weeds,Weeds,Perennial Broadleaf Weeds,,,LLM:gpt-5.2,True,False
Perennial Grasses and Sedge,Beans,Weeds,Weeds,Perennial Grasses and Sedges,,,LLM:gpt-5.2,True,False
"Pigweed, prostrate",Beans,Weeds,Weeds,Prostrate Pigweed,,,LLM:gpt-5.2,True,False
"Pigweed, tumble",Beans,Weeds,Weeds,Tumble Pigweed,,,LLM:gpt-5.2,True,False
"Poinsettia, wild",Beans,Weeds,Weeds,Wild Poinsettia,,,LLM:gpt-5.2,True,False
Prickly Sida,Beans,Weeds,Weeds,Prickly Sida,,,LLM:gpt-5.2,True,False
"Purslane, common",Beans,Weeds,Weeds,Common Purslane,,,LLM:gpt-5.2,True,False
"Pusley, Florida",Beans,Weeds,Weeds,Florida Pusley,,,LLM:gpt-5.2,True,False
"Radish, volunteer",Beans,Weeds,Weeds,Volunteer Radish,,,LLM:gpt-5.2,True,False
"Ragweed, giant",Beans,Weeds,Weeds,Giant Ragweed,,,LLM:gpt-5.2,True,False
Redroot pigweed,Beans,Weeds,Weeds,Redroot Pigweed,,,LLM:gpt-5.2,True,False
Redweed,Beans,Weeds,Weeds,Redweed,,,LLM:gpt-5.2,True,False
"Rice, red",Beans,Weeds,Weeds,Red Rice,,,LLM:gpt-5.2,True,False
"Ryegrass, Italian",Beans,Weeds,Weeds,Italian Ryegrass,,,LLM:gpt-5.2,True,False
"Senna, coffee",Beans,Weeds,Weeds,Coffee Senna,,,LLM:gpt-5.2,True,False
Shepherdspurse,Beans,Weeds,Weeds,Shepherdspurse,,,LLM:gpt-5.2,True,False
"Sida, Prickly",Beans,Weeds,Weeds,Prickly Sida,,,LLM:gpt-5.2,True,False
"Sida, prickly (Teaweed)",Beans,Weeds,Weeds,Prickly Sida,,,LLM:gpt-5.2,True,False
Smooth pigweed,Beans,Weeds,Weeds,Smooth Pigweed,,,LLM:gpt-5.2,True,False
"Spiderwort, tropical",Beans,Weeds,Weeds,Tropical Spiderwort,,,LLM:gpt-5.2,True,False
Spurred Anoda,Beans,Weeds,Weeds,Spurred Anoda,,,LLM:gpt-5.2,True,False
"Starbur, bristly",Beans,Weeds,Weeds,Bristly Starbur,,,LLM:gpt-5.2,True,False
"Sugar beet, volunteer",Beans,Weeds,Weeds,Volunteer Sugar Beet,,,LLM:gpt-5.2,True,False
"Sunflower, wild",Beans,Weeds,Weeds,Wild Sunflower,,,LLM:gpt-5.2,True,False
Various broadleaf and grass weeds,Beans,Weeds,Weeds,Broadleaf and Grass Weeds,,,LLM:gpt-5.2,True,False
Velvetleaf,Beans,Weeds,Weeds,Velvetleaf,,,LLM:gpt-5.2,True,False
Venice mallow,Beans,Weeds,Weeds,Venice Mallow,,,LLM:gpt-5.2,True,False
"Waterhemp, common",Beans,Weeds,Weeds,Common Waterhemp,,,LLM:gpt-5.2,True,False
Weeds listed in Table 8,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
Wild mustard,Beans,Weeds,Weeds,Wild Mustard,,,LLM:gpt-5.2,True,False
annual and perennial weeds,Beans,Weeds,Weeds,Annual and Perennial Weeds,,,LLM:gpt-5.2,True,False
annual broadleaf weeds,Beans,Weeds,Weeds,Annual Broadleaf Weeds,,,LLM:gpt-5.2,True,False
annual grass weeds,Beans,Weeds,Weeds,Annual Grasses,,,LLM:gpt-5.2,True,False
annual grasses,Beans,Weeds,Weeds,Annual Grasses,,,LLM:gpt-5.2,True,False
annual grasses and broadleaf weeds,Beans,Weeds,Weeds,Annual Grasses and Broadleaf Weeds,,,LLM:gpt-5.2,True,False
barnyard grass,Beans,Weeds,Weeds,Barnyardgrass,,,LLM:gpt-5.2,True,False
black nightshade,Beans,Weeds,Weeds,Black Nightshade,,,LLM:gpt-5.2,True,False
bristly foxtail,Beans,Weeds,Weeds,Bristly Foxtail,,,LLM:gpt-5.2,True,False
broadleaf and grass weeds,Beans,Weeds,Weeds,Broadleaf and Grass Weeds,,,LLM:gpt-5.2,True,False
"broadleaf weeds, grasses and sedges",Beans,Weeds,Weeds,"Broadleaf Weeds, Grasses and Sedges",,,LLM:gpt-5.2,True,False
certain broadleaf weeds,Beans,Weeds,Weeds,Broadleaf Weeds,,,LLM:gpt-5.2,True,False
common waterhemp,Beans,Weeds,Weeds,Common Waterhemp,,,LLM:gpt-5.2,True,False
control of sucker growth,Beans,Weeds,Growth Regulation,Sucker Control,,,LLM:gpt-5.2,True,False
crowfoot grass,Beans,Weeds,Weeds,Crowfootgrass,,,LLM:gpt-5.2,True,False
dog fennel,Beans,Weeds,Weeds,Dogfennel,,,LLM:gpt-5.2,True,False
eastern black nightshade,Beans,Weeds,Weeds,Eastern Black Nightshade,,,LLM:gpt-5.2,True,False
emerged weeds,Beans,Weeds,Weeds,Emerged Weeds,,,LLM:gpt-5.2,True,False
established weeds,Beans,Weeds,Weeds,Established Weeds,,,LLM:gpt-5.2,True,False
fall panicum,Beans,Weeds,Weeds,Fall Panicum,,,LLM:gpt-5.2,True,False
foliage,Beans,Weeds,Other,,,,,True,False
foxtail millet,Beans,Weeds,Weeds,Foxtail Millet,,,LLM:gpt-5.2,True,False
giant foxtail,Beans,Weeds,Weeds,Giant Foxtail,,,LLM:gpt-5.2,True,False
goosegrass,Beans,Weeds,Weeds,Goosegrass,,,LLM:gpt-5.2,True,False
grass,Beans,Weeds,Weeds,Grasses,,,LLM:gpt-5.2,True,False
grass and small-seeded weeds,Beans,Weeds,Weeds,Grasses and Small-Seeded Weeds,,,LLM:gpt-5.2,True,False
grass weeds,Beans,Weeds,Weeds,Grasses,,,LLM:gpt-5.2,True,False
green foxtail,Beans,Weeds,Weeds,Green Foxtail,,,LLM:gpt-5.2,True,False
groundcherry,Beans,Weeds,Weeds,Groundcherry,,,LLM:gpt-5.2,True,False
labeled broadleaf weeds,Beans,Weeds,Weeds,Broadleaf Weeds,,,LLM:gpt-5.2,True,False
labeled weeds,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
"mallow, little",Beans,Weeds,Weeds,Little Mallow,,,LLM:gpt-5.2,True,False
maturing pods,Beans,Weeds,Growth Regulation,Pod Maturation,,,LLM:gpt-5.2,True,False
maximum vegetative burndown,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
mayweed,Beans,Weeds,Weeds,Mayweed,,,LLM:gpt-5.2,True,False
milkweed,Beans,Weeds,Weeds,Milkweed,,,LLM:gpt-5.2,True,False
moss,Beans,Weeds,Weeds,Moss,,,LLM:gpt-5.2,True,False
mosses and cryptogam,Beans,Weeds,Weeds,Moss,,,LLM:gpt-5.2,True,False
most annual grasses,Beans,Weeds,Weeds,Annual Grasses,,,LLM:gpt-5.2,True,False
nightshade,Beans,Weeds,Weeds,Nightshade,,,LLM:gpt-5.2,True,False
nutsedge,Beans,Weeds,Weeds,Nutsedge,,,LLM:gpt-5.2,True,False
perennial grass weeds,Beans,Weeds,Weeds,Perennial Grasses,,,LLM:gpt-5.2,True,False
perennial grasses,Beans,Weeds,Weeds,Perennial Grasses,,,LLM:gpt-5.2,True,False
perennial herbaceous plants,Beans,Weeds,Weeds,Perennial Weeds,,,LLM:gpt-5.2,True,False
pigweed,Beans,Weeds,Weeds,Pigweed,,,LLM:gpt-5.2,True,False
prairie cupgrass,Beans,Weeds,Weeds,Prairie Cupgrass,,,LLM:gpt-5.2,True,False
quackgrass,Beans,Weeds,Weeds,Quackgrass,,,LLM:gpt-5.2,True,False
red rice,Beans,Weeds,Weeds,Red Rice,,,LLM:gpt-5.2,True,False
robust foxtails,Beans,Weeds,Weeds,Foxtail,,,LLM:gpt-5.2,True,False
"rocket, London",Beans,Weeds,Weeds,London Rocket,,,LLM:gpt-5.2,True,False
sedges,Beans,Weeds,Weeds,Sedges,,,LLM:gpt-5.2,True,False
select broadleaf weeds,Beans,Weeds,Weeds,Broadleaf Weeds,,,LLM:gpt-5.2,True,False
signalgrass,Beans,Weeds,Weeds,Signalgrass,,,LLM:gpt-5.2,True,False
small-seeded broadleaf weeds,Beans,Weeds,Weeds,Small-Seeded Broadleaf Weeds,,,LLM:gpt-5.2,True,False
small-seeded weeds,Beans,Weeds,Weeds,Small-Seeded Weeds,,,LLM:gpt-5.2,True,False
southwestern cupgrass,Beans,Weeds,Weeds,Southwestern Cupgrass,,,LLM:gpt-5.2,True,False
susceptible weeds,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
tall waterhemp,Beans,Weeds,Weeds,Tall Waterhemp,,,LLM:gpt-5.2,True,False
various weeds,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
vegetation desiccation/defoliation,Beans,Weeds,Growth Regulation,Desiccation/Defoliation,,,LLM:gpt-5.2,True,False
weeds and grasses,Beans,Weeds,Weeds,Weeds and Grasses,,,LLM:gpt-5.2,True,False
weeds listed in Table 1,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
weeds listed in Table 1 and Table 8,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
weeds listed in Table 2,Beans,Weeds,Weeds,Weeds,,,LLM:gpt-5.2,True,False
wild proso millet,Beans,Weeds,Weeds,Wild Proso Millet,,,LLM:gpt-5.2,True,False
witchgrass,Beans,Weeds,Weeds,Witchgrass,,,LLM:gpt-5.2,True,False
woody weeds,Beans,Weeds,Weeds,Woody Weeds,,,LLM:gpt-5.2,True,False
wooly cupgrass,Beans,Weeds,Weeds,Woolly Cupgrass,,,LLM:gpt-5.2,True,False
yellow foxtail,Beans,Weeds,Weeds,Yellow Foxtail,,,LLM:gpt-5.2,True,False
yellow nutsedge,Beans,Weeds,Weeds,Yellow Nutsedge,,,LLM:gpt-5.2,True,False
broadleaf weeds,Bermudagrass Turf,Disease,Weeds,Broadleaf Weeds,,,LLM:gpt-5.2,True,False
grasses,Bermudagrass Turf,Weeds,Weeds,Grasses,,,LLM:gpt-5.2,True,False
Aphids,Blueberries And Other Bush Berries,Insects,Insects,Aphids,,,LLM:gpt-5.2,True,False
"(Columbia) lance (Hoplolaimus galeatus, Hoplolaimus columbus) nematodes",Blueberry,Disease,Disease,Lance Nematodes,,Hoplolaimus spp.,LLM:gpt-5.2,True,False
Achlya,Blueberry,Disease,Disease,Achlya,,Achlya spp.,LLM:gpt-5.2,True,False
Albugo,Blueberry,Disease,Disease,White Rust,,Albugo spp.,LLM:gpt-5.2,True,False
"Alternaria (canker, leaf spot, berry rot)",Blueberry,Disease,Disease,Alternaria Leaf Spot and Fruit Rot,,Alternaria spp.,LLM:gpt-5.2,True,False
Alternaria Fruit Rot,Blueberry,Disease,Disease,Alternaria Leaf Spot and Fruit Rot,,Alternaria spp.,LLM:gpt-5.2,True,False
Alternaria Leaf Spot and Fruit Rot,Blueberry,Disease,Disease,Alternaria Leaf Spot and Fruit Rot,,Alternaria spp.,LLM:gpt-5.2,True,False
Alternaria Leaf Spot and Fruit Rot (Alternaria tenuissima),Blueberry,Disease,Disease,Alternaria Leaf Spot and Fruit Rot,,Alternaria spp.,LLM:gpt-5.2,True,False
Alternaria rot,Blueberry,Disease,Disease,Alternaria Leaf Spot and Fruit Rot,,Alternaria spp.,LLM:gpt-5.2,True,False
Alternaria spp.,Blueberry,Disease,Disease,Alternaria Leaf Spot and Fruit Rot,,Alternaria spp.,LLM:gpt-5.2,True,False
Angular Leaf Spot,Blueberry,Disease,Disease,Angular Leaf Spot,,,LLM:gpt-5.2,True,False
Anthracnose (Colletotrichum acutatum; C. gloeosporioides),Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose (Colletotrichum gloeosporioides),Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose (Colletotrichum spp.),Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose (Colletotrichum),Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose (Ripe Rot) (suppression),Blueberry,Disease,Disease,Anthracnose (Ripe Rot),,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose (ripe rot),Blueberry,Disease,Disease,Anthracnose (Ripe Rot),,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose Fruit Rot,Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose Fruit Rot (Ripe Rot),Blueberry,Disease,Disease,Anthracnose (Ripe Rot),,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose Fruit Rot (Ripe Rot) (Colletotrichum spp.),Blueberry,Disease,Disease,Anthracnose (Ripe Rot),,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose leaf & fruit rot,Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose leaf and Fruit rot,Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose spp.,Blueberry,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Aphanomyces,Blueberry,Disease,Disease,Aphanomyces Root Rot,,Aphanomyces spp.,LLM:gpt-5.2,True,False
