original_target_name,original_crop,original_target_type,source_target_type,new_target_name,new_target_type,new_target_species,source_refined,deployed,main_target_list,__needs
Spiral nematodes (Helicotylenchus and Rotylenchus species),Cabbage,Disease,Disease,,,,,True,False,True
Spongospora,Cabbage,Disease,Disease,,,,,True,False,True
Stem nematode (Ditylenchus dipsaci),Cabbage,Disease,Disease,,,,,True,False,True
Stem-End Rot Complex,Cabbage,Disease,Disease,,,,,True,False,True
Sting nematode (Belonolaimus longicaudatus),Cabbage,Disease,Disease,,,,,True,False,True
Stink Bug,Cabbage,Disease,Insects,,,,,True,False,True
Stink Bug species,Cabbage,Disease,Insects,,,,,True,False,True
Stink bug spp.,Cabbage,Disease,Insects,,,,,True,False,True
Strawberry mite,Cabbage,Disease,Insects,,,,,True,False,True
Stubby root nematodes (Trichodorus and Paratrichodorus species),Cabbage,Disease,Disease,,,,,True,False,True
Stunt nematodes (Tylenchorhynchus species),Cabbage,Disease,Disease,,,,,True,False,True
Sucker Ants,Cabbage,Disease,Insects,,,,,True,False,True
Swede Midge,Cabbage,Disease,Insects,,,,,True,False,True
Sweetpotato Whitefly,Cabbage,Disease,Insects,,,,,True,False,True
Symphylans,Cabbage,Disease,Other,,,,,True,False,True
Synchytrium,Cabbage,Disease,Disease,,,,,True,False,True
Tarnished plant bug,Cabbage,Disease,Insects,,,,,True,False,True
Thielaviopsis,Cabbage,Disease,Disease,,,,,True,False,True
Thielaviopsis basicola,Cabbage,Disease,Disease,,,,,True,False,True
Thrips,Cabbage,Disease,Insects,,,,,True,False,True
Thrips palmi,Cabbage,Disease,Insects,,,,,True,False,True
Thrips species,Cabbage,Disease,Insects,,,,,True,False,True
Thrips spp.,Cabbage,Disease,Insects,,,,,True,False,True
Tobacco Budworm,Cabbage,Disease,Insects,,,,,True,False,True
Tobacco Etch Virus,Cabbage,Disease,Disease,,,,,True,False,True
Tobacco Thrips,Cabbage,Disease,Insects,,,,,True,False,True
Tomato fruitworm,Cabbage,Disease,Insects,,,,,True,False,True
Tomato hornworm,Cabbage,Disease,Insects,,,,,True,False,True
Tomato pinworm,Cabbage,Disease,Insects,,,,,True,False,True
Trachysphaera,Cabbage,Disease,Other,,,,,True,False,True
Trichodorus spp.,Cabbage,Disease,Disease,,,,,True,False,True
True Armyworm,Cabbage,Disease,Insects,,,,,True,False,True
Two Spotted Spider Mite,Cabbage,Disease,Insects,,,,,True,False,True
Two-Spotted mite,Cabbage,Disease,Insects,,,,,True,False,True
Tylenchorhynchus spp.,Cabbage,Disease,Disease,,,,,True,False,True
Tylenchulus semipenetrans,Cabbage,Disease,Disease,,,,,True,False,True
Variegated Cutworm,Cabbage,Disease,Insects,,,,,True,False,True
Velvetbean caterpillar,Cabbage,Disease,Insects,,,,,True,False,True
Venturia inaequalis,Cabbage,Disease,Disease,,,,,True,False,True
Verticillium,Cabbage,Disease,Disease,,,,,True,False,True
Verticillium Wilt,Cabbage,Disease,Disease,,,,,True,False,True
Verticillium spp.,Cabbage,Disease,Disease,,,,,True,False,True
Watermelon Mosaic Virus 2,Cabbage,Disease,Disease,,,,,True,False,True
Watery Soft Rot,Cabbage,Disease,Disease,,,,,True,False,True
Webworm,Cabbage,Disease,Insects,,,,,True,False,True
Weevils,Cabbage,Disease,Insects,,,,,True,False,True
Western flower thrips,Cabbage,Disease,Insects,,,,,True,False,True
Western yellowstriped armyworm,Cabbage,Disease,Insects,,,,,True,False,True
White Blister,Cabbage,Disease,Disease,,,,,True,False,True
White Leaf Spot,Cabbage,Disease,Disease,,,,,True,False,True
White Mold (Sclerotinia spp.),Cabbage,Disease,Disease,,,,,True,False,True
"White Mold, Southern Blight",Cabbage,Disease,Disease,,,,,True,False,True
White Rust,Cabbage,Disease,Disease,,,,,True,False,True
White flies,Cabbage,Disease,Insects,,,,,True,False,True
White grubs,Cabbage,Disease,Insects,,,,,True,False,True
White mold,Cabbage,Disease,Disease,,,,,True,False,True
White mold (Sclerotinia),Cabbage,Disease,Disease,,,,,True,False,True
Whitefly spp.,Cabbage,Disease,Insects,,,,,True,False,True
Wire Stem,Cabbage,Disease,Disease,,,,,True,False,True
Wireworm,Cabbage,Disease,Insects,,,,,True,False,True
Worms,Cabbage,Disease,Other,,,,,True,False,True
Xanthomonas,Cabbage,Disease,Disease,,,,,True,False,True
Xanthomonas Leaf Spot,Cabbage,Disease,Disease,,,,,True,False,True
Xanthomonas Leaf Spot/Black Rot,Cabbage,Disease,Disease,,,,,True,False,True
Xanthomonas camestris,Cabbage,Disease,Disease,,,,,True,False,True
Xanthomonas campestris (axonopodis) pathovars citrumelo (citrus canker surrogate),Cabbage,Disease,Disease,,,,,True,False,True
Xiphinema spp.,Cabbage,Disease,Disease,,,,,True,False,True
Yellow-striped Armyworm,Cabbage,Disease,Insects,,,,,True,False,True
Yellows,Cabbage,Disease,Disease,,,,,True,False,True
Zucchini Yellow Mosaic Virus,Cabbage,Disease,Disease,,,,,True,False,True
annual grasses,Cabbage,Disease,Weeds,,,,,True,False,True
awl (Dolichodorus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
bacteria,Cabbage,Disease,Disease,,,,,True,False,True
blue mold (Penicillium species),Cabbage,Disease,Disease,,,,,True,False,True
certain soil borne diseases,Cabbage,Disease,Disease,,,,,True,False,True
dagger (Xiphinema spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
decay,Cabbage,Disease,Disease,,,,,True,False,True
deer,Cabbage,Disease,Other,,,,,True,False,True
earwigs,Cabbage,Disease,Insects,,,,,True,False,True
fungal diseases,Cabbage,Disease,Disease,,,,,True,False,True
fungi,Cabbage,Disease,Disease,,,,,True,False,True
grapevine trunk diseases,Cabbage,Disease,Disease,,,,,True,False,True
grass,Cabbage,Disease,Weeds,,,,,True,False,True
green mold (Penicillium species),Cabbage,Disease,Disease,,,,,True,False,True
lesion (Pratylenchus spp.),Cabbage,Disease,Disease,,,,,True,False,True
lesion (Pratylenchus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
moss,Cabbage,Disease,Weeds,,,,,True,False,True
other insects,Cabbage,Disease,Insects,,,,,True,False,True
pin (Paratylenchus spp) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
reniform (Rotylenchulus spp.),Cabbage,Disease,Disease,,,,,True,False,True
reniform (Rotylenchulus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
ring (Bursaphelenchus spp.),Cabbage,Disease,Disease,,,,,True,False,True
ring (Bursaphelenchus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
root and seed maggots,Cabbage,Disease,Insects,,,,,True,False,True
root mealybugs,Cabbage,Disease,Insects,,,,,True,False,True
root-knot (Meloidogyne spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
russet mites,Cabbage,Disease,Insects,,,,,True,False,True
seed corn beetle larvae,Cabbage,Disease,Insects,,,,,True,False,True
seed decay,Cabbage,Disease,Disease,,,,,True,False,True
soybean cyst (Heterodera glycines) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
soybean cyst nematode (Heterodera glycines),Cabbage,Disease,Disease,,,,,True,False,True
stem (Ditylenchus dipsaci) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
stem-end rot (Geotrichium),Cabbage,Disease,Disease,,,,,True,False,True
sting (Belonolaimus spp.),Cabbage,Disease,Disease,,,,,True,False,True
sting (Belonolaimus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
stubby-root (Paratrichodorus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
stunt (Tylenchorhynchus spp.),Cabbage,Disease,Disease,,,,,True,False,True
stunt (Tylenchorhynchus spp.) nematodes,Cabbage,Disease,Disease,,,,,True,False,True
"white grubs including chafers, Japanese beetle larvae and Green June beetle larvae",Cabbage,Disease,Insects,,,,,True,False,True
yeast,Cabbage,Disease,Other,,,,,True,False,True
Aphids (all life stages except adult),Cabbage,Growth Regul,Insects,,,,,True,False,True
Bacterial Blast,Cabbage,Growth Regul,Disease,,,,,True,False,True
Blue Mold spp.,Cabbage,Growth Regul,Disease,,,,,True,False,True
Borers (all life stages),Cabbage,Growth Regul,Insects,,,,,True,False,True
Brown Patch,Cabbage,Growth Regul,Disease,,,,,True,False,True
Citrus Canker,Cabbage,Growth Regul,Disease,,,,,True,False,True
"Corn Borers (egg, larvae)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Corn Ear Worm (all life stages except adult),Cabbage,Growth Regul,Insects,,,,,True,False,True
Corn Root Maggot (all life stages except adult),Cabbage,Growth Regul,Insects,,,,,True,False,True
"Corn Root Worm (egg, larvae instars)",Cabbage,Growth Regul,Insects,,,,,True,False,True
"Crickets (egg, larvae)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Curvularia spp.,Cabbage,Growth Regul,Disease,,,,,True,False,True
Fairy Ring,Cabbage,Growth Regul,Disease,,,,,True,False,True
Gall nematode (Anguina spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Garlic and Onion White Rot,Cabbage,Growth Regul,Disease,,,,,True,False,True
Goss Wilt,Cabbage,Growth Regul,Disease,,,,,True,False,True
"Grasshoppers (egg, nymph)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Guava nematode (Meloidogyne spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Increase harvestable weight,Cabbage,Growth Regul,Growth Regulation,,,,,True,False,True
Lance nematode (Hoplolaimus spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Melanose,Cabbage,Growth Regul,Disease,,,,,True,False,True
Mites (all life stages except adult),Cabbage,Growth Regul,Insects,,,,,True,False,True
Onion Pink Root Rot,Cabbage,Growth Regul,Disease,,,,,True,False,True
Pea Weevils (all life stages except adult),Cabbage,Growth Regul,Insects,,,,,True,False,True
Phyllachora spp.,Cabbage,Growth Regul,Disease,,,,,True,False,True
Pine Beetles,Cabbage,Growth Regul,Insects,,,,,True,False,True
"Plant Bugs (egg, nymph)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Potato cyst nematode (Globodera spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
"Psyllids (egg, all 5 instar stages)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Reniform nematode (Rotylenchulus spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Root-knot nematode (Meloidogyne spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Root-lesion nematode (Pratylenchus spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Slugs (all life stages),Cabbage,Growth Regul,Other,,,,,True,False,True
Snails (all life stages),Cabbage,Growth Regul,Other,,,,,True,False,True
Sooty Mold,Cabbage,Growth Regul,Disease,,,,,True,False,True
"Southern Cowpea Weevil (egg, larvae, maggot)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Soybean Cyst Nematode (Heterodera spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Spiral nematode (Helicotylenchus spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Stem nematode (Ditylenchus spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
Sting nematode (Belonolaimus spp.),Cabbage,Growth Regul,Disease,,,,,True,False,True
"Stink Bugs (egg, nymph)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Sugarcane Aphids (all life stages except adult),Cabbage,Growth Regul,Insects,,,,,True,False,True
"Thrips (egg, larvae, pre-pupal, pupal)",Cabbage,Growth Regul,Insects,,,,,True,False,True
Tilletia spp.,Cabbage,Growth Regul,Disease,,,,,True,False,True
Ustilago spp.,Cabbage,Growth Regul,Disease,,,,,True,False,True
Various effects of ethylene,Cabbage,Growth Regul,Growth Regulation,,,,,True,False,True
"White flies (egg, nymph)",Cabbage,Growth Regul,Insects,,,,,True,False,True
"Wireworms (egg, larvae)",Cabbage,Growth Regul,Insects,,,,,True,False,True
1st and 2nd instar caterpillars,Cabbage,Insects,Insects,,,,,True,False,True
ASPARAGUS BEETLES,Cabbage,Insects,Insects,,,,,True,False,True
Adelgids,Cabbage,Insects,Insects,,,,,True,False,True
All Listed Pests,Cabbage,Insects,Other,,,,,True,False,True
All Listed Pests (except as specified below),Cabbage,Insects,Other,,,,,True,False,True
Anticarsia gemmatalis,Cabbage,Insects,Insects,,,,,True,False,True
Ants,Cabbage,Insects,Insects,,,,,True,False,True
"Ants (except harvester ants, pharaoh ants and carpenter ants)",Cabbage,Insects,Insects,,,,,True,False,True
"Ants (excluding Carpenter, Fire, Harvester & Pharaoh)",Cabbage,Insects,Insects,,,,,True,False,True
Aphid species,Cabbage,Insects,Insects,,,,,True,False,True
Armored scale (suppression),Cabbage,Insects,Insects,,,,,True,False,True
"Armyworm, True",Cabbage,Insects,Insects,,,,,True,False,True
"Armyworm, Yellowstriped",Cabbage,Insects,Insects,,,,,True,False,True
Armyworms (1st and 2nd instars),Cabbage,Insects,Insects,,,,,True,False,True
BEAN BEETLES,Cabbage,Insects,Insects,,,,,True,False,True
Bagrada bug,Cabbage,Insects,Insects,,,,,True,False,True
Banded Wing Whitefly,Cabbage,Insects,Insects,,,,,True,False,True
Barnyardgrass,Cabbage,Insects,Weeds,,,,,True,False,True
Beet armyworm (1st and 2nd instar),Cabbage,Insects,Insects,,,,,True,False,True
"Beetles (Colorado Potato Beetle, Confused Flour Beetles, Cucumber Beetles, Dried Fruit Beetles, Flea Beetles, Red Flour Beetles, Watermelon Beetles)",Cabbage,Insects,Insects,,,,,True,False,True
Big-Headed Ant,Cabbage,Insects,Insects,,,,,True,False,True
Black burrowing bug,Cabbage,Insects,Insects,,,,,True,False,True
Black vine and other root weevils,Cabbage,Insects,Insects,,,,,True,False,True
Black vine weevil,Cabbage,Insects,Insects,,,,,True,False,True
Brown Marmorated Stink-bug,Cabbage,Insects,Insects,,,,,True,False,True
Cabbage Seedpod Weevil,Cabbage,Insects,Insects,,,,,True,False,True
Cabbage budworm,Cabbage,Insects,Insects,,,,,True,False,True
Cabbage flea beetle,Cabbage,Insects,Insects,,,,,True,False,True
Cadelles,Cabbage,Insects,Insects,,,,,True,False,True
Carrot weevils,Cabbage,Insects,Insects,,,,,True,False,True
Celery leaftier,Cabbage,Insects,Insects,,,,,True,False,True
Centipedes,Cabbage,Insects,Insects,,,,,True,False,True
Chilli thrips,Cabbage,Insects,Insects,,,,,True,False,True
Chilli thrips (foliage feeding thrips only),Cabbage,Insects,Insects,,,,,True,False,True
Chrysanthemum Leaf Miner,Cabbage,Insects,Insects,,,,,True,False,True
Chrysodeixis includens,Cabbage,Insects,Insects,,,,,True,False,True
Citrus Leaf Miner,Cabbage,Insects,Insects,,,,,True,False,True
Click Beetle,Cabbage,Insects,Insects,,,,,True,False,True
Click beetle (wireworm adult),Cabbage,Insects,Insects,,,,,True,False,True
Clover,Cabbage,Insects,Weeds,,,,,True,False,True
"Cocklebur, Common",Cabbage,Insects,Weeds,,,,,True,False,True
Coleoptera grubs and larvae,Cabbage,Insects,Insects,,,,,True,False,True
Confused Flour Beetles,Cabbage,Insects,Insects,,,,,True,False,True
Cotton (melon) aphid,Cabbage,Insects,Insects,,,,,True,False,True
Cotton Bollworm,Cabbage,Insects,Insects,,,,,True,False,True
Crabgrass,Cabbage,Insects,Weeds,,,,,True,False,True
Crane fly larvae,Cabbage,Insects,Insects,,,,,True,False,True
Cross striped cabbage moth,Cabbage,Insects,Insects,,,,,True,False,True
Cross striped cabbageworm,Cabbage,Insects,Insects,,,,,True,False,True
Cutworm (Suppression Only),Cabbage,Insects,Insects,,,,,True,False,True
Dandelion,Cabbage,Insects,Weeds,,,,,True,False,True
Diabrotica Beetle (including Cucumber Beetle),Cabbage,Insects,Insects,,,,,True,False,True
Diamondback Caterpillars,Cabbage,Insects,Insects,,,,,True,False,True
Diamondback Moth (Suppression Only),Cabbage,Insects,Insects,,,,,True,False,True
Diamondback Moth (suppression),Cabbage,Insects,Insects,,,,,True,False,True
Diaprepes root weevil,Cabbage,Insects,Insects,,,,,True,False,True
Dipterous leafminers,Cabbage,Insects,Insects,,,,,True,False,True
Dried Fruit Beetles,Cabbage,Insects,Insects,,,,,True,False,True
European grapevine moth,Cabbage,Insects,Insects,,,,,True,False,True
Fall armyworm (1st and 2nd instar),Cabbage,Insects,Insects,,,,,True,False,True
Flea beetle (suppression),Cabbage,Insects,Insects,,,,,True,False,True
Foxtail,Cabbage,Insects,Weeds,,,,,True,False,True
Fungus gnat larvae,Cabbage,Insects,Insects,,,,,True,False,True
Fungus gnats (larvae only),Cabbage,Insects,Insects,,,,,True,False,True
Galinsoga,Cabbage,Insects,Weeds,,,,,True,False,True
Ground Beetles,Cabbage,Insects,Insects,,,,,True,False,True
Hard and Soft Scales,Cabbage,Insects,Insects,,,,,True,False,True
Hawaiian beet webworm,Cabbage,Insects,Insects,,,,,True,False,True
Helicoverpa spp.,Cabbage,Insects,Insects,,,,,True,False,True
Helicoverpa zea,Cabbage,Insects,Insects,,,,,True,False,True
Heliothis virescens,Cabbage,Insects,Insects,,,,,True,False,True
Hemipterans,Cabbage,Insects,Insects,,,,,True,False,True
Indianmeal Moths,Cabbage,Insects,Insects,,,,,True,False,True
Insects,Cabbage,Insects,Insects,,,,,True,False,True
Insects and mites,Cabbage,Insects,Insects,,,,,True,False,True
Japanese beetles (adults),Cabbage,Insects,Insects,,,,,True,False,True
Lambsquarters,Cabbage,Insects,Weeds,,,,,True,False,True
Leaf Eating Beetles,Cabbage,Insects,Insects,,,,,True,False,True
Leaf beetles,Cabbage,Insects,Insects,,,,,True,False,True
Leaf beetles (including Elm and Viburnum leaf beetles),Cabbage,Insects,Insects,,,,,True,False,True
Leafhopper spp. (adult),Cabbage,Insects,Insects,,,,,True,False,True
Leafhoppers (including glassy-winged sharpshooter),Cabbage,Insects,Insects,,,,,True,False,True
Leafminer Species,Cabbage,Insects,Insects,,,,,True,False,True
Leafminers (Liriomyza species),Cabbage,Insects,Insects,,,,,True,False,True
Leafminers (Liriomyza spp.),Cabbage,Insects,Insects,,,,,True,False,True
Lepidoptera caterpillars and larvae,Cabbage,Insects,Insects,,,,,True,False,True
Lepidoptera larvae,Cabbage,Insects,Insects,,,,,True,False,True
Lepidopterous larvae,Cabbage,Insects,Insects,,,,,True,False,True
Lewis Mite,Cabbage,Insects,Insects,,,,,True,False,True
Light Brown Apple Moth,Cabbage,Insects,Insects,,,,,True,False,True
Liriomyza leafminers,Cabbage,Insects,Insects,,,,,True,False,True
Liriomyza sativae,Cabbage,Insects,Insects,,,,,True,False,True
Liriomyza trifolii,Cabbage,Insects,Insects,,,,,True,False,True
Lygus Species,Cabbage,Insects,Insects,,,,,True,False,True
Mediterranean Flour Moths,Cabbage,Insects,Insects,,,,,True,False,True
Millipedes,Cabbage,Insects,Other,,,,,True,False,True
Mole Crickets,Cabbage,Insects,Insects,,,,,True,False,True
Mormon crickets,Cabbage,Insects,Insects,,,,,True,False,True
Native Fire Ant,Cabbage,Insects,Insects,,,,,True,False,True
Old World Bollworm,Cabbage,Insects,Insects,,,,,True,False,True
Onion thrips (larvae),Cabbage,Insects,Insects,,,,,True,False,True
Oriental Beetle,Cabbage,Insects,Insects,,,,,True,False,True
Pavement Ant,Cabbage,Insects,Insects,,,,,True,False,True
Pineappleweed,Cabbage,Insects,Weeds,,,,,True,False,True
Plant Bug species including Lygus species,Cabbage,Insects,Insects,,,,,True,False,True
Plant Bug spp. including Lygus spp.,Cabbage,Insects,Insects,,,,,True,False,True
Plant bugs (Lygus spp.),Cabbage,Insects,Insects,,,,,True,False,True
Planthoppers,Cabbage,Insects,Insects,,,,,True,False,True
Plutella xylostella,Cabbage,Insects,Insects,,,,,True,False,True
Prickly Lettuce,Cabbage,Insects,Weeds,,,,,True,False,True
Pseudomonas spp.,Cabbage,Insects,Disease,,,,,True,False,True
Ragweed,Cabbage,Insects,Weeds,,,,,True,False,True
Red Flour Beetles,Cabbage,Insects,Insects,,,,,True,False,True
Red Imported Fire Ant,Cabbage,Insects,Insects,,,,,True,False,True
"Root Weevil Complex (including Black Vine Weevil, Apopka Weevil, Citrus Root Weevil)",Cabbage,Insects,Insects,,,,,True,False,True
Rose Aphids,Cabbage,Insects,Insects,,,,,True,False,True
Rose Chafers,Cabbage,Insects,Insects,,,,,True,False,True
Rose Slugs,Cabbage,Insects,Insects,,,,,True,False,True
Shepherd’s purse,Cabbage,Insects,Weeds,,,,,True,False,True
Shoreflies,Cabbage,Insects,Insects,,,,,True,False,True
Silver Leaf,Cabbage,Insects,Disease,,,,,True,False,True
Silverfish,Cabbage,Insects,Insects,,,,,True,False,True
Silverleaf whiteflies (nymphs),Cabbage,Insects,Insects,,,,,True,False,True
Smartweed,Cabbage,Insects,Weeds,,,,,True,False,True
Southern (California) Fire Ant,Cabbage,Insects,Insects,,,,,True,False,True
Southern Cabbageworm,Cabbage,Insects,Insects,,,,,True,False,True
Southern armyworm (1st and 2nd instar),Cabbage,Insects,Insects,,,,,True,False,True
Southern white butterfly,Cabbage,Insects,Insects,,,,,True,False,True
Sowbugs (Pillbugs),Cabbage,Insects,Other,,,,,True,False,True
Spider Mite species,Cabbage,Insects,Insects,,,,,True,False,True
Spider Mite spp.,Cabbage,Insects,Insects,,,,,True,False,True
Spiders,Cabbage,Insects,Other,,,,,True,False,True
Spiders (excluding Black Widow & Brown Recluse),Cabbage,Insects,Other,,,,,True,False,True
Spittle bugs,Cabbage,Insects,Insects,,,,,True,False,True
Spodoptera eridania,Cabbage,Insects,Insects,,,,,True,False,True
Spodoptera exigua,Cabbage,Insects,Insects,,,,,True,False,True
Spodoptera frugiperda,Cabbage,Insects,Insects,,,,,True,False,True
Springtails,Cabbage,Insects,Insects,,,,,True,False,True
Strawberry Weevils,Cabbage,Insects,Insects,,,,,True,False,True
Sugarbeet Armyworm,Cabbage,Insects,Insects,,,,,True,False,True
Sweet Potato,Cabbage,Insects,Other,,,,,True,False,True
Tarsonemid Mites,Cabbage,Insects,Insects,,,,,True,False,True
Thrips (adult),Cabbage,Insects,Insects,,,,,True,False,True
Thrips (except Thrips palmi and Scirtothrips dorsalis),Cabbage,Insects,Insects,,,,,True,False,True
Thrips (foliage feeding only),Cabbage,Insects,Insects,,,,,True,False,True
Thrips (foliage feeding thrips only),Cabbage,Insects,Insects,,,,,True,False,True
Thrips (suppression),Cabbage,Insects,Insects,,,,,True,False,True
Thrips palmi (foliage feeding thrips only),Cabbage,Insects,Insects,,,,,True,False,True
Thrips pupae,Cabbage,Insects,Insects,,,,,True,False,True
Trichoplusia ni,Cabbage,Insects,Insects,,,,,True,False,True
Trogoderma,Cabbage,Insects,Insects,,,,,True,False,True
True Bugs,Cabbage,Insects,Insects,,,,,True,False,True
Turnip aphid,Cabbage,Insects,Insects,,,,,True,False,True
Vegetable Weevil,Cabbage,Insects,Insects,,,,,True,False,True
Vegetable weevil (adult),Cabbage,Insects,Insects,,,,,True,False,True
Velvetleaf,Cabbage,Insects,Weeds,,,,,True,False,True
Watermelon Beetles,Cabbage,Insects,Insects,,,,,True,False,True
"White Grub larvae (including Japanese beetle, Chafers, European chafer, Oriental beetle, Asiatic garden beetle)",Cabbage,Insects,Insects,,,,,True,False,True
White grub larvae,Cabbage,Insects,Insects,,,,,True,False,True
Whiteflies (Bemisia and Trialeuroides spp.),Cabbage,Insects,Insects,,,,,True,False,True
Whitefly (adult),Cabbage,Insects,Insects,,,,,True,False,True
Whitefly (including sweetpotato whitefly),Cabbage,Insects,Insects,,,,,True,False,True
Whitefly (sweetpotato whitefly),Cabbage,Insects,Insects,,,,,True,False,True
Whitefly species,Cabbage,Insects,Insects,,,,,True,False,True
Wild buckwheat,Cabbage,Insects,Weeds,,,,,True,False,True
Wireworm (Adults),Cabbage,Insects,Insects,,,,,True,False,True
Wireworm Adults,Cabbage,Insects,Insects,,,,,True,False,True
Wireworms (adult),Cabbage,Insects,Insects,,,,,True,False,True
Worms (caterpillars),Cabbage,Insects,Insects,,,,,True,False,True
Xanthomonas spp.,Cabbage,Insects,Disease,,,,,True,False,True
Yellow-margined leaf beetle larvae,Cabbage,Insects,Insects,,,,,True,False,True
armored scale,Cabbage,Insects,Insects,,,,,True,False,True
cabbage root maggot,Cabbage,Insects,Insects,,,,,True,False,True
cabbage root maggot (suppression),Cabbage,Insects,Insects,,,,,True,False,True
cabbage worms,Cabbage,Insects,Insects,,,,,True,False,True
cankerworms,Cabbage,Insects,Insects,,,,,True,False,True
carpetweed,Cabbage,Insects,Weeds,,,,,True,False,True
certain caterpillars,Cabbage,Insects,Insects,,,,,True,False,True
darkling beetles,Cabbage,Insects,Insects,,,,,True,False,True
garden webworm,Cabbage,Insects,Insects,,,,,True,False,True
leaf-feeding insects,Cabbage,Insects,Insects,,,,,True,False,True
listed insects,Cabbage,Insects,Insects,,,,,True,False,True
listed plant pests,Cabbage,Insects,Other,,,,,True,False,True
locust,Cabbage,Insects,Insects,,,,,True,False,True
meadow voles,Cabbage,Insects,Other,,,,,True,False,True
pigweed,Cabbage,Insects,Weeds,,,,,True,False,True
"pigweed, redroot",Cabbage,Insects,Weeds,,,,,True,False,True
pillbugs,Cabbage,Insects,Other,,,,,True,False,True
pine voles,Cabbage,Insects,Other,,,,,True,False,True
purslane,Cabbage,Insects,Weeds,,,,,True,False,True
rabbits,Cabbage,Insects,Other,,,,,True,False,True
raccoons,Cabbage,Insects,Other,,,,,True,False,True
"ragweed, common",Cabbage,Insects,Weeds,,,,,True,False,True
slugs,Cabbage,Insects,Other,,,,,True,False,True
"smartweed, Pennsylvania",Cabbage,Insects,Weeds,,,,,True,False,True
snails,Cabbage,Insects,Other,,,,,True,False,True
soft scale,Cabbage,Insects,Insects,,,,,True,False,True
sowbugs,Cabbage,Insects,Other,,,,,True,False,True
spotted drosophila,Cabbage,Insects,Insects,,,,,True,False,True
spotted lanternfly,Cabbage,Insects,Insects,,,,,True,False,True
weeds,Cabbage,Insects,Weeds,,,,,True,False,True
Annual Broadleaf Weeds,Cabbage,Weeds,Weeds,,,,,True,False,True
Annual and perennial grasses,Cabbage,Weeds,Weeds,,,,,True,False,True
Annual sowthistle,Cabbage,Weeds,Weeds,,,,,True,False,True
"Buckwheat, Wild",Cabbage,Weeds,Weeds,,,,,True,False,True
Burning Nettle,Cabbage,Weeds,Weeds,,,,,True,False,True
Chamomile,Cabbage,Weeds,Weeds,,,,,True,False,True
Cheeseweed,Cabbage,Weeds,Weeds,,,,,True,False,True
Cheeseweed (Malva),Cabbage,Weeds,Weeds,,,,,True,False,True
Common cocklebur,Cabbage,Weeds,Weeds,,,,,True,False,True
Crabgrass (Large),Cabbage,Weeds,Weeds,,,,,True,False,True
Crabgrass (Smooth),Cabbage,Weeds,Weeds,,,,,True,False,True
Fall Panicum,Cabbage,Weeds,Weeds,,,,,True,False,True
Foxtail (Giant),Cabbage,Weeds,Weeds,,,,,True,False,True
"Foxtail (Giant, Green, Robust)",Cabbage,Weeds,Weeds,,,,,True,False,True
Foxtail (Green),Cabbage,Weeds,Weeds,,,,,True,False,True
Foxtail (Robust),Cabbage,Weeds,Weeds,,,,,True,False,True
Galinsoga spp.,Cabbage,Weeds,Weeds,,,,,True,False,True
Goosegrass,Cabbage,Weeds,Weeds,,,,,True,False,True
Grasses,Cabbage,Weeds,Weeds,,,,,True,False,True
Jungle Rice,Cabbage,Weeds,Weeds,,,,,True,False,True
Large & Smooth Crabgrass,Cabbage,Weeds,Weeds,,,,,True,False,True
"Lettuce, prickly",Cabbage,Weeds,Weeds,,,,,True,False,True
,Cabbage,Weeds,Other,,,,,True,False,True
"Nettle, Burning",Cabbage,Weeds,Weeds,,,,,True,False,True
Nettleleaf Goosefoot,Cabbage,Weeds,Weeds,,,,,True,False,True
"Nightshade, Black",Cabbage,Weeds,Weeds,,,,,True,False,True
Panicum,Cabbage,Weeds,Weeds,,,,,True,False,True
